Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,18/10/2018 19:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,128,119
1,20/10/2018 19:30,Staples Center,Los Angeles Lakers,Houston Rockets,115,124
1,22/10/2018 19:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,142,143
1,24/10/2018 19:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,113,131
2,25/10/2018 19:30,Staples Center,Los Angeles Lakers,Denver Nuggets,121,114
2,27/10/2018 17:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,110,106
2,29/10/2018 17:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,124,120
2,31/10/2018 19:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,114,113
3,03/11/2018 19:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,110,114
3,04/11/2018 18:30,Staples Center,Los Angeles Lakers,Toronto Raptors,107,121
3,07/11/2018 19:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,114,110
4,10/11/2018 19:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,86,101
4,11/11/2018 18:30,Staples Center,Los Angeles Lakers,Atlanta Hawks,107,106
4,14/11/2018 19:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,126,117
5,17/11/2018 16:00,Amway Center,Orlando Magic,Los Angeles Lakers,130,117
5,18/11/2018 15:00,American Airlines Arena,Miami Heat,Los Angeles Lakers,97,113
5,21/11/2018 17:00,Quicken Loans Arena,Cleveland Cavaliers,Los Angeles Lakers,105,109
6,23/11/2018 19:30,Staples Center,Los Angeles Lakers,Utah Jazz,90,83
6,25/11/2018 12:30,Staples Center,Los Angeles Lakers,Orlando Magic,104,108
6,27/11/2018 18:00,Pepsi Center,Denver Nuggets,Los Angeles Lakers,117,85
7,29/11/2018 19:30,Staples Center,Los Angeles Lakers,Indiana Pacers,104,96
7,30/11/2018 19:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,114,103
7,02/12/2018 12:30,Staples Center,Los Angeles Lakers,Phoenix Suns,120,96
7,05/12/2018 19:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,121,113
8,07/12/2018 17:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,133,120
8,08/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Los Angeles Lakers,88,111
8,10/12/2018 19:30,Staples Center,Los Angeles Lakers,Miami Heat,108,105
9,13/12/2018 17:00,Toyota Center,Houston Rockets,Los Angeles Lakers,126,111
9,15/12/2018 16:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,100,128
9,16/12/2018 15:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,128,110
9,18/12/2018 16:30,Barclays Center,Brooklyn Nets,Los Angeles Lakers,115,110
10,21/12/2018 19:30,Staples Center,Los Angeles Lakers,New Orleans Pelicans,112,104
10,23/12/2018 18:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,99,107
10,25/12/2018 17:00,ORACLE Arena,Golden State Warriors,Los Angeles Lakers,101,127
11,27/12/2018 19:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,117,116
11,28/12/2018 19:30,Staples Center,Los Angeles Lakers,LA Clippers,107,118
11,30/12/2018 18:30,Staples Center,Los Angeles Lakers,Sacramento Kings,121,114
11,02/01/2019 19:30,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,100,107
12,04/01/2019 19:30,Staples Center,Los Angeles Lakers,New York Knicks,112,119
12,06/01/2019 12:30,Target Center,Minnesota Timberwolves,Los Angeles Lakers,108,86
12,07/01/2019 17:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,97,107
12,09/01/2019 19:30,Staples Center,Los Angeles Lakers,Detroit Pistons,113,100
13,11/01/2019 19:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,113,95
13,13/01/2019 18:30,Staples Center,Los Angeles Lakers,Cleveland Cavaliers,95,101
13,15/01/2019 19:30,Staples Center,Los Angeles Lakers,Chicago Bulls,107,100
14,17/01/2019 18:30,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,128,138
14,19/01/2019 17:30,Toyota Center,Houston Rockets,Los Angeles Lakers,138,134
14,21/01/2019 19:30,Staples Center,Los Angeles Lakers,Golden State Warriors,111,130
15,24/01/2019 19:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,105,120
15,27/01/2019 18:30,Staples Center,Los Angeles Lakers,Phoenix Suns,116,102
15,29/01/2019 19:30,Staples Center,Los Angeles Lakers,Philadelphia 76ers,105,121
16,31/01/2019 19:30,Staples Center,LA Clippers,Los Angeles Lakers,120,123
16,02/02/2019 17:30,ORACLE Arena,Golden State Warriors,Los Angeles Lakers,115,101
16,05/02/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Los Angeles Lakers,136,94
17,07/02/2019 17:00,TD Garden,Boston Celtics,Los Angeles Lakers,128,129
17,10/02/2019 12:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,143,120
17,12/02/2019 16:30,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,117,113
18,21/02/2019 19:30,Staples Center,Los Angeles Lakers,Houston Rockets,111,106
18,23/02/2019 16:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,128,115
18,25/02/2019 17:00,FedEx Forum,Memphis Grizzlies,Los Angeles Lakers,110,105
18,27/02/2019 19:30,Staples Center,Los Angeles Lakers,New Orleans Pelicans,125,119
19,01/03/2019 19:30,Staples Center,Los Angeles Lakers,Milwaukee Bucks,120,131
19,02/03/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,118,109
19,04/03/2019 19:30,Staples Center,Los Angeles Lakers,LA Clippers,105,113
19,06/03/2019 19:30,Staples Center,Los Angeles Lakers,Denver Nuggets,99,115
20,09/03/2019 17:30,Staples Center,Los Angeles Lakers,Boston Celtics,107,120
20,12/03/2019 17:00,United Center,Chicago Bulls,Los Angeles Lakers,107,123
21,14/03/2019 17:00,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,111,98
21,15/03/2019 16:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,111,97
21,17/03/2019 09:00,Madison Square Garden,New York Knicks,Los Angeles Lakers,124,123
21,19/03/2019 17:00,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,115,101
22,22/03/2019 19:30,Staples Center,Los Angeles Lakers,Brooklyn Nets,106,111
22,24/03/2019 18:30,Staples Center,Los Angeles Lakers,Sacramento Kings,111,106
22,26/03/2019 19:30,Staples Center,Los Angeles Lakers,Washington Wizards,124,106
22,27/03/2019 19:30,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,115,100
23,29/03/2019 19:30,Staples Center,Los Angeles Lakers,Charlotte Hornets,129,115
23,31/03/2019 15:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,102,130
23,02/04/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,119,103
24,04/04/2019 19:30,Staples Center,Los Angeles Lakers,Golden State Warriors,90,108
24,05/04/2019 19:30,Staples Center,LA Clippers,Los Angeles Lakers,117,122
24,07/04/2019 18:30,Staples Center,Los Angeles Lakers,Utah Jazz,113,109
24,09/04/2019 19:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,101,104
