Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 17:00,Toyota Center,Houston Rockets,New Orleans Pelicans,112,131
1,19/10/2018 17:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,149,129
1,23/10/2018 17:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,116,109
2,26/10/2018 17:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,117,115
2,27/10/2018 16:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,111,132
2,29/10/2018 18:00,Pepsi Center,Denver Nuggets,New Orleans Pelicans,116,111
2,31/10/2018 19:30,ORACLE Arena,Golden State Warriors,New Orleans Pelicans,131,121
3,01/11/2018 19:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,132,119
3,03/11/2018 17:30,AT&T Center,San Antonio Spurs,New Orleans Pelicans,109,95
3,05/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,122,116
3,07/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,107,98
4,10/11/2018 16:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,119,99
4,12/11/2018 16:30,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,110,126
4,14/11/2018 17:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,107,100
5,16/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,129,124
5,17/11/2018 16:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,125,115
5,19/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,140,126
5,21/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,121,120
6,23/11/2018 16:30,Madison Square Garden,New York Knicks,New Orleans Pelicans,114,109
6,24/11/2018 17:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,124,114
6,26/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,107,124
6,28/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,125,104
7,30/11/2018 17:00,American Airlines Arena,Miami Heat,New Orleans Pelicans,106,101
7,02/12/2018 14:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,109,119
7,03/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,126,129
7,05/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,132,106
8,07/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,103,107
8,09/12/2018 12:30,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,108,116
8,10/12/2018 16:30,TD Garden,Boston Celtics,New Orleans Pelicans,113,100
8,12/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,118,114
9,16/12/2018 16:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,96,102
9,19/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,123,115
10,21/12/2018 19:30,Staples Center,Los Angeles Lakers,New Orleans Pelicans,112,104
10,23/12/2018 15:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,122,117
10,26/12/2018 17:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,122,119
11,28/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,114,112
11,29/12/2018 16:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,104,108
11,31/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,123,114
11,02/01/2019 16:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,126,121
12,05/01/2019 17:00,Quicken Loans Arena,Cleveland Cavaliers,New Orleans Pelicans,98,133
12,07/01/2019 17:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,114,95
12,09/01/2019 17:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,140,124
13,12/01/2019 17:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,110,106
13,14/01/2019 19:30,Staples Center,LA Clippers,New Orleans Pelicans,117,121
13,16/01/2019 19:30,ORACLE Arena,Golden State Warriors,New Orleans Pelicans,147,140
14,18/01/2019 19:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,128,112
14,21/01/2019 14:30,FedEx Forum,Memphis Grizzlies,New Orleans Pelicans,85,105
14,23/01/2019 17:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,94,98
15,24/01/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,122,116
15,26/01/2019 15:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,114,126
15,29/01/2019 17:00,Toyota Center,Houston Rockets,New Orleans Pelicans,116,121
15,30/01/2019 17:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,99,105
16,02/02/2019 17:30,AT&T Center,San Antonio Spurs,New Orleans Pelicans,113,108
16,04/02/2019 17:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,107,109
16,06/02/2019 17:00,United Center,Chicago Bulls,New Orleans Pelicans,120,125
17,08/02/2019 18:30,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,122,117
17,09/02/2019 17:00,FedEx Forum,Memphis Grizzlies,New Orleans Pelicans,99,90
17,12/02/2019 17:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,88,118
17,14/02/2019 17:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,131,122
