Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,116,104
1,19/10/2018 17:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,113,101
1,20/10/2018 16:00,Capital One Arena,Washington Wizards,Toronto Raptors,113,117
1,22/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,127,106
1,24/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,112,105
2,26/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,116,107
2,29/10/2018 17:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,124,109
2,30/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,129,112
3,02/11/2018 19:00,Talking Stick Resort Arena,Phoenix Suns,Toronto Raptors,98,107
3,04/11/2018 18:30,Staples Center,Los Angeles Lakers,Toronto Raptors,107,121
3,05/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Toronto Raptors,111,124
3,07/11/2018 19:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,105,114
4,10/11/2018 12:00,Scotiabank Arena,Toronto Raptors,New York Knicks,128,112
4,12/11/2018 16:30,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,110,126
4,14/11/2018 16:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,104,106
5,16/11/2018 16:00,TD Garden,Boston Celtics,Toronto Raptors,123,116
5,17/11/2018 17:00,United Center,Chicago Bulls,Toronto Raptors,83,122
5,20/11/2018 16:00,Amway Center,Orlando Magic,Toronto Raptors,91,93
5,21/11/2018 16:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,108,124
6,23/11/2018 16:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,125,107
6,25/11/2018 15:00,Scotiabank Arena,Toronto Raptors,Miami Heat,125,115
6,27/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Toronto Raptors,114,122
7,29/11/2018 17:00,Scotiabank Arena,Toronto Raptors,Golden State Warriors,131,128
7,01/12/2018 17:00,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,95,106
7,03/12/2018 16:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,103,106
7,05/12/2018 17:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,113,102
8,07/12/2018 16:30,Barclays Center,Brooklyn Nets,Toronto Raptors,106,105
8,09/12/2018 15:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,99,104
8,11/12/2018 19:30,Staples Center,LA Clippers,Toronto Raptors,99,123
8,12/12/2018 19:30,ORACLE Arena,Golden State Warriors,Toronto Raptors,93,113
9,14/12/2018 19:00,Moda Center,Portland Trail Blazers,Toronto Raptors,128,122
9,16/12/2018 17:00,Pepsi Center,Denver Nuggets,Toronto Raptors,95,86
9,19/12/2018 16:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,99,96
10,21/12/2018 16:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,126,110
10,22/12/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,126,101
10,26/12/2018 16:30,American Airlines Arena,Miami Heat,Toronto Raptors,104,106
11,28/12/2018 16:00,Amway Center,Orlando Magic,Toronto Raptors,116,87
11,30/12/2018 15:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,95,89
11,01/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Utah Jazz,122,116
12,03/01/2019 17:00,AT&T Center,San Antonio Spurs,Toronto Raptors,125,107
12,05/01/2019 17:30,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,116,123
12,06/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,121,105
12,08/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,104,101
13,11/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,122,105
13,13/01/2019 10:00,Capital One Arena,Washington Wizards,Toronto Raptors,138,140
13,16/01/2019 17:00,TD Garden,Boston Celtics,Toronto Raptors,117,108
14,17/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,111,109
14,19/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,119,90
14,22/01/2019 16:00,Scotiabank Arena,Toronto Raptors,Sacramento Kings,120,105
14,23/01/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,110,106
15,25/01/2019 17:00,Toyota Center,Houston Rockets,Toronto Raptors,121,119
15,27/01/2019 16:00,American Airlines Center,Dallas Mavericks,Toronto Raptors,120,123
16,31/01/2019 17:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,92,105
16,03/02/2019 12:00,Scotiabank Arena,Toronto Raptors,LA Clippers,121,103
16,05/02/2019 17:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,107,119
17,07/02/2019 16:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,101,119
17,09/02/2019 16:30,Madison Square Garden,New York Knicks,Toronto Raptors,99,104
17,11/02/2019 16:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,127,125
17,13/02/2019 16:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,129,120
18,22/02/2019 16:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,120,117
18,24/02/2019 12:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,98,113
18,26/02/2019 17:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,118,95
19,01/03/2019 17:00,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,119,117
19,03/03/2019 15:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,112,107
19,05/03/2019 17:00,Scotiabank Arena,Toronto Raptors,Houston Rockets,95,107
20,08/03/2019 17:00,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,104,127
20,10/03/2019 12:30,American Airlines Arena,Miami Heat,Toronto Raptors,104,125
20,11/03/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,126,101
21,14/03/2019 17:00,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,111,98
21,17/03/2019 13:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,110,107
21,18/03/2019 16:30,Scotiabank Arena,Toronto Raptors,New York Knicks,128,92
21,20/03/2019 18:30,Chesapeake Energy Arena,Oklahoma City Thunder,Toronto Raptors,114,123
22,22/03/2019 16:30,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,109,116
22,24/03/2019 15:00,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,114,115
22,26/03/2019 16:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,112,103
22,28/03/2019 16:30,Madison Square Garden,New York Knicks,Toronto Raptors,92,117
23,30/03/2019 17:00,United Center,Chicago Bulls,Toronto Raptors,101,124
23,01/04/2019 16:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,121,109
23,03/04/2019 16:30,Barclays Center,Brooklyn Nets,Toronto Raptors,105,115
24,05/04/2019 16:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,113,111
24,07/04/2019 9:00,Scotiabank Arena,Toronto Raptors,Miami Heat,117,109
24,09/04/2019 17:00,Target Center,Minnesota Timberwolves,Toronto Raptors,100,120
