Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 19:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,121,100
1,20/10/2018 18:00,Pepsi Center,Denver Nuggets,Phoenix Suns,119,91
1,22/10/2018 19:30,ORACLE Arena,Golden State Warriors,Phoenix Suns,123,103
1,24/10/2018 19:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,113,131
2,27/10/2018 17:00,FedEx Forum,Memphis Grizzlies,Phoenix Suns,117,96
2,28/10/2018 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,117,110
2,31/10/2018 19:30,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,90,120
3,02/11/2018 19:00,Talking Stick Resort Arena,Phoenix Suns,Toronto Raptors,98,107
3,04/11/2018 17:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,102,100
3,06/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Brooklyn Nets,82,104
4,08/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Boston Celtics,109,116
4,10/11/2018 16:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,119,99
4,12/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,118,101
4,14/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,116,96
5,17/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,100,110
5,19/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,119,114
5,21/11/2018 17:00,United Center,Chicago Bulls,Phoenix Suns,124,116
6,23/11/2018 17:30,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,114,116
6,25/11/2018 13:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,118,107
6,27/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Indiana Pacers,104,109
6,28/11/2018 19:30,Staples Center,LA Clippers,Phoenix Suns,115,99
7,30/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Orlando Magic,85,99
7,02/12/2018 12:30,Staples Center,Los Angeles Lakers,Phoenix Suns,120,96
7,04/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,105,122
8,06/12/2018 19:00,Moda Center,Portland Trail Blazers,Phoenix Suns,108,86
8,07/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Miami Heat,98,115
8,10/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,119,123
8,11/12/2018 17:30,AT&T Center,San Antonio Spurs,Phoenix Suns,111,86
9,13/12/2018 19:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,99,89
9,15/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,107,99
9,17/12/2018 16:30,Madison Square Garden,New York Knicks,Phoenix Suns,110,128
9,19/12/2018 16:30,TD Garden,Boston Celtics,Phoenix Suns,103,111
10,22/12/2018 16:00,Capital One Arena,Washington Wizards,Phoenix Suns,149,146
10,23/12/2018 15:00,Barclays Center,Brooklyn Nets,Phoenix Suns,111,103
10,26/12/2018 16:00,Amway Center,Orlando Magic,Phoenix Suns,120,122
11,28/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,102,118
11,29/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,118,122
11,31/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,109,132
11,02/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Philadelphia 76ers,127,132
12,04/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,111,121
12,06/01/2019 17:00,Talking Stick Resort Arena,Phoenix Suns,Charlotte Hornets,113,119
12,08/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,115,111
12,09/01/2019 17:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,104,94
13,12/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,102,93
13,15/01/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Phoenix Suns,131,97
14,17/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,111,109
14,19/01/2019 14:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,135,115
14,20/01/2019 16:00,Target Center,Minnesota Timberwolves,Phoenix Suns,116,114
14,22/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,91,118
