Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,18/10/2018 17:00,Capital One Arena,Washington Wizards,Miami Heat,112,113
1,20/10/2018 16:00,Capital One Arena,Washington Wizards,Toronto Raptors,113,117
1,22/10/2018 19:00,Moda Center,Portland Trail Blazers,Washington Wizards,124,125
1,24/10/2018 19:30,ORACLE Arena,Golden State Warriors,Washington Wizards,144,122
2,26/10/2018 19:00,Golden 1 Center,Sacramento Kings,Washington Wizards,116,112
2,28/10/2018 18:30,Staples Center,LA Clippers,Washington Wizards,136,104
2,30/10/2018 17:00,FedEx Forum,Memphis Grizzlies,Washington Wizards,107,95
3,02/11/2018 17:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,111,134
3,04/11/2018 15:00,Capital One Arena,Washington Wizards,New York Knicks,108,95
3,06/11/2018 17:30,American Airlines Center,Dallas Mavericks,Washington Wizards,119,100
4,09/11/2018 16:00,Amway Center,Orlando Magic,Washington Wizards,117,108
4,10/11/2018 17:00,American Airlines Arena,Miami Heat,Washington Wizards,110,116
4,12/11/2018 16:00,Capital One Arena,Washington Wizards,Orlando Magic,117,109
4,14/11/2018 16:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,119,95
5,16/11/2018 16:00,Capital One Arena,Washington Wizards,Brooklyn Nets,104,115
5,18/11/2018 15:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,109,119
5,20/11/2018 16:00,Capital One Arena,Washington Wizards,LA Clippers,125,118
6,23/11/2018 16:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,125,107
6,24/11/2018 17:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,124,114
6,26/11/2018 16:00,Capital One Arena,Washington Wizards,Houston Rockets,135,131
6,28/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,125,104
7,30/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,123,98
7,01/12/2018 16:00,Capital One Arena,Washington Wizards,Brooklyn Nets,102,88
7,03/12/2018 16:30,Madison Square Garden,New York Knicks,Washington Wizards,107,110
7,05/12/2018 16:30,State Farm Arena,Atlanta Hawks,Washington Wizards,117,131
8,08/12/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Washington Wizards,116,101
8,10/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,109,101
8,12/12/2018 16:00,Capital One Arena,Washington Wizards,Boston Celtics,125,130
9,14/12/2018 16:30,Barclays Center,Brooklyn Nets,Washington Wizards,125,118
9,16/12/2018 15:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,128,110
9,18/12/2018 16:30,State Farm Arena,Atlanta Hawks,Washington Wizards,118,110
9,19/12/2018 17:00,Toyota Center,Houston Rockets,Washington Wizards,136,118
10,22/12/2018 16:00,Capital One Arena,Washington Wizards,Phoenix Suns,149,146
10,23/12/2018 14:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,105,89
10,26/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,106,95
11,28/12/2018 16:00,Capital One Arena,Washington Wizards,Chicago Bulls,92,101
11,29/12/2018 16:00,Capital One Arena,Washington Wizards,Charlotte Hornets,130,126
11,02/01/2019 16:00,Capital One Arena,Washington Wizards,Atlanta Hawks,114,98
12,04/01/2019 17:00,American Airlines Arena,Miami Heat,Washington Wizards,115,109
12,06/01/2019 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Washington Wizards,98,116
12,08/01/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,132,115
12,09/01/2019 16:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,123,106
13,11/01/2019 16:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,113,106
13,13/01/2019 10:00,Capital One Arena,Washington Wizards,Toronto Raptors,138,140
13,17/01/2019 12:00,The O2 Arena,Washington Wizards,New York Knicks,101,100
14,21/01/2019 11:00,Capital One Arena,Washington Wizards,Detroit Pistons,101,87
15,24/01/2019 17:00,Capital One Arena,Washington Wizards,Golden State Warriors,118,126
15,25/01/2019 16:00,Amway Center,Orlando Magic,Washington Wizards,91,95
15,27/01/2019 16:00,AT&T Center,San Antonio Spurs,Washington Wizards,132,119
15,29/01/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Washington Wizards,116,113
15,30/01/2019 17:00,Capital One Arena,Washington Wizards,Indiana Pacers,107,89
16,02/02/2019 16:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,115,131
16,04/02/2019 16:00,Capital One Arena,Washington Wizards,Atlanta Hawks,129,137
16,06/02/2019 17:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,148,129
17,08/02/2019 16:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,119,106
