Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,116,104
1,19/10/2018 17:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,131,123
1,21/10/2018 15:00,Quicken Loans Arena,Cleveland Cavaliers,Atlanta Hawks,111,133
1,24/10/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Brooklyn Nets,86,102
1,25/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,110,103
2,27/10/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Indiana Pacers,107,119
2,30/10/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Atlanta Hawks,136,114
2,01/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Denver Nuggets,91,110
3,03/11/2018 16:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,126,94
3,05/11/2018 16:00,Amway Center,Orlando Magic,Cleveland Cavaliers,102,100
3,07/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Oklahoma City Thunder,86,95
4,10/11/2018 17:00,United Center,Chicago Bulls,Cleveland Cavaliers,99,98
4,13/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets,113,89
4,14/11/2018 16:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,119,95
5,19/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,113,102
5,21/11/2018 17:00,Quicken Loans Arena,Cleveland Cavaliers,Los Angeles Lakers,105,109
6,23/11/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,112,121
6,24/11/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Houston Rockets,117,108
6,26/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Minnesota Timberwolves,95,102
6,28/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Cleveland Cavaliers,100,83
7,30/11/2018 16:00,TD Garden,Boston Celtics,Cleveland Cavaliers,128,95
7,01/12/2018 17:00,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,95,106
7,03/12/2018 16:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,97,99
7,05/12/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Golden State Warriors,105,129
8,07/12/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Sacramento Kings,110,129
8,08/12/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Washington Wizards,116,101
8,10/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,108,92
8,12/12/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,New York Knicks,113,106
9,14/12/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Milwaukee Bucks,102,114
9,16/12/2018 12:30,Quicken Loans Arena,Cleveland Cavaliers,Philadelphia 76ers,105,128
9,18/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,91,92
9,19/12/2018 16:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,110,99
10,21/12/2018 16:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,126,110
10,23/12/2018 15:00,Quicken Loans Arena,Cleveland Cavaliers,Chicago Bulls,92,112
10,26/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Cleveland Cavaliers,95,87
11,28/12/2018 17:00,American Airlines Arena,Miami Heat,Cleveland Cavaliers,118,94
11,29/12/2018 16:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,111,108
11,02/01/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Miami Heat,92,117
12,04/01/2019 16:30,Quicken Loans Arena,Cleveland Cavaliers,Utah Jazz,91,117
12,05/01/2019 17:00,Quicken Loans Arena,Cleveland Cavaliers,New Orleans Pelicans,98,133
12,08/01/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Indiana Pacers,15,123
12,09/01/2019 17:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,140,124
13,11/01/2019 17:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,141,113
13,13/01/2019 18:30,Staples Center,Los Angeles Lakers,Cleveland Cavaliers,95,101
13,16/01/2019 19:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,129,112
14,18/01/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Cleveland Cavaliers,115,99
14,19/01/2019 19:00,Pepsi Center,Denver Nuggets,Cleveland Cavaliers,124,102
14,21/01/2019 10:00,Quicken Loans Arena,Cleveland Cavaliers,Chicago Bulls,88,104
14,23/01/2019 16:30,TD Garden,Boston Celtics,Cleveland Cavaliers,123,103
15,25/01/2019 16:30,Quicken Loans Arena,Cleveland Cavaliers,Miami Heat,94,100
15,27/01/2019 12:30,United Center,Chicago Bulls,Cleveland Cavaliers,101,104
15,29/01/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Washington Wizards,116,113
16,02/02/2019 16:30,Quicken Loans Arena,Cleveland Cavaliers,Dallas Mavericks,98,111
16,05/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Boston Celtics,96,103
17,08/02/2019 16:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,119,106
17,09/02/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,105,90
17,11/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,New York Knicks,107,104
17,13/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Brooklyn Nets,139,148
18,21/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Phoenix Suns,111,98
18,23/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Memphis Grizzlies,112,107
18,25/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Portland Trail Blazers,110,123
19,28/02/2019 16:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,118,125
19,02/03/2019 14:00,Quicken Loans Arena,Cleveland Cavaliers,Detroit Pistons,93,129
19,03/03/2019 15:00,Quicken Loans Arena,Cleveland Cavaliers,Orlando Magic,107,93
19,06/03/2019 16:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,113,107
20,08/03/2019 17:00,American Airlines Arena,Miami Heat,Cleveland Cavaliers,126,110
20,11/03/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,126,101
20,12/03/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,106,99
20,14/03/2019 16:00,Amway Center,Orlando Magic,Cleveland Cavaliers,120,91
21,16/03/2019 17:30,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,121,116
21,18/03/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Detroit Pistons,126,119
21,20/03/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Milwaukee Bucks,107,102
22,22/03/2019 16:30,Quicken Loans Arena,Cleveland Cavaliers,LA Clippers,108,110
22,24/03/2019 13:30,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,127,105
22,26/03/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Boston Celtics,106,116
23,28/03/2019 17:30,AT&T Center,San Antonio Spurs,Cleveland Cavaliers,116,110
23,30/03/2019 12:30,Staples Center,LA Clippers,Cleveland Cavaliers,132,108
23,01/04/2019 19:00,Talking Stick Resort Arena,Phoenix Suns,Cleveland Cavaliers,122,113
24,04/04/2019 19:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,117,104
24,05/04/2019 19:30,ORACLE Arena,Golden State Warriors,Cleveland Cavaliers,120,114
24,07/04/2019 12:00,Quicken Loans Arena,Cleveland Cavaliers,San Antonio Spurs,90,112
24,09/04/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets,97,124
