Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,16/10/2018 17:00,TD Garden,Boston Celtics,Philadelphia 76ers,105,87
1,19/10/2018 17:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,113,101
1,20/10/2018 16:30,Madison Square Garden,New York Knicks,Boston Celtics,101,103
1,22/10/2018 16:30,TD Garden,Boston Celtics,Orlando Magic,90,93
2,25/10/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Boston Celtics,95,101
2,27/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,89,109
2,30/10/2018 16:30,TD Garden,Boston Celtics,Detroit Pistons,108,105
3,01/11/2018 17:00,TD Garden,Boston Celtics,Milwaukee Bucks,117,113
3,03/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,102,101
3,05/11/2018 18:00,Pepsi Center,Denver Nuggets,Boston Celtics,115,107
4,08/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Boston Celtics,109,116
4,09/11/2018 18:30,Vivint Smart Home Arena,Utah Jazz,Boston Celtics,123,115
4,11/11/2018 18:00,Moda Center,Portland Trail Blazers,Boston Celtics,100,94
4,14/11/2018 16:30,TD Garden,Boston Celtics,Chicago Bulls,111,82
5,16/11/2018 16:00,TD Garden,Boston Celtics,Toronto Raptors,123,116
5,17/11/2018 16:30,TD Garden,Boston Celtics,Utah Jazz,86,98
5,19/11/2018 16:00,Spectrum Center,Charlotte Hornets,Boston Celtics,117,112
5,21/11/2018 16:30,TD Garden,Boston Celtics,New York Knicks,109,117
6,23/11/2018 16:30,State Farm Arena,Atlanta Hawks,Boston Celtics,96,114
6,24/11/2018 17:30,American Airlines Center,Dallas Mavericks,Boston Celtics,113,104
6,26/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,107,124
7,30/11/2018 16:00,TD Garden,Boston Celtics,Cleveland Cavaliers,128,95
7,01/12/2018 17:00,Target Center,Minnesota Timberwolves,Boston Celtics,109,118
8,06/12/2018 17:00,TD Garden,Boston Celtics,New York Knicks,128,100
8,08/12/2018 17:00,United Center,Chicago Bulls,Boston Celtics,77,133
8,10/12/2018 16:30,TD Garden,Boston Celtics,New Orleans Pelicans,113,100
8,12/12/2018 16:00,Capital One Arena,Washington Wizards,Boston Celtics,125,130
9,14/12/2018 16:00,TD Garden,Boston Celtics,Atlanta Hawks,129,108
9,15/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,113,104
9,19/12/2018 16:30,TD Garden,Boston Celtics,Phoenix Suns,103,111
10,21/12/2018 17:00,TD Garden,Boston Celtics,Milwaukee Bucks,107,120
10,23/12/2018 15:00,TD Garden,Boston Celtics,Charlotte Hornets,119,103
10,25/12/2018 14:30,TD Garden,Boston Celtics,Philadelphia 76ers,121,114
11,27/12/2018 17:00,Toyota Center,Houston Rockets,Boston Celtics,127,113
11,29/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Boston Celtics,103,112
11,31/12/2018 16:00,AT&T Center,San Antonio Spurs,Boston Celtics,120,111
11,02/01/2019 17:00,TD Garden,Boston Celtics,Minnesota Timberwolves,115,102
12,04/01/2019 17:00,TD Garden,Boston Celtics,Dallas Mavericks,114,93
12,07/01/2019 16:30,TD Garden,Boston Celtics,Brooklyn Nets,116,95
12,09/01/2019 16:00,TD Garden,Boston Celtics,Indiana Pacers,135,108
13,10/01/2019 16:00,American Airlines Arena,Miami Heat,Boston Celtics,115,99
13,12/01/2019 16:00,Amway Center,Orlando Magic,Boston Celtics,105,103
13,14/01/2019 16:30,Barclays Center,Brooklyn Nets,Boston Celtics,109,102
13,16/01/2019 17:00,TD Garden,Boston Celtics,Toronto Raptors,117,108
14,18/01/2019 16:00,TD Garden,Boston Celtics,Memphis Grizzlies,122,116
14,19/01/2019 16:30,State Farm Arena,Atlanta Hawks,Boston Celtics,105,113
14,21/01/2019 15:00,TD Garden,Boston Celtics,Miami Heat,107,99
14,23/01/2019 16:30,TD Garden,Boston Celtics,Cleveland Cavaliers,123,103
15,26/01/2019 17:30,TD Garden,Boston Celtics,Golden State Warriors,111,115
15,28/01/2019 16:30,TD Garden,Boston Celtics,Brooklyn Nets,112,104
15,30/01/2019 16:30,TD Garden,Boston Celtics,Charlotte Hornets,126,94
16,01/02/2019 16:30,Madison Square Garden,New York Knicks,Boston Celtics,99,113
16,03/02/2019 11:00,TD Garden,Boston Celtics,Oklahoma City Thunder,134,129
16,05/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Boston Celtics,96,103
17,07/02/2019 17:00,TD Garden,Boston Celtics,Los Angeles Lakers,128,129
17,09/02/2019 17:00,TD Garden,Boston Celtics,LA Clippers,112,123
17,12/02/2019 17:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,109,112
17,13/02/2019 16:30,TD Garden,Boston Celtics,Detroit Pistons,118,110
18,21/02/2019 17:00,Fiserv Forum,Milwaukee Bucks,Boston Celtics,98,97
18,23/02/2019 17:00,United Center,Chicago Bulls,Boston Celtics,126,116
18,26/02/2019 17:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,118,95
18,27/02/2019 17:00,TD Garden,Boston Celtics,Portland Trail Blazers,92,97
19,01/03/2019 17:00,TD Garden,Boston Celtics,Washington Wizards,107,96
19,03/03/2019 12:30,TD Garden,Boston Celtics,Houston Rockets,104,115
19,05/03/2019 19:30,ORACLE Arena,Golden State Warriors,Boston Celtics,95,128
19,06/03/2019 19:00,Golden 1 Center,Sacramento Kings,Boston Celtics,109,111
20,09/03/2019 17:30,Staples Center,Los Angeles Lakers,Boston Celtics,107,120
20,11/03/2019 19:30,Staples Center,LA Clippers,Boston Celtics,140,115
20,14/03/2019 16:30,TD Garden,Boston Celtics,Sacramento Kings,126,120
21,16/03/2019 09:30,TD Garden,Boston Celtics,Atlanta Hawks,129,120
21,18/03/2019 16:30,TD Garden,Boston Celtics,Denver Nuggets,105,114
21,20/03/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,118,115
22,23/03/2019 15:00,Spectrum Center,Charlotte Hornets,Boston Celtics,124,117
22,24/03/2019 16:30,TD Garden,Boston Celtics,San Antonio Spurs,96,115
22,26/03/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Boston Celtics,106,116
23,29/03/2019 16:00,TD Garden,Boston Celtics,Indiana Pacers,114,112
23,30/03/2019 15:00,Barclays Center,Brooklyn Nets,Boston Celtics,110,96
23,01/04/2019 16:30,TD Garden,Boston Celtics,Miami Heat,110,105
23,03/04/2019 16:30,American Airlines Arena,Miami Heat,Boston Celtics,102,112
24,05/04/2019 17:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,97,117
24,07/04/2019 16:30,TD Garden,Boston Celtics,Orlando Magic,108,116
24,09/04/2019 16:00,Capital One Arena,Washington Wizards,Boston Celtics,110,116
