Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 19:30,Staples Center,LA Clippers,Denver Nuggets,98,107
1,19/10/2018 19:30,Staples Center,LA Clippers,Oklahoma City Thunder,108,92
1,21/10/2018 18:00,Staples Center,LA Clippers,Houston Rockets,115,112
1,23/10/2018 17:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,116,109
2,26/10/2018 17:00,Toyota Center,Houston Rockets,LA Clippers,113,133
2,28/10/2018 18:30,Staples Center,LA Clippers,Washington Wizards,136,104
2,30/10/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,128,110
2,01/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,122,113
3,02/11/2018 16:00,Amway Center,Orlando Magic,LA Clippers,95,120
3,05/11/2018 19:30,Staples Center,LA Clippers,Minnesota Timberwolves,120,109
4,08/11/2018 19:00,Moda Center,Portland Trail Blazers,LA Clippers,116,105
4,10/11/2018 12:30,Staples Center,LA Clippers,Milwaukee Bucks,128,126
4,12/11/2018 19:30,Staples Center,LA Clippers,Golden State Warriors,121,116
5,15/11/2018 19:30,Staples Center,LA Clippers,San Antonio Spurs,116,111
5,17/11/2018 15:00,Barclays Center,Brooklyn Nets,LA Clippers,119,127
5,19/11/2018 16:30,State Farm Arena,Atlanta Hawks,LA Clippers,119,127
5,20/11/2018 16:00,Capital One Arena,Washington Wizards,LA Clippers,125,118
6,23/11/2018 12:30,Staples Center,LA Clippers,Memphis Grizzlies,112,107
6,25/11/2018 18:00,Moda Center,Portland Trail Blazers,LA Clippers,100,104
6,28/11/2018 19:30,Staples Center,LA Clippers,Phoenix Suns,115,99
7,29/11/2018 19:30,Golden 1 Center,Sacramento Kings,LA Clippers,121,133
7,02/12/2018 16:00,American Airlines Center,Dallas Mavericks,LA Clippers,114,110
7,03/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,126,129
7,05/12/2018 17:00,FedEx Forum,Memphis Grizzlies,LA Clippers,96,86
8,08/12/2018 19:30,Staples Center,LA Clippers,Miami Heat,98,121
8,10/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,119,123
8,11/12/2018 19:30,Staples Center,LA Clippers,Toronto Raptors,99,123
9,13/12/2018 17:30,AT&T Center,San Antonio Spurs,LA Clippers,125,87
9,15/12/2018 18:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,110,104
9,17/12/2018 19:30,Staples Center,LA Clippers,Portland Trail Blazers,127,131
10,20/12/2018 19:30,Staples Center,LA Clippers,Dallas Mavericks,125,121
10,22/12/2018 14:00,Staples Center,LA Clippers,Denver Nuggets,132,111
10,23/12/2018 17:30,ORACLE Arena,Golden State Warriors,LA Clippers,129,127
10,26/12/2018 19:30,Staples Center,LA Clippers,Sacramento Kings,127,118
11,28/12/2018 19:30,Staples Center,Los Angeles Lakers,LA Clippers,107,118
11,29/12/2018 19:30,Staples Center,LA Clippers,San Antonio Spurs,111,122
11,01/01/2019 19:30,Staples Center,LA Clippers,Philadelphia 76ers,113,119
12,04/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,111,121
12,06/01/2019 12:30,Staples Center,LA Clippers,Orlando Magic,106,96
12,08/01/2019 19:30,Staples Center,LA Clippers,Charlotte Hornets,128,109
13,10/01/2019 18:00,Pepsi Center,Denver Nuggets,LA Clippers,121,100
13,12/01/2019 12:30,Staples Center,LA Clippers,Detroit Pistons,104,109
13,14/01/2019 19:30,Staples Center,LA Clippers,New Orleans Pelicans,117,121
13,16/01/2019 19:30,Staples Center,LA Clippers,Utah Jazz,109,129
14,18/01/2019 19:30,Staples Center,LA Clippers,Golden State Warriors,94,112
14,20/01/2019 16:00,AT&T Center,San Antonio Spurs,LA Clippers,95,103
14,22/01/2019 17:30,American Airlines Center,Dallas Mavericks,LA Clippers,106,98
14,23/01/2019 16:30,American Airlines Arena,Miami Heat,LA Clippers,99,111
15,25/01/2019 17:00,United Center,Chicago Bulls,LA Clippers,101,106
15,27/01/2019 12:30,Staples Center,LA Clippers,Sacramento Kings,122,108
15,28/01/2019 19:30,Staples Center,LA Clippers,Atlanta Hawks,118,123
16,31/01/2019 19:30,Staples Center,LA Clippers,Los Angeles Lakers,120,123
16,02/02/2019 14:00,Little Caesars Arena,Detroit Pistons,LA Clippers,101,111
16,03/02/2019 12:00,Scotiabank Arena,Toronto Raptors,LA Clippers,121,103
