Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,111,83
1,19/10/2018 17:00,FedEx Forum,Memphis Grizzlies,Atlanta Hawks,131,117
1,22/10/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,84,92
1,24/10/2018 19:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,97,92
2,27/10/2018 17:00,FedEx Forum,Memphis Grizzlies,Phoenix Suns,117,96
2,30/10/2018 17:00,FedEx Forum,Memphis Grizzlies,Washington Wizards,107,95
3,02/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,100,110
3,04/11/2018 17:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,102,100
3,05/11/2018 19:30,ORACLE Arena,Golden State Warriors,Memphis Grizzlies,117,101
3,07/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Denver Nuggets,89,87
4,10/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Philadelphia 76ers,112,106
4,12/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Utah Jazz,88,96
4,14/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,113,116
5,16/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Sacramento Kings,112,104
5,18/11/2018 12:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,87,100
5,19/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Dallas Mavericks,98,88
5,21/11/2018 17:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,103,104
6,23/11/2018 12:30,Staples Center,LA Clippers,Memphis Grizzlies,112,107
6,25/11/2018 15:00,FedEx Forum,Memphis Grizzlies,New York Knicks,98,103
6,27/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Toronto Raptors,114,122
7,30/11/2018 16:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,125,131
7,02/12/2018 15:00,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,103,95
7,05/12/2018 17:00,FedEx Forum,Memphis Grizzlies,LA Clippers,96,86
8,07/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,103,107
8,08/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Los Angeles Lakers,88,111
8,10/12/2018 18:00,Pepsi Center,Denver Nuggets,Memphis Grizzlies,105,99
8,12/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Portland Trail Blazers,92,83
9,14/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Miami Heat,97,100
9,15/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Houston Rockets,97,105
9,17/12/2018 19:30,ORACLE Arena,Golden State Warriors,Memphis Grizzlies,110,93
9,19/12/2018 19:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,99,92
10,21/12/2018 19:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,102,99
10,23/12/2018 18:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,99,107
10,26/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Cleveland Cavaliers,95,87
11,29/12/2018 17:00,FedEx Forum,Memphis Grizzlies,Boston Celtics,103,112
11,31/12/2018 16:00,Toyota Center,Houston Rockets,Memphis Grizzlies,113,101
11,02/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Detroit Pistons,94,101
12,04/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Brooklyn Nets,100,109
12,05/01/2019 17:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,108,88
12,07/01/2019 17:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,114,95
12,09/01/2019 17:00,FedEx Forum,Memphis Grizzlies,San Antonio Spurs,96,86
13,12/01/2019 14:00,American Airlines Arena,Miami Heat,Memphis Grizzlies,112,108
13,14/01/2019 17:00,Toyota Center,Houston Rockets,Memphis Grizzlies,112,94
13,16/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Milwaukee Bucks,101,111
14,18/01/2019 16:00,TD Garden,Boston Celtics,Memphis Grizzlies,122,116
14,19/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,119,90
14,21/01/2019 14:30,FedEx Forum,Memphis Grizzlies,New Orleans Pelicans,85,105
14,23/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Charlotte Hornets,107,118
15,25/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Sacramento Kings,96,99
15,26/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Indiana Pacers,106,103
15,28/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Denver Nuggets,92,95
15,30/01/2019 17:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,99,97
16,01/02/2019 16:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,100,92
16,03/02/2019 10:00,Madison Square Garden,New York Knicks,Memphis Grizzlies,84,96
16,05/02/2019 17:00,FedEx Forum,Memphis Grizzlies,Minnesota Timberwolves,108,106
17,07/02/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,117,95
17,09/02/2019 17:00,FedEx Forum,Memphis Grizzlies,New Orleans Pelicans,99,90
17,12/02/2019 17:00,FedEx Forum,Memphis Grizzlies,San Antonio Spurs,107,108
17,13/02/2019 17:00,United Center,Chicago Bulls,Memphis Grizzlies,122,110
18,22/02/2019 17:00,FedEx Forum,Memphis Grizzlies,LA Clippers,106,112
18,23/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Memphis Grizzlies,112,107
18,25/02/2019 17:00,FedEx Forum,Memphis Grizzlies,Los Angeles Lakers,110,105
18,27/02/2019 17:00,FedEx Forum,Memphis Grizzlies,Chicago Bulls,107,109
19,02/03/2019 17:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,81,111
19,03/03/2019 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,99,95
19,05/03/2019 17:00,FedEx Forum,Memphis Grizzlies,Portland Trail Blazers,120,111
20,08/03/2019 17:00,FedEx Forum,Memphis Grizzlies,Utah Jazz,114,104
20,10/03/2019 15:00,FedEx Forum,Memphis Grizzlies,Orlando Magic,105,97
20,13/03/2019 16:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,132,111
21,16/03/2019 16:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,135,128
21,20/03/2019 17:00,FedEx Forum,Memphis Grizzlies,Houston Rockets,126,125
22,22/03/2019 16:00,Amway Center,Orlando Magic,Memphis Grizzlies,123,119
22,23/03/2019 17:00,FedEx Forum,Memphis Grizzlies,Minnesota Timberwolves,99,112
