Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 19:00,Golden 1 Center,Sacramento Kings,Utah Jazz,117,123
1,19/10/2018 17:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,149,129
1,21/10/2018 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,120,131
1,23/10/2018 18:00,Pepsi Center,Denver Nuggets,Sacramento Kings,126,112
1,24/10/2018 19:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,97,92
2,26/10/2018 19:00,Golden 1 Center,Sacramento Kings,Washington Wizards,116,112
2,29/10/2018 16:30,American Airlines Arena,Miami Heat,Sacramento Kings,113,123
2,30/10/2018 16:00,Amway Center,Orlando Magic,Sacramento Kings,99,107
2,01/11/2018 16:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115,146
3,04/11/2018 12:30,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,144,109
3,07/11/2018 19:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,105,114
4,09/11/2018 19:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,121,110
4,10/11/2018 19:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,86,101
4,12/11/2018 19:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,104,99
5,16/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Sacramento Kings,112,104
5,17/11/2018 17:00,Toyota Center,Houston Rockets,Sacramento Kings,132,112
5,19/11/2018 19:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,117,113
5,21/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,110,119
6,24/11/2018 17:30,ORACLE Arena,Golden State Warriors,Sacramento Kings,117,116
6,25/11/2018 17:00,Golden 1 Center,Sacramento Kings,Utah Jazz,112,133
7,29/11/2018 19:30,Golden 1 Center,Sacramento Kings,LA Clippers,121,133
7,01/12/2018 19:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,111,110
7,04/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,105,122
8,07/12/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Sacramento Kings,110,129
8,08/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Sacramento Kings,107,97
8,10/12/2018 17:00,United Center,Chicago Bulls,Sacramento Kings,89,108
8,12/12/2018 19:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,141,130
9,14/12/2018 19:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,125,130
9,16/12/2018 16:00,American Airlines Center,Dallas Mavericks,Sacramento Kings,113,120
9,17/12/2018 17:00,Target Center,Minnesota Timberwolves,Sacramento Kings,132,105
9,19/12/2018 19:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,113,132
10,21/12/2018 19:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,102,99
10,23/12/2018 15:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,122,117
10,26/12/2018 19:30,Staples Center,LA Clippers,Sacramento Kings,127,118
11,27/12/2018 19:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,117,116
11,30/12/2018 18:30,Staples Center,Los Angeles Lakers,Sacramento Kings,121,114
11,01/01/2019 18:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,108,113
12,03/01/2019 19:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,113,117
12,05/01/2019 19:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,123,127
12,07/01/2019 19:00,Golden 1 Center,Sacramento Kings,Orlando Magic,111,95
12,08/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,115,111
13,10/01/2019 19:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,112,102
