Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 19:30,Staples Center,LA Clippers,Denver Nuggets,98,107
1,20/10/2018 18:00,Pepsi Center,Denver Nuggets,Phoenix Suns,119,91
1,21/10/2018 17:00,Pepsi Center,Denver Nuggets,Golden State Warriors,100,98
1,23/10/2018 18:00,Pepsi Center,Denver Nuggets,Sacramento Kings,126,112
2,25/10/2018 19:30,Staples Center,Los Angeles Lakers,Denver Nuggets,121,114
2,29/10/2018 18:00,Pepsi Center,Denver Nuggets,New Orleans Pelicans,116,111
2,31/10/2018 17:00,United Center,Chicago Bulls,Denver Nuggets,107,108
2,01/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Denver Nuggets,91,110
3,03/11/2018 18:00,Pepsi Center,Denver Nuggets,Utah Jazz,103,88
3,05/11/2018 18:00,Pepsi Center,Denver Nuggets,Boston Celtics,115,107
3,07/11/2018 17:00,FedEx Forum,Memphis Grizzlies,Denver Nuggets,89,87
4,09/11/2018 18:00,Pepsi Center,Denver Nuggets,Brooklyn Nets,110,112
4,11/11/2018 17:00,Pepsi Center,Denver Nuggets,Milwaukee Bucks,114,121
4,13/11/2018 18:00,Pepsi Center,Denver Nuggets,Houston Rockets,99,109
5,15/11/2018 18:00,Pepsi Center,Denver Nuggets,Atlanta Hawks,138,93
5,17/11/2018 16:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,125,115
5,19/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,104,98
5,21/11/2018 17:00,Target Center,Minnesota Timberwolves,Denver Nuggets,101,103
6,23/11/2018 18:00,Pepsi Center,Denver Nuggets,Orlando Magic,112,87
6,24/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,98,105
6,27/11/2018 18:00,Pepsi Center,Denver Nuggets,Los Angeles Lakers,117,85
7,30/11/2018 19:30,Moda Center,Portland Trail Blazers,Denver Nuggets,112,113
7,03/12/2018 16:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,103,106
7,05/12/2018 16:00,Amway Center,Orlando Magic,Denver Nuggets,118,124
8,07/12/2018 16:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,113,107
8,08/12/2018 16:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,106,98
8,10/12/2018 18:00,Pepsi Center,Denver Nuggets,Memphis Grizzlies,105,99
9,14/12/2018 19:00,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,109,98
9,16/12/2018 17:00,Pepsi Center,Denver Nuggets,Toronto Raptors,95,86
9,18/12/2018 18:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,126,118
10,22/12/2018 14:00,Staples Center,LA Clippers,Denver Nuggets,132,111
10,26/12/2018 17:30,AT&T Center,San Antonio Spurs,Denver Nuggets,111,103
11,28/12/2018 18:00,Pepsi Center,Denver Nuggets,San Antonio Spurs,102,99
11,29/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,118,122
11,01/01/2019 18:00,Pepsi Center,Denver Nuggets,New York Knicks,115,108
12,03/01/2019 19:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,113,117
12,05/01/2019 14:00,Pepsi Center,Denver Nuggets,Charlotte Hornets,123,110
12,07/01/2019 17:00,Toyota Center,Houston Rockets,Denver Nuggets,125,113
12,08/01/2019 16:30,American Airlines Arena,Miami Heat,Denver Nuggets,99,103
13,10/01/2019 18:00,Pepsi Center,Denver Nuggets,LA Clippers,121,100
13,12/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,102,93
13,13/01/2019 17:00,Pepsi Center,Denver Nuggets,Portland Trail Blazers,116,113
13,15/01/2019 18:00,Pepsi Center,Denver Nuggets,Golden State Warriors,111,142
14,17/01/2019 18:00,Pepsi Center,Denver Nuggets,Chicago Bulls,135,105
14,19/01/2019 19:00,Pepsi Center,Denver Nuggets,Cleveland Cavaliers,124,102
14,23/01/2019 19:30,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,114,108
15,25/01/2019 18:00,Pepsi Center,Denver Nuggets,Phoenix Suns,132,95
15,26/01/2019 18:00,Pepsi Center,Denver Nuggets,Philadelphia 76ers,126,110
15,28/01/2019 17:00,FedEx Forum,Memphis Grizzlies,Denver Nuggets,92,95
