Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,16/10/2018 19:30,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,108,100
1,19/10/2018 19:30,Staples Center,LA Clippers,Oklahoma City Thunder,108,92
1,21/10/2018 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,120,131
2,25/10/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Boston Celtics,95,101
2,28/10/2018 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,117,110
2,30/10/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,128,110
2,01/11/2018 16:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,107,111
3,02/11/2018 17:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,111,134
3,05/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,122,116
3,07/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Oklahoma City Thunder,86,95
4,08/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,98,80
4,10/11/2018 18:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,111,96
4,12/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,118,101
4,14/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,New York Knicks,128,103
5,17/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,100,110
5,19/11/2018 19:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,117,113
5,21/11/2018 19:30,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,95,123
6,23/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Charlotte Hornets,109,104
6,24/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,98,105
6,28/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Cleveland Cavaliers,100,83
7,30/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Atlanta Hawks,124,109
7,03/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,83,110
7,05/12/2018 16:30,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,112,114
8,07/12/2018 17:00,United Center,Chicago Bulls,Oklahoma City Thunder,114,112
8,10/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,122,113
8,12/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,118,114
9,14/12/2018 19:00,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,109,98
9,15/12/2018 18:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,110,104
9,17/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Chicago Bulls,121,96
9,19/12/2018 19:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,113,132
10,22/12/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,106,107
10,23/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,112,114
10,25/12/2018 12:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,113,109
11,28/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,102,118
11,30/12/2018 16:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,105,103
11,31/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,122,102
11,02/01/2019 19:30,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,100,107
12,04/01/2019 19:30,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,109,111
12,06/01/2019 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Washington Wizards,98,116
12,08/01/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,117,119
13,10/01/2019 18:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,154,147
13,12/01/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,122,112
13,15/01/2019 16:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,142,126
14,17/01/2019 18:30,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,128,138
14,19/01/2019 12:30,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,115,117
14,21/01/2019 09:30,Madison Square Garden,New York Knicks,Oklahoma City Thunder,109,127
14,22/01/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,123,114
15,24/01/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,122,116
15,27/01/2019 15:00,Chesapeake Energy Arena,Oklahoma City Thunder,Milwaukee Bucks,118,112
15,29/01/2019 16:00,Amway Center,Orlando Magic,Oklahoma City Thunder,117,126
16,01/02/2019 17:00,American Airlines Arena,Miami Heat,Oklahoma City Thunder,102,118
16,03/02/2019 11:00,TD Garden,Boston Celtics,Oklahoma City Thunder,134,129
16,05/02/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Orlando Magic,132,122
17,07/02/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,117,95
17,09/02/2019 17:30,Toyota Center,Houston Rockets,Oklahoma City Thunder,112,117
17,11/02/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,120,111
17,14/02/2019 17:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,131,122
18,22/02/2019 18:30,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,148,147
18,23/02/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,116,119
18,26/02/2019 19:30,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,121,112
19,28/02/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Philadelphia 76ers,104,108
19,02/03/2019 17:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,116,102
19,03/03/2019 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,99,95
19,05/03/2019 17:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,131,120
20,07/03/2019 19:30,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,121,129
20,08/03/2019 19:30,Staples Center,LA Clippers,Oklahoma City Thunder,118,110
20,11/03/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,89,98
20,13/03/2019 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Brooklyn Nets,108,96
20,14/03/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Oklahoma City Thunder,108,106
21,16/03/2019 17:30,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,88,110
21,18/03/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Miami Heat,107,116
21,20/03/2019 18:30,Chesapeake Energy Arena,Oklahoma City Thunder,Toronto Raptors,114,123
22,22/03/2019 16:30,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,109,116
22,25/03/2019 17:00,FedEx Forum,Memphis Grizzlies,Oklahoma City Thunder,115,103
22,27/03/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Indiana Pacers,107,99
23,29/03/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,105,115
23,31/03/2019 12:30,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,103,106
23,02/04/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,119,103
24,05/04/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Detroit Pistons,123,110
24,07/04/2019 12:30,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,126,132
24,09/04/2019 18:30,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,112,111
24,10/04/2019 17:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,116,127
