Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
1,17/10/2018 17:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,112,108
1,19/10/2018 17:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,131,123
1,20/10/2018 17:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,140,136
1,22/10/2018 17:00,Target Center,Minnesota Timberwolves,Indiana Pacers,101,91
1,24/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,112,105
2,26/10/2018 17:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,95,125
2,29/10/2018 17:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,124,120
2,31/10/2018 17:00,Target Center,Minnesota Timberwolves,Utah Jazz,128,125
3,02/11/2018 19:30,ORACLE Arena,Golden State Warriors,Minnesota Timberwolves,116,99
3,04/11/2018 18:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,111,81
3,05/11/2018 19:30,Staples Center,LA Clippers,Minnesota Timberwolves,120,109
3,07/11/2018 19:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,114,110
4,09/11/2018 19:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,121,110
4,12/11/2018 17:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,120,113
4,14/11/2018 17:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,107,100
5,16/11/2018 17:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,112,96
5,18/11/2018 12:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,87,100
5,21/11/2018 17:00,Target Center,Minnesota Timberwolves,Denver Nuggets,101,103
6,23/11/2018 09:00,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,102,112
6,24/11/2018 17:00,Target Center,Minnesota Timberwolves,Chicago Bulls,111,96
6,26/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Minnesota Timberwolves,95,102
6,28/11/2018 17:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,128,89
7,01/12/2018 17:00,Target Center,Minnesota Timberwolves,Boston Celtics,109,118
7,03/12/2018 17:00,Target Center,Minnesota Timberwolves,Houston Rockets,103,91
7,05/12/2018 17:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,121,104
8,08/12/2018 19:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,113,105
8,10/12/2018 19:30,ORACLE Arena,Golden State Warriors,Minnesota Timberwolves,116,108
8,12/12/2018 19:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,141,130
9,15/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,107,99
9,17/12/2018 17:00,Target Center,Minnesota Timberwolves,Sacramento Kings,132,105
9,19/12/2018 17:00,Target Center,Minnesota Timberwolves,Detroit Pistons,123,129
10,21/12/2018 17:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,124,98
10,23/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,112,114
10,26/12/2018 17:00,United Center,Chicago Bulls,Minnesota Timberwolves,94,119
11,28/12/2018 17:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,120,123
11,30/12/2018 15:00,American Airlines Arena,Miami Heat,Minnesota Timberwolves,104,113
11,31/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,123,114
11,02/01/2019 17:00,TD Garden,Boston Celtics,Minnesota Timberwolves,115,102
12,04/01/2019 17:00,Target Center,Minnesota Timberwolves,Orlando Magic,120,103
12,06/01/2019 12:30,Target Center,Minnesota Timberwolves,Los Angeles Lakers,108,86
12,08/01/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,117,119
13,11/01/2019 17:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,115,119
13,12/01/2019 17:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,110,106
13,15/01/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,149,107
14,18/01/2019 17:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,113,116
14,20/01/2019 16:00,Target Center,Minnesota Timberwolves,Phoenix Suns,116,114
14,22/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,91,118
15,24/01/2019 19:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,105,120
15,25/01/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,106,102
15,27/01/2019 16:00,Target Center,Minnesota Timberwolves,Utah Jazz,111,125
15,30/01/2019 17:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,99,97
16,02/02/2019 18:00,Target Center,Minnesota Timberwolves,Denver Nuggets,106,107
16,05/02/2019 17:00,FedEx Forum,Memphis Grizzlies,Minnesota Timberwolves,108,106
17,07/02/2019 16:00,Amway Center,Orlando Magic,Minnesota Timberwolves,122,112
17,08/02/2019 18:30,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,122,117
17,11/02/2019 17:00,Target Center,Minnesota Timberwolves,LA Clippers,130,120
17,13/02/2019 17:00,Target Center,Minnesota Timberwolves,Houston Rockets,121,111
18,22/02/2019 16:30,Madison Square Garden,New York Knicks,Minnesota Timberwolves,104,115
18,23/02/2019 17:30,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,140,128
18,25/02/2019 17:00,Target Center,Minnesota Timberwolves,Sacramento Kings,112,105
18,27/02/2019 16:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,131,123
19,28/02/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Minnesota Timberwolves,122,115
19,03/03/2019 15:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,135,121
19,05/03/2019 17:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,131,120
19,06/03/2019 16:00,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,131,114
20,09/03/2019 17:00,Target Center,Minnesota Timberwolves,Washington Wizards,135,130
20,10/03/2019 17:00,Target Center,Minnesota Timberwolves,New York Knicks,103,92
20,12/03/2019 19:30,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,133,107
21,14/03/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,120,100
21,17/03/2019 18:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,117,102
21,19/03/2019 17:00,Target Center,Minnesota Timberwolves,Golden State Warriors,107,117
21,21/03/2019 16:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,113,106
22,23/03/2019 17:00,FedEx Forum,Memphis Grizzlies,Minnesota Timberwolves,99,112
22,26/03/2019 17:00,Target Center,Minnesota Timberwolves,LA Clippers,111,122
23,29/03/2019 17:00,Target Center,Minnesota Timberwolves,Golden State Warriors,131,130
23,30/03/2019 17:00,Target Center,Minnesota Timberwolves,Philadelphia 76ers,109,118
23,01/04/2019 17:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,122,132
