Home Team,Away Team,Home Score,Away Score
Philadelphia 76ers,Washington Wizards,113,107
New York Knicks,Philadelphia 76ers,89,109
Cleveland Cavaliers,Philadelphia 76ers,118,94
Philadelphia 76ers,Toronto Raptors,100,93
Orlando Magic,Philadelphia 76ers,92,116
Philadelphia 76ers,Charlotte Hornets,127,112
Philadelphia 76ers,Charlotte Hornets,118,101
Philadelphia 76ers,Washington Wizards,141,136
Brooklyn Nets,Philadelphia 76ers,122,109
Philadelphia 76ers,Denver Nuggets,103,115
Atlanta Hawks,Philadelphia 76ers,112,94
Philadelphia 76ers,Miami Heat,137,134
Philadelphia 76ers,Miami Heat,125,108
Memphis Grizzlies,Philadelphia 76ers,106,104
Philadelphia 76ers,Boston Celtics,117,109
Philadelphia 76ers,Boston Celtics,122,110
Detroit Pistons,Philadelphia 76ers,110,114
Detroit Pistons,Philadelphia 76ers,119,104
Philadelphia 76ers,Los Angeles Lakers,107,106
Minnesota Timberwolves,Philadelphia 76ers,94,118
Indiana Pacers,Philadelphia 76ers,110,119
Charlotte Hornets,Philadelphia 76ers,111,118
Philadelphia 76ers,Portland Trail Blazers,105,121
Philadelphia 76ers,Brooklyn Nets,124,108
Sacramento Kings,Philadelphia 76ers,111,119
Portland Trail Blazers,Philadelphia 76ers,118,114
Phoenix Suns,Philadelphia 76ers,120,111
Utah Jazz,Philadelphia 76ers,134,123
Philadelphia 76ers,Houston Rockets,118,113
Philadelphia 76ers,Chicago Bulls,112,105
Toronto Raptors,Philadelphia 76ers,110,103
Toronto Raptors,Philadelphia 76ers,102,109
Philadelphia 76ers,Dallas Mavericks,111,97
Philadelphia 76ers,Cleveland Cavaliers,109,112
Philadelphia 76ers,Indiana Pacers,130,114
Philadelphia 76ers,Utah Jazz,131,123
Chicago Bulls,Philadelphia 76ers,105,127
Washington Wizards,Philadelphia 76ers,101,127
Philadelphia 76ers,San Antonio Spurs,134,99
Philadelphia 76ers,New York Knicks,99,96
Philadelphia 76ers,Milwaukee Bucks,105,109
Philadelphia 76ers,Sacramento Kings,129,105
New York Knicks,Philadelphia 76ers,100,101
Golden State Warriors,Philadelphia 76ers,98,108
Los Angeles Lakers,Philadelphia 76ers,101,109
LA Clippers,Philadelphia 76ers,122,112
Denver Nuggets,Philadelphia 76ers,104,95
Cleveland Cavaliers,Philadelphia 76ers,94,114
Philadelphia 76ers,Minnesota Timberwolves,122,113
Philadelphia 76ers,Memphis Grizzlies,100,116
Boston Celtics,Philadelphia 76ers,96,106
New Orleans Pelicans,Philadelphia 76ers,101,94
Oklahoma City Thunder,Philadelphia 76ers,93,117
Dallas Mavericks,Philadelphia 76ers,95,113
Philadelphia 76ers,Brooklyn Nets,123,117
Philadelphia 76ers,LA Clippers,106,103
Philadelphia 76ers,Golden State Warriors,96,107
Philadelphia 76ers,Phoenix Suns,113,116
Milwaukee Bucks,Philadelphia 76ers,124,117
Milwaukee Bucks,Philadelphia 76ers,132,94
Philadelphia 76ers,Oklahoma City Thunder,121,90
Philadelphia 76ers,Atlanta Hawks,127,83
Philadelphia 76ers,Atlanta Hawks,126,104
San Antonio Spurs,Philadelphia 76ers,111,113
Chicago Bulls,Philadelphia 76ers,94,106
Houston Rockets,Philadelphia 76ers,115,135
Philadelphia 76ers,New Orleans Pelicans,109,107
Philadelphia 76ers,Detroit Pistons,118,104
Indiana Pacers,Philadelphia 76ers,103,94
Miami Heat,Philadelphia 76ers,106,94
Philadelphia 76ers,Orlando Magic,122,97
Philadelphia 76ers,Orlando Magic,128,117
