Home Team,Away Team,Home Score,Away Score
Portland Trail Blazers,Utah Jazz,100,120
Portland Trail Blazers,Houston Rockets,128,126
Los Angeles Lakers,Portland Trail Blazers,107,115
LA Clippers,Portland Trail Blazers,128,105
Golden State Warriors,Portland Trail Blazers,98,123
Golden State Warriors,Portland Trail Blazers,137,122
Portland Trail Blazers,Chicago Bulls,108,111
Portland Trail Blazers,Minnesota Timberwolves,135,117
Sacramento Kings,Portland Trail Blazers,99,125
Portland Trail Blazers,Toronto Raptors,112,11
Sacramento Kings,Portland Trail Blazers,126,132
Portland Trail Blazers,Indiana Pacers,87,111
Portland Trail Blazers,Atlanta Hawks,112,106
Portland Trail Blazers,San Antonio Spurs,104,125
Portland Trail Blazers,New York Knicks,116,113
Portland Trail Blazers,Oklahoma City Thunder,122,125
Houston Rockets,Portland Trail Blazers,104,101
Chicago Bulls,Portland Trail Blazers,122,123
Milwaukee Bucks,Portland Trail Blazers,134,106
Washington Wizards,Portland Trail Blazers,121,132
Philadelphia 76ers,Portland Trail Blazers,105,121
New York Knicks,Portland Trail Blazers,110,99
Portland Trail Blazers,Orlando Magic,106,97
Portland Trail Blazers,Philadelphia 76ers,118,114
Portland Trail Blazers,Cleveland Cavaliers,129,110
Dallas Mavericks,Portland Trail Blazers,118,121
Oklahoma City Thunder,Portland Trail Blazers,104,115
New Orleans Pelicans,Portland Trail Blazers,124,126
Portland Trail Blazers,Washington Wizards,111,118
Phoenix Suns,Portland Trail Blazers,132,100
Denver Nuggets,Portland Trail Blazers,111,106
Los Angeles Lakers,Portland Trail Blazers,102,93
Portland Trail Blazers,Charlotte Hornets,123,111
Portland Trail Blazers,Golden State Warriors,108,106
Portland Trail Blazers,Sacramento Kings,123,119
Portland Trail Blazers,Phoenix Suns,121,127
Minnesota Timberwolves,Portland Trail Blazers,121,125
Minnesota Timberwolves,Portland Trail Blazers,114,112
Portland Trail Blazers,New Orleans Pelicans,125,124
Portland Trail Blazers,New Orleans Pelicans,101,93
Portland Trail Blazers,Dallas Mavericks,125,119
Portland Trail Blazers,Dallas Mavericks,92,132
Portland Trail Blazers,Brooklyn Nets,112,116
Miami Heat,Portland Trail Blazers,122,125
Orlando Magic,Portland Trail Blazers,105,112
Toronto Raptors,Portland Trail Blazers,117,122
Detroit Pistons,Portland Trail Blazers,101,124
Portland Trail Blazers,Milwaukee Bucks,109,127
Portland Trail Blazers,Oklahoma City Thunder,133,85
LA Clippers,Portland Trail Blazers,133,116
Utah Jazz,Portland Trail Blazers,122,103
Portland Trail Blazers,Detroit Pistons,118,103
Portland Trail Blazers,Miami Heat,98,107
Portland Trail Blazers,Boston Celtics,115,116
San Antonio Spurs,Portland Trail Blazers,106,107
Charlotte Hornets,Portland Trail Blazers,109,101
Portland Trail Blazers,LA Clippers,112,113
Portland Trail Blazers,Denver Nuggets,105,106
Portland Trail Blazers,Memphis Grizzlies,128,130
Portland Trail Blazers,Memphis Grizzlies,113,120
Indiana Pacers,Portland Trail Blazers,112,133
Memphis Grizzlies,Portland Trail Blazers,109,130
Brooklyn Nets,Portland Trail Blazers,109,128
Boston Celtics,Portland Trail Blazers,119,129
Atlanta Hawks,Portland Trail Blazers,123,114
Cleveland Cavaliers,Portland Trail Blazers,105,141
Portland Trail Blazers,Los Angeles Lakers,106,101
Portland Trail Blazers,San Antonio Spurs,124,102
Portland Trail Blazers,Houston Rockets,140,129
Utah Jazz,Portland Trail Blazers,98,105
Phoenix Suns,Portland Trail Blazers,118,117
Portland Trail Blazers,Denver Nuggets,132,116
