Home Team,Away Team,Home Score,Away Score
Chicago Bulls,Atlanta Hawks,104,124
Chicago Bulls,Indiana Pacers,106,125
Chicago Bulls,Golden State Warriors,128,129
Washington Wizards,Chicago Bulls,107,115
Washington Wizards,Chicago Bulls,130,133
Milwaukee Bucks,Chicago Bulls,126,96
Chicago Bulls,Dallas Mavericks,118,108
Portland Trail Blazers,Chicago Bulls,108,111
Sacramento Kings,Chicago Bulls,128,124
Los Angeles Lakers,Chicago Bulls,117,115
LA Clippers,Chicago Bulls,130,127
Oklahoma City Thunder,Chicago Bulls,127,125
Dallas Mavericks,Chicago Bulls,101,117
Chicago Bulls,Houston Rockets,125,120
Charlotte Hornets,Chicago Bulls,110,123
Chicago Bulls,Los Angeles Lakers,90,101
Chicago Bulls,Boston Celtics,103,119
Chicago Bulls,Portland Trail Blazers,122,123
Chicago Bulls,New York Knicks,110,102
Chicago Bulls,New York Knicks,103,107
Orlando Magic,Chicago Bulls,123,119
Orlando Magic,Chicago Bulls,92,118
Chicago Bulls,Washington Wizards,101,105
Chicago Bulls,New Orleans Pelicans,129,116
Chicago Bulls,LA Clippers,106,125
Indiana Pacers,Chicago Bulls,112,120
Chicago Bulls,Detroit Pistons,105,102
Philadelphia 76ers,Chicago Bulls,112,105
Chicago Bulls,Sacramento Kings,122,114
Houston Rockets,Chicago Bulls,100,120
Chicago Bulls,Minnesota Timberwolves,133,126
Chicago Bulls,Phoenix Suns,97,106
Chicago Bulls,Denver Nuggets,112,118
New Orleans Pelicans,Chicago Bulls,124,128
Chicago Bulls,Philadelphia 76ers,105,127
Chicago Bulls,Miami Heat,90,101
Chicago Bulls,Toronto Raptors,118,95
Chicago Bulls,Oklahoma City Thunder,123,102
Chicago Bulls,San Antonio Spurs,99,106
Denver Nuggets,Chicago Bulls,131,127
Detroit Pistons,Chicago Bulls,86,100
Chicago Bulls,Utah Jazz,95,120
Chicago Bulls,Cleveland Cavaliers,94,103
San Antonio Spurs,Chicago Bulls,120,104
Golden State Warriors,Chicago Bulls,116,102
Phoenix Suns,Chicago Bulls,121,116
Utah Jazz,Chicago Bulls,113,106
Chicago Bulls,Brooklyn Nets,115,107
Indiana Pacers,Chicago Bulls,97,113
Toronto Raptors,Chicago Bulls,113,122
Atlanta Hawks,Chicago Bulls,120,108
Minnesota Timberwolves,Chicago Bulls,121,117
Memphis Grizzlies,Chicago Bulls,101,90
Chicago Bulls,Orlando Magic,106,115
Chicago Bulls,Memphis Grizzlies,115,126
Chicago Bulls,Cleveland Cavaliers,106,96
Boston Celtics,Chicago Bulls,96,102
Cleveland Cavaliers,Chicago Bulls,121,105
Chicago Bulls,Charlotte Hornets,108,91
Miami Heat,Chicago Bulls,106,101
Miami Heat,Chicago Bulls,102,110
New York Knicks,Chicago Bulls,113,94
Chicago Bulls,Milwaukee Bucks,98,108
Atlanta Hawks,Chicago Bulls,108,97
Chicago Bulls,Philadelphia 76ers,94,106
Charlotte Hornets,Chicago Bulls,99,120
Chicago Bulls,Boston Celtics,121,99
Detroit Pistons,Chicago Bulls,96,108
Chicago Bulls,Brooklyn Nets,107,115
Chicago Bulls,Toronto Raptors,114,102
Brooklyn Nets,Chicago Bulls,105,91
Chicago Bulls,Milwaukee Bucks,118,112
