Home Team,Away Team,Home Score,Away Score
Cleveland Cavaliers,Charlotte Hornets,121,114
Detroit Pistons,Cleveland Cavaliers,119,128
Cleveland Cavaliers,Philadelphia 76ers,118,94
Cleveland Cavaliers,New York Knicks,86,95
Indiana Pacers,Cleveland Cavaliers,119,99
Atlanta Hawks,Cleveland Cavaliers,91,96
Orlando Magic,Cleveland Cavaliers,103,83
Orlando Magic,Cleveland Cavaliers,105,94
Memphis Grizzlies,Cleveland Cavaliers,90,94
Milwaukee Bucks,Cleveland Cavaliers,100,90
Cleveland Cavaliers,Memphis Grizzlies,91,101
Cleveland Cavaliers,Utah Jazz,87,117
Cleveland Cavaliers,New York Knicks,106,103
Cleveland Cavaliers,Brooklyn Nets,147,135
Cleveland Cavaliers,Brooklyn Nets,125,113
Boston Celtics,Cleveland Cavaliers,141,103
Cleveland Cavaliers,Los Angeles Lakers,108,115
Cleveland Cavaliers,Detroit Pistons,122,107
New York Knicks,Cleveland Cavaliers,102,81
Minnesota Timberwolves,Cleveland Cavaliers,109,104
Cleveland Cavaliers,Minnesota Timberwolves,100,98
Cleveland Cavaliers,LA Clippers,99,121
Cleveland Cavaliers,Milwaukee Bucks,105,123
Cleveland Cavaliers,Milwaukee Bucks,99,124
Phoenix Suns,Cleveland Cavaliers,119,113
Denver Nuggets,Cleveland Cavaliers,133,95
Portland Trail Blazers,Cleveland Cavaliers,129,110
LA Clippers,Cleveland Cavaliers,128,111
Golden State Warriors,Cleveland Cavaliers,129,98
Cleveland Cavaliers,Denver Nuggets,103,120
Cleveland Cavaliers,Oklahoma City Thunder,101,117
Cleveland Cavaliers,Atlanta Hawks,112,111
Cleveland Cavaliers,Houston Rockets,112,96
Philadelphia 76ers,Cleveland Cavaliers,109,112
Houston Rockets,Cleveland Cavaliers,90,101
Cleveland Cavaliers,Indiana Pacers,111,114
New Orleans Pelicans,Cleveland Cavaliers,116,82
Atlanta Hawks,Cleveland Cavaliers,100,82
Miami Heat,Cleveland Cavaliers,113,98
Cleveland Cavaliers,Boston Celtics,117,110
Cleveland Cavaliers,San Antonio Spurs,110,116
Cleveland Cavaliers,Toronto Raptors,116,105
Cleveland Cavaliers,Sacramento Kings,105,119
Chicago Bulls,Cleveland Cavaliers,94,103
Los Angeles Lakers,Cleveland Cavaliers,100,86
Sacramento Kings,Cleveland Cavaliers,100,98
Utah Jazz,Cleveland Cavaliers,114,75
Cleveland Cavaliers,Philadelphia 76ers,94,114
Miami Heat,Cleveland Cavaliers,115,101
San Antonio Spurs,Cleveland Cavaliers,101,125
Oklahoma City Thunder,Cleveland Cavaliers,102,129
Cleveland Cavaliers,Toronto Raptors,115,135
Cleveland Cavaliers,New Orleans Pelicans,109,116
Charlotte Hornets,Cleveland Cavaliers,90,103
Cleveland Cavaliers,Golden State Warriors,101,119
Chicago Bulls,Cleveland Cavaliers,106,96
Detroit Pistons,Cleveland Cavaliers,109,105
Cleveland Cavaliers,Chicago Bulls,121,105
Charlotte Hornets,Cleveland Cavaliers,108,102
Washington Wizards,Cleveland Cavaliers,119,110
Toronto Raptors,Cleveland Cavaliers,112,96
Cleveland Cavaliers,Orlando Magic,104,109
Cleveland Cavaliers,Washington Wizards,93,122
Cleveland Cavaliers,Miami Heat,107,124
Cleveland Cavaliers,Phoenix Suns,118,134
Cleveland Cavaliers,Portland Trail Blazers,105,141
Dallas Mavericks,Cleveland Cavaliers,110,90
Cleveland Cavaliers,Dallas Mavericks,97,124
Cleveland Cavaliers,Indiana Pacers,102,111
Cleveland Cavaliers,Boston Celtics,102,94
Washington Wizards,Cleveland Cavaliers,120,105
Brooklyn Nets,Cleveland Cavaliers,123,109
