Home Team,Away Team,Home Score,Away Score
Boston Celtics,Milwaukee Bucks,122,121
Boston Celtics,Brooklyn Nets,95,123
Indiana Pacers,Boston Celtics,108,107
Indiana Pacers,Boston Celtics,111,116
Boston Celtics,Memphis Grizzlies,126,107
Detroit Pistons,Boston Celtics,96,93
Detroit Pistons,Boston Celtics,120,122
Toronto Raptors,Boston Celtics,114,126
Miami Heat,Boston Celtics,105,107
Boston Celtics,Washington Wizards,116,107
Boston Celtics,Orlando Magic,124,97
Boston Celtics,New York Knicks,75,105
Philadelphia 76ers,Boston Celtics,117,109
Philadelphia 76ers,Boston Celtics,122,110
Boston Celtics,Cleveland Cavaliers,141,103
Chicago Bulls,Boston Celtics,103,119
San Antonio Spurs,Boston Celtics,110,106
Boston Celtics,Los Angeles Lakers,95,96
Golden State Warriors,Boston Celtics,107,111
Sacramento Kings,Boston Celtics,116,111
LA Clippers,Boston Celtics,115,119
Phoenix Suns,Boston Celtics,100,91
Utah Jazz,Boston Celtics,122,108
Boston Celtics,Toronto Raptors,120,106
Boston Celtics,Detroit Pistons,102,108
Washington Wizards,Boston Celtics,104,91
Boston Celtics,Denver Nuggets,112,99
Boston Celtics,Atlanta Hawks,114,122
Boston Celtics,Atlanta Hawks,121,109
New Orleans Pelicans,Boston Celtics,120,115
Dallas Mavericks,Boston Celtics,110,107
Atlanta Hawks,Boston Celtics,127,112
Boston Celtics,Indiana Pacers,118,112
Boston Celtics,Washington Wizards,111,110
Boston Celtics,LA Clippers,117,112
Boston Celtics,Toronto Raptors,132,125
Brooklyn Nets,Boston Celtics,121,109
Houston Rockets,Boston Celtics,107,134
Boston Celtics,Utah Jazz,109,117
Cleveland Cavaliers,Boston Celtics,117,110
Boston Celtics,Sacramento Kings,96,107
Boston Celtics,Orlando Magic,112,96
Memphis Grizzlies,Boston Celtics,132,126
Milwaukee Bucks,Boston Celtics,121,119
Milwaukee Bucks,Boston Celtics,114,122
Oklahoma City Thunder,Boston Celtics,94,111
Boston Celtics,New Orleans Pelicans,109,115
Boston Celtics,Dallas Mavericks,108,113
Boston Celtics,Houston Rockets,118,102
Boston Celtics,Charlotte Hornets,116,86
Boston Celtics,Philadelphia 76ers,96,106
Boston Celtics,New York Knicks,101,99
Boston Celtics,Minnesota Timberwolves,145,136
Denver Nuggets,Boston Celtics,87,105
Portland Trail Blazers,Boston Celtics,115,116
Los Angeles Lakers,Boston Celtics,113,121
Boston Celtics,Golden State Warriors,119,114
Boston Celtics,Chicago Bulls,96,102
Boston Celtics,Phoenix Suns,99,86
Brooklyn Nets,Boston Celtics,109,104
Charlotte Hornets,Boston Celtics,125,104
Boston Celtics,Oklahoma City Thunder,115,119
Boston Celtics,Charlotte Hornets,120,111
Boston Celtics,San Antonio Spurs,143,140
Boston Celtics,Portland Trail Blazers,119,129
Orlando Magic,Boston Celtics,96,132
Chicago Bulls,Boston Celtics,121,99
Boston Celtics,Miami Heat,124,130
Boston Celtics,Miami Heat,121,129
Cleveland Cavaliers,Boston Celtics,102,94
Minnesota Timberwolves,Boston Celtics,108,124
New York Knicks,Boston Celtics,96,92
