Home Team,Away Team,Home Score,Away Score
Los Angeles Lakers,LA Clippers,109,116
Denver Nuggets,LA Clippers,108,121
LA Clippers,Dallas Mavericks,73,124
LA Clippers,Minnesota Timberwolves,124,101
LA Clippers,Portland Trail Blazers,128,105
Utah Jazz,LA Clippers,106,100
Phoenix Suns,LA Clippers,107,112
LA Clippers,San Antonio Spurs,113,116
Golden State Warriors,LA Clippers,101,108
Golden State Warriors,LA Clippers,115,105
LA Clippers,Chicago Bulls,130,127
LA Clippers,New Orleans Pelicans,111,106
Sacramento Kings,LA Clippers,100,138
LA Clippers,Indiana Pacers,129,96
LA Clippers,Sacramento Kings,115,96
LA Clippers,Oklahoma City Thunder,120,106
LA Clippers,Oklahoma City Thunder,108,100
Atlanta Hawks,LA Clippers,108,99
Miami Heat,LA Clippers,105,109
Orlando Magic,LA Clippers,90,116
New York Knicks,LA Clippers,115,129
Brooklyn Nets,LA Clippers,124,120
Cleveland Cavaliers,LA Clippers,99,121
LA Clippers,Boston Celtics,115,119
LA Clippers,Sacramento Kings,110,113
Minnesota Timberwolves,LA Clippers,112,119
Chicago Bulls,LA Clippers,106,125
LA Clippers,Cleveland Cavaliers,128,111
LA Clippers,Miami Heat,125,118
LA Clippers,Utah Jazz,96,114
LA Clippers,Utah Jazz,116,112
LA Clippers,Brooklyn Nets,108,112
LA Clippers,Washington Wizards,135,116
Memphis Grizzlies,LA Clippers,122,94
Memphis Grizzlies,LA Clippers,99,119
Milwaukee Bucks,LA Clippers,105,100
Boston Celtics,LA Clippers,117,112
Washington Wizards,LA Clippers,119,117
LA Clippers,Golden State Warriors,130,104
New Orleans Pelicans,LA Clippers,135,115
Dallas Mavericks,LA Clippers,99,109
Dallas Mavericks,LA Clippers,105,89
LA Clippers,Charlotte Hornets,125,98
LA Clippers,Atlanta Hawks,119,110
San Antonio Spurs,LA Clippers,101,134
San Antonio Spurs,LA Clippers,85,98
LA Clippers,Philadelphia 76ers,122,112
LA Clippers,Milwaukee Bucks,129,105
LA Clippers,Orlando Magic,96,103
LA Clippers,Denver Nuggets,94,101
LA Clippers,Los Angeles Lakers,104,86
LA Clippers,Portland Trail Blazers,133,116
LA Clippers,Phoenix Suns,113,103
LA Clippers,Houston Rockets,126,109
LA Clippers,Detroit Pistons,131,124
Indiana Pacers,LA Clippers,115,126
Detroit Pistons,LA Clippers,98,100
Philadelphia 76ers,LA Clippers,106,103
LA Clippers,Minnesota Timberwolves,124,105
Portland Trail Blazers,LA Clippers,112,113
LA Clippers,Memphis Grizzlies,117,105
Houston Rockets,LA Clippers,104,109
New Orleans Pelicans,LA Clippers,120,103
Phoenix Suns,LA Clippers,109,101
LA Clippers,Denver Nuggets,104,110
LA Clippers,Toronto Raptors,105,100
LA Clippers,Los Angeles Lakers,118,94
LA Clippers,New York Knicks,100,106
Toronto Raptors,LA Clippers,96,115
Charlotte Hornets,LA Clippers,90,113
Houston Rockets,LA Clippers,122,115
Oklahoma City Thunder,LA Clippers,117,112
