Home Team,Away Team,Home Score,Away Score
Memphis Grizzlies,San Antonio Spurs,119,131
Memphis Grizzlies,Atlanta Hawks,112,122
Brooklyn Nets,Memphis Grizzlies,111,116
Boston Celtics,Memphis Grizzlies,126,107
Charlotte Hornets,Memphis Grizzlies,93,108
Memphis Grizzlies,Los Angeles Lakers,94,108
Memphis Grizzlies,Los Angeles Lakers,92,94
Memphis Grizzlies,Cleveland Cavaliers,90,94
Memphis Grizzlies,Brooklyn Nets,115,110
Cleveland Cavaliers,Memphis Grizzlies,91,101
Minnesota Timberwolves,Memphis Grizzlies,107,118
Memphis Grizzlies,Philadelphia 76ers,106,104
Memphis Grizzlies,Phoenix Suns,108,104
San Antonio Spurs,Memphis Grizzlies,112,129
San Antonio Spurs,Memphis Grizzlies,102,133
Indiana Pacers,Memphis Grizzlies,134,116
Memphis Grizzlies,Houston Rockets,103,115
New Orleans Pelicans,Memphis Grizzlies,118,109
Memphis Grizzlies,Toronto Raptors,113,128
Memphis Grizzlies,Charlotte Hornets,130,114
Los Angeles Lakers,Memphis Grizzlies,115,105
Sacramento Kings,Memphis Grizzlies,110,124
Memphis Grizzlies,New Orleans Pelicans,113,144
Memphis Grizzlies,Oklahoma City Thunder,122,113
Memphis Grizzlies,Detroit Pistons,109,95
Memphis Grizzlies,Phoenix Suns,97,128
Dallas Mavericks,Memphis Grizzlies,102,92
Memphis Grizzlies,LA Clippers,122,94
Memphis Grizzlies,LA Clippers,99,119
Houston Rockets,Memphis Grizzlies,84,133
Washington Wizards,Memphis Grizzlies,111,125
Memphis Grizzlies,Milwaukee Bucks,111,112
Memphis Grizzlies,Washington Wizards,127,112
Memphis Grizzlies,Denver Nuggets,102,103
Oklahoma City Thunder,Memphis Grizzlies,128,122
Phoenix Suns,Memphis Grizzlies,122,99
Memphis Grizzlies,Miami Heat,89,85
Memphis Grizzlies,Golden State Warriors,103,116
Memphis Grizzlies,Golden State Warriors,111,103
Memphis Grizzlies,Boston Celtics,132,126
Oklahoma City Thunder,Memphis Grizzlies,107,116
Utah Jazz,Memphis Grizzlies,117,114
Utah Jazz,Memphis Grizzlies,126,110
Houston Rockets,Memphis Grizzlies,110,120
Memphis Grizzlies,Utah Jazz,107,111
Memphis Grizzlies,Minnesota Timberwolves,120,108
Philadelphia 76ers,Memphis Grizzlies,100,116
Miami Heat,Memphis Grizzlies,112,124
Atlanta Hawks,Memphis Grizzlies,113,131
New York Knicks,Memphis Grizzlies,133,129
Memphis Grizzlies,Indiana Pacers,125,132
Memphis Grizzlies,Chicago Bulls,101,90
Memphis Grizzlies,Dallas Mavericks,113,114
Chicago Bulls,Memphis Grizzlies,115,126
Milwaukee Bucks,Memphis Grizzlies,115,128
Denver Nuggets,Memphis Grizzlies,139,137
LA Clippers,Memphis Grizzlies,117,105
Portland Trail Blazers,Memphis Grizzlies,128,130
Portland Trail Blazers,Memphis Grizzlies,113,120
Denver Nuggets,Memphis Grizzlies,120,96
Memphis Grizzlies,Portland Trail Blazers,109,130
Memphis Grizzlies,Orlando Magic,92,75
Orlando Magic,Memphis Grizzlies,112,111
Memphis Grizzlies,New York Knicks,104,118
Minnesota Timberwolves,Memphis Grizzlies,135,139
Detroit Pistons,Memphis Grizzlies,111,97
Toronto Raptors,Memphis Grizzlies,99,109
Memphis Grizzlies,New Orleans Pelicans,115,110
Memphis Grizzlies,Dallas Mavericks,133,104
Memphis Grizzlies,Sacramento Kings,116,110
Memphis Grizzlies,Sacramento Kings,107,106
Golden State Warriors,Memphis Grizzlies,113,101
