Home Team,Away Team,Home Score,Away Score
Orlando Magic,Miami Heat,113,107
Miami Heat,New Orleans Pelicans,111,98
Miami Heat,Milwaukee Bucks,97,114
Miami Heat,Milwaukee Bucks,119,108
Dallas Mavericks,Miami Heat,93,83
Miami Heat,Oklahoma City Thunder,118,90
Miami Heat,Boston Celtics,105,107
Washington Wizards,Miami Heat,124,128
Philadelphia 76ers,Miami Heat,137,134
Philadelphia 76ers,Miami Heat,125,108
Miami Heat,Detroit Pistons,100,120
Miami Heat,Detroit Pistons,113,107
Toronto Raptors,Miami Heat,102,111
Toronto Raptors,Miami Heat,101,81
Brooklyn Nets,Miami Heat,128,124
Brooklyn Nets,Miami Heat,98,85
Miami Heat,Denver Nuggets,82,109
Miami Heat,LA Clippers,105,109
Miami Heat,Sacramento Kings,105,104
Miami Heat,Charlotte Hornets,121,129
Miami Heat,Washington Wizards,100,103
Miami Heat,Washington Wizards,122,95
New York Knicks,Miami Heat,103,109
Miami Heat,New York Knicks,98,96
Houston Rockets,Miami Heat,94,101
Utah Jazz,Miami Heat,112,94
LA Clippers,Miami Heat,125,118
Golden State Warriors,Miami Heat,120,112
Sacramento Kings,Miami Heat,110,118
Los Angeles Lakers,Miami Heat,94,96
Oklahoma City Thunder,Miami Heat,94,108
Miami Heat,Toronto Raptors,116,108
Miami Heat,Utah Jazz,124,116
Miami Heat,Atlanta Hawks,109,99
Miami Heat,Atlanta Hawks,80,94
New Orleans Pelicans,Miami Heat,93,103
Miami Heat,Orlando Magic,111,103
Chicago Bulls,Miami Heat,90,101
Orlando Magic,Miami Heat,97,102
Miami Heat,Cleveland Cavaliers,113,98
Memphis Grizzlies,Miami Heat,89,85
Miami Heat,Indiana Pacers,110,137
Miami Heat,Indiana Pacers,106,109
Miami Heat,Phoenix Suns,100,110
Miami Heat,Portland Trail Blazers,122,125
Charlotte Hornets,Miami Heat,110,105
New York Knicks,Miami Heat,88,98
Indiana Pacers,Miami Heat,87,92
Miami Heat,Golden State Warriors,116,109
Miami Heat,Cleveland Cavaliers,115,101
Miami Heat,Memphis Grizzlies,112,124
Miami Heat,Los Angeles Lakers,110,104
Portland Trail Blazers,Miami Heat,98,107
Phoenix Suns,Miami Heat,106,86
Denver Nuggets,Miami Heat,123,106
Minnesota Timberwolves,Miami Heat,119,111
Miami Heat,Brooklyn Nets,109,107
Miami Heat,Houston Rockets,113,91
San Antonio Spurs,Miami Heat,87,107
Atlanta Hawks,Miami Heat,118,103
Miami Heat,Chicago Bulls,106,101
Miami Heat,Chicago Bulls,102,110
Miami Heat,San Antonio Spurs,116,111
Cleveland Cavaliers,Miami Heat,107,124
Charlotte Hornets,Miami Heat,111,121
Miami Heat,Dallas Mavericks,113,127
Miami Heat,Minnesota Timberwolves,121,112
Boston Celtics,Miami Heat,124,130
Boston Celtics,Miami Heat,121,129
Miami Heat,Philadelphia 76ers,106,94
Milwaukee Bucks,Miami Heat,122,108
Detroit Pistons,Miami Heat,107,120
