Home Team,Away Team,Home Score,Away Score
Cleveland Cavaliers,Charlotte Hornets,121,114
Charlotte Hornets,Oklahoma City Thunder,107,109
Charlotte Hornets,Brooklyn Nets,106,104
Dallas Mavericks,Charlotte Hornets,99,118
Charlotte Hornets,Memphis Grizzlies,93,108
Philadelphia 76ers,Charlotte Hornets,127,112
Philadelphia 76ers,Charlotte Hornets,118,101
Atlanta Hawks,Charlotte Hornets,94,102
New Orleans Pelicans,Charlotte Hornets,110,118
Charlotte Hornets,Atlanta Hawks,113,105
Charlotte Hornets,New York Knicks,109,88
Charlotte Hornets,Dallas Mavericks,93,104
Toronto Raptors,Charlotte Hornets,111,108
Toronto Raptors,Charlotte Hornets,116,113
Charlotte Hornets,Chicago Bulls,110,123
Orlando Magic,Charlotte Hornets,104,107
Orlando Magic,Charlotte Hornets,117,108
Charlotte Hornets,Indiana Pacers,106,116
Charlotte Hornets,Indiana Pacers,108,105
Charlotte Hornets,Milwaukee Bucks,126,114
Miami Heat,Charlotte Hornets,121,129
Charlotte Hornets,Philadelphia 76ers,111,118
Charlotte Hornets,Utah Jazz,121,138
Charlotte Hornets,Washington Wizards,119,97
Charlotte Hornets,Houston Rockets,119,94
Memphis Grizzlies,Charlotte Hornets,130,114
Charlotte Hornets,Minnesota Timberwolves,120,114
Charlotte Hornets,San Antonio Spurs,110,122
Charlotte Hornets,Golden State Warriors,102,100
Utah Jazz,Charlotte Hornets,132,110
Phoenix Suns,Charlotte Hornets,121,124
Golden State Warriors,Charlotte Hornets,130,121
Sacramento Kings,Charlotte Hornets,126,127
Portland Trail Blazers,Charlotte Hornets,123,111
Minnesota Timberwolves,Charlotte Hornets,102,135
Charlotte Hornets,Detroit Pistons,105,102
Charlotte Hornets,Toronto Raptors,114,104
Charlotte Hornets,Sacramento Kings,122,116
Denver Nuggets,Charlotte Hornets,129,104
Los Angeles Lakers,Charlotte Hornets,116,105
LA Clippers,Charlotte Hornets,125,98
San Antonio Spurs,Charlotte Hornets,97,100
Houston Rockets,Charlotte Hornets,97,122
Charlotte Hornets,Miami Heat,110,105
Charlotte Hornets,Phoenix Suns,97,101
Washington Wizards,Charlotte Hornets,104,114
Brooklyn Nets,Charlotte Hornets,111,89
Indiana Pacers,Charlotte Hornets,97,114
Boston Celtics,Charlotte Hornets,116,86
Oklahoma City Thunder,Charlotte Hornets,102,113
Milwaukee Bucks,Charlotte Hornets,119,127
Charlotte Hornets,Atlanta Hawks,101,105
Charlotte Hornets,Los Angeles Lakers,93,101
Charlotte Hornets,Cleveland Cavaliers,90,103
Brooklyn Nets,Charlotte Hornets,130,115
Charlotte Hornets,Portland Trail Blazers,109,101
New York Knicks,Charlotte Hornets,109,97
Chicago Bulls,Charlotte Hornets,108,91
Charlotte Hornets,Cleveland Cavaliers,108,102
Charlotte Hornets,Boston Celtics,125,104
Charlotte Hornets,Milwaukee Bucks,104,114
Boston Celtics,Charlotte Hornets,120,111
Charlotte Hornets,Detroit Pistons,107,94
Charlotte Hornets,Miami Heat,111,121
Detroit Pistons,Charlotte Hornets,99,102
Charlotte Hornets,Chicago Bulls,99,120
Charlotte Hornets,Orlando Magic,122,112
Charlotte Hornets,New Orleans Pelicans,110,112
Charlotte Hornets,Denver Nuggets,112,117
Charlotte Hornets,LA Clippers,90,113
New York Knicks,Charlotte Hornets,118,109
Washington Wizards,Charlotte Hornets,115,110
