Home Team,Away Team,Home Score,Away Score
Denver Nuggets,Sacramento Kings,122,124
Sacramento Kings,Phoenix Suns,106,103
Sacramento Kings,Phoenix Suns,100,116
Sacramento Kings,Denver Nuggets,125,115
Houston Rockets,Sacramento Kings,122,119
Houston Rockets,Sacramento Kings,102,94
Golden State Warriors,Sacramento Kings,137,106
Sacramento Kings,Chicago Bulls,128,124
Sacramento Kings,Toronto Raptors,123,144
Sacramento Kings,Portland Trail Blazers,99,125
Sacramento Kings,Indiana Pacers,127,122
Sacramento Kings,Portland Trail Blazers,126,132
Sacramento Kings,LA Clippers,100,138
Sacramento Kings,New Orleans Pelicans,123,128
LA Clippers,Sacramento Kings,115,96
Sacramento Kings,New York Knicks,103,94
Orlando Magic,Sacramento Kings,107,121
Toronto Raptors,Sacramento Kings,124,126
Miami Heat,Sacramento Kings,105,104
New Orleans Pelicans,Sacramento Kings,109,118
Sacramento Kings,Boston Celtics,116,111
Sacramento Kings,Denver Nuggets,119,114
LA Clippers,Sacramento Kings,110,113
Sacramento Kings,Philadelphia 76ers,111,119
Sacramento Kings,Orlando Magic,112,123
Sacramento Kings,Memphis Grizzlies,110,124
Sacramento Kings,Brooklyn Nets,125,136
Sacramento Kings,Miami Heat,110,118
Chicago Bulls,Sacramento Kings,122,114
Milwaukee Bucks,Sacramento Kings,128,115
Brooklyn Nets,Sacramento Kings,127,118
New York Knicks,Sacramento Kings,140,121
Detroit Pistons,Sacramento Kings,107,110
Sacramento Kings,Charlotte Hornets,126,127
Sacramento Kings,Los Angeles Lakers,123,120
Portland Trail Blazers,Sacramento Kings,123,119
Sacramento Kings,Houston Rockets,125,105
Atlanta Hawks,Sacramento Kings,121,106
Charlotte Hornets,Sacramento Kings,122,116
Washington Wizards,Sacramento Kings,119,121
Boston Celtics,Sacramento Kings,96,107
Philadelphia 76ers,Sacramento Kings,129,105
Cleveland Cavaliers,Sacramento Kings,105,119
Sacramento Kings,Atlanta Hawks,110,108
Sacramento Kings,Golden State Warriors,141,119
Sacramento Kings,Cleveland Cavaliers,100,98
San Antonio Spurs,Sacramento Kings,115,132
San Antonio Spurs,Sacramento Kings,120,106
Sacramento Kings,Los Angeles Lakers,94,115
Sacramento Kings,Milwaukee Bucks,128,129
Minnesota Timberwolves,Sacramento Kings,116,106
Sacramento Kings,Detroit Pistons,101,113
Utah Jazz,Sacramento Kings,128,112
New Orleans Pelicans,Sacramento Kings,117,110
Sacramento Kings,Washington Wizards,111,123
Phoenix Suns,Sacramento Kings,122,114
Dallas Mavericks,Sacramento Kings,107,121
Sacramento Kings,Minnesota Timberwolves,120,134
Sacramento Kings,Minnesota Timberwolves,128,125
Golden State Warriors,Sacramento Kings,117,113
Sacramento Kings,Dallas Mavericks,113,106
Sacramento Kings,Utah Jazz,105,154
Los Angeles Lakers,Sacramento Kings,106,110
Dallas Mavericks,Sacramento Kings,99,111
Oklahoma City Thunder,Sacramento Kings,99,103
Indiana Pacers,Sacramento Kings,93,104
Sacramento Kings,San Antonio Spurs,104,113
Sacramento Kings,Oklahoma City Thunder,126,98
Sacramento Kings,Oklahoma City Thunder,122,106
Memphis Grizzlies,Sacramento Kings,116,110
Memphis Grizzlies,Sacramento Kings,107,106
Sacramento Kings,Utah Jazz,99,121
