Home Team,Away Team,Home Score,Away Score
Indiana Pacers,New York Knicks,121,107
New York Knicks,Philadelphia 76ers,89,109
New York Knicks,Milwaukee Bucks,130,110
Cleveland Cavaliers,New York Knicks,86,95
Toronto Raptors,New York Knicks,100,83
Indiana Pacers,New York Knicks,102,106
Atlanta Hawks,New York Knicks,108,113
New York Knicks,Utah Jazz,112,100
New York Knicks,Oklahoma City Thunder,89,101
New York Knicks,Denver Nuggets,89,114
Charlotte Hornets,New York Knicks,109,88
New York Knicks,Brooklyn Nets,109,116
Cleveland Cavaliers,New York Knicks,106,103
Boston Celtics,New York Knicks,75,105
New York Knicks,Orlando Magic,91,84
Golden State Warriors,New York Knicks,104,119
Sacramento Kings,New York Knicks,103,94
Portland Trail Blazers,New York Knicks,116,113
Utah Jazz,New York Knicks,108,94
New York Knicks,Cleveland Cavaliers,102,81
New York Knicks,LA Clippers,115,129
Chicago Bulls,New York Knicks,110,102
Chicago Bulls,New York Knicks,103,107
New York Knicks,Portland Trail Blazers,110,99
New York Knicks,Miami Heat,103,109
Miami Heat,New York Knicks,98,96
Washington Wizards,New York Knicks,91,109
New York Knicks,Houston Rockets,121,99
New York Knicks,Atlanta Hawks,123,112
Orlando Magic,New York Knicks,107,89
New York Knicks,Minnesota Timberwolves,103,99
New York Knicks,Golden State Warriors,106,114
New York Knicks,Sacramento Kings,140,121
New York Knicks,Indiana Pacers,110,107
Detroit Pistons,New York Knicks,90,109
San Antonio Spurs,New York Knicks,119,93
New York Knicks,Detroit Pistons,114,104
Milwaukee Bucks,New York Knicks,134,101
Oklahoma City Thunder,New York Knicks,97,119
Brooklyn Nets,New York Knicks,117,112
Philadelphia 76ers,New York Knicks,99,96
New York Knicks,Orlando Magic,94,93
New York Knicks,Philadelphia 76ers,100,101
New York Knicks,Washington Wizards,131,113
New York Knicks,Washington Wizards,106,102
Milwaukee Bucks,New York Knicks,96,102
New York Knicks,Miami Heat,88,98
Minnesota Timberwolves,New York Knicks,102,101
New York Knicks,Dallas Mavericks,86,99
Detroit Pistons,New York Knicks,81,125
Brooklyn Nets,New York Knicks,114,112
Boston Celtics,New York Knicks,101,99
New York Knicks,Memphis Grizzlies,133,129
New York Knicks,Toronto Raptors,102,96
New York Knicks,Los Angeles Lakers,111,96
New Orleans Pelicans,New York Knicks,106,116
Dallas Mavericks,New York Knicks,109,117
New York Knicks,New Orleans Pelicans,122,112
New York Knicks,Charlotte Hornets,109,97
New York Knicks,Atlanta Hawks,137,127
New York Knicks,Toronto Raptors,120,103
New York Knicks,Phoenix Suns,110,118
New York Knicks,Chicago Bulls,113,94
Houston Rockets,New York Knicks,97,122
Memphis Grizzlies,New York Knicks,104,118
Denver Nuggets,New York Knicks,113,97
Phoenix Suns,New York Knicks,128,105
LA Clippers,New York Knicks,100,106
Los Angeles Lakers,New York Knicks,101,99
New York Knicks,San Antonio Spurs,102,98
New York Knicks,Charlotte Hornets,118,109
New York Knicks,Boston Celtics,96,92
