Home Team,Away Team,Home Score,Away Score
Los Angeles Lakers,LA Clippers,109,116
Los Angeles Lakers,Dallas Mavericks,138,115
Los Angeles Lakers,Minnesota Timberwolves,127,91
Los Angeles Lakers,Portland Trail Blazers,107,115
San Antonio Spurs,Los Angeles Lakers,107,121
San Antonio Spurs,Los Angeles Lakers,103,109
Memphis Grizzlies,Los Angeles Lakers,94,108
Memphis Grizzlies,Los Angeles Lakers,92,94
Los Angeles Lakers,San Antonio Spurs,109,118
Los Angeles Lakers,Chicago Bulls,117,115
Houston Rockets,Los Angeles Lakers,102,120
Houston Rockets,Los Angeles Lakers,100,117
Oklahoma City Thunder,Los Angeles Lakers,99,128
Los Angeles Lakers,New Orleans Pelicans,112,95
Los Angeles Lakers,Golden State Warriors,113,115
Milwaukee Bucks,Los Angeles Lakers,106,113
Chicago Bulls,Los Angeles Lakers,90,101
Cleveland Cavaliers,Los Angeles Lakers,108,115
Philadelphia 76ers,Los Angeles Lakers,107,106
Detroit Pistons,Los Angeles Lakers,107,92
Boston Celtics,Los Angeles Lakers,95,96
Atlanta Hawks,Los Angeles Lakers,99,107
Los Angeles Lakers,Denver Nuggets,114,93
Los Angeles Lakers,Detroit Pistons,135,129
Los Angeles Lakers,Oklahoma City Thunder,119,112
Los Angeles Lakers,Oklahoma City Thunder,114,113
Los Angeles Lakers,Memphis Grizzlies,115,105
Denver Nuggets,Los Angeles Lakers,122,105
Minnesota Timberwolves,Los Angeles Lakers,104,112
Los Angeles Lakers,Brooklyn Nets,98,109
Los Angeles Lakers,Miami Heat,94,96
Los Angeles Lakers,Washington Wizards,124,127
Utah Jazz,Los Angeles Lakers,114,89
Los Angeles Lakers,Portland Trail Blazers,102,93
Los Angeles Lakers,Golden State Warriors,117,91
Los Angeles Lakers,Phoenix Suns,104,114
Sacramento Kings,Los Angeles Lakers,123,120
Los Angeles Lakers,Indiana Pacers,105,100
Golden State Warriors,Los Angeles Lakers,97,128
Los Angeles Lakers,Minnesota Timberwolves,137,121
Los Angeles Lakers,Charlotte Hornets,116,105
Los Angeles Lakers,Atlanta Hawks,94,99
Phoenix Suns,Los Angeles Lakers,111,94
New Orleans Pelicans,Los Angeles Lakers,128,111
Los Angeles Lakers,Philadelphia 76ers,101,109
Los Angeles Lakers,Cleveland Cavaliers,100,86
Los Angeles Lakers,Orlando Magic,96,93
Los Angeles Lakers,Milwaukee Bucks,97,112
Sacramento Kings,Los Angeles Lakers,94,115
LA Clippers,Los Angeles Lakers,104,86
Toronto Raptors,Los Angeles Lakers,101,110
Miami Heat,Los Angeles Lakers,110,104
Brooklyn Nets,Los Angeles Lakers,101,126
New York Knicks,Los Angeles Lakers,111,96
Charlotte Hornets,Los Angeles Lakers,93,101
Los Angeles Lakers,Boston Celtics,113,121
Los Angeles Lakers,Utah Jazz,127,115
Los Angeles Lakers,Utah Jazz,97,111
Dallas Mavericks,Los Angeles Lakers,115,110
Dallas Mavericks,Los Angeles Lakers,108,93
Orlando Magic,Los Angeles Lakers,103,114
Washington Wizards,Los Angeles Lakers,116,107
Los Angeles Lakers,Sacramento Kings,106,110
Los Angeles Lakers,Toronto Raptors,114,121
Los Angeles Lakers,Denver Nuggets,93,89
LA Clippers,Los Angeles Lakers,118,94
Portland Trail Blazers,Los Angeles Lakers,106,101
Los Angeles Lakers,Phoenix Suns,123,110
Los Angeles Lakers,New York Knicks,101,99
Los Angeles Lakers,Houston Rockets,124,122
Indiana Pacers,Los Angeles Lakers,115,122
New Orleans Pelicans,Los Angeles Lakers,98,110
