Home Team,Away Team,Home Score,Away Score
Phoenix Suns,Dallas Mavericks,106,102
Los Angeles Lakers,Dallas Mavericks,138,115
LA Clippers,Dallas Mavericks,73,124
Dallas Mavericks,Charlotte Hornets,99,118
Dallas Mavericks,Miami Heat,93,83
Chicago Bulls,Dallas Mavericks,118,108
Houston Rockets,Dallas Mavericks,100,113
Denver Nuggets,Dallas Mavericks,117,124
Dallas Mavericks,Orlando Magic,112,98
Charlotte Hornets,Dallas Mavericks,93,104
Milwaukee Bucks,Dallas Mavericks,112,109
Dallas Mavericks,Chicago Bulls,101,117
Toronto Raptors,Dallas Mavericks,116,93
Indiana Pacers,Dallas Mavericks,112,124
San Antonio Spurs,Dallas Mavericks,117,122
Dallas Mavericks,Houston Rockets,108,133
Dallas Mavericks,Denver Nuggets,113,117
Utah Jazz,Dallas Mavericks,116,104
Utah Jazz,Dallas Mavericks,120,101
Dallas Mavericks,Phoenix Suns,105,111
Dallas Mavericks,Phoenix Suns,108,109
Atlanta Hawks,Dallas Mavericks,116,122
Dallas Mavericks,Golden State Warriors,116,147
Dallas Mavericks,Golden State Warriors,134,132
Dallas Mavericks,Minnesota Timberwolves,127,122
Dallas Mavericks,Atlanta Hawks,118,117
Dallas Mavericks,New Orleans Pelicans,143,130
Dallas Mavericks,Portland Trail Blazers,118,121
Dallas Mavericks,Memphis Grizzlies,102,92
Dallas Mavericks,Boston Celtics,110,107
Philadelphia 76ers,Dallas Mavericks,111,97
Brooklyn Nets,Dallas Mavericks,98,115
Orlando Magic,Dallas Mavericks,124,130
Dallas Mavericks,Oklahoma City Thunder,87,78
Dallas Mavericks,San Antonio Spurs,115,104
Oklahoma City Thunder,Dallas Mavericks,116,108
Denver Nuggets,Dallas Mavericks,103,116
Dallas Mavericks,LA Clippers,99,109
Dallas Mavericks,LA Clippers,105,89
Portland Trail Blazers,Dallas Mavericks,125,119
Portland Trail Blazers,Dallas Mavericks,92,132
Minnesota Timberwolves,Dallas Mavericks,108,128
Dallas Mavericks,Indiana Pacers,94,109
New Orleans Pelicans,Dallas Mavericks,112,103
Oklahoma City Thunder,Dallas Mavericks,106,127
Boston Celtics,Dallas Mavericks,108,113
New York Knicks,Dallas Mavericks,86,99
Washington Wizards,Dallas Mavericks,87,109
Dallas Mavericks,Utah Jazz,111,103
Houston Rockets,Dallas Mavericks,102,93
Dallas Mavericks,Milwaukee Bucks,116,101
Dallas Mavericks,San Antonio Spurs,117,119
Dallas Mavericks,Philadelphia 76ers,95,113
Memphis Grizzlies,Dallas Mavericks,113,114
Dallas Mavericks,New York Knicks,109,117
Dallas Mavericks,Sacramento Kings,107,121
Dallas Mavericks,Detroit Pistons,127,117
Dallas Mavericks,Los Angeles Lakers,115,110
Dallas Mavericks,Los Angeles Lakers,108,93
Sacramento Kings,Dallas Mavericks,113,106
Golden State Warriors,Dallas Mavericks,103,133
Detroit Pistons,Dallas Mavericks,105,115
Dallas Mavericks,Washington Wizards,125,124
Dallas Mavericks,Sacramento Kings,99,111
Miami Heat,Dallas Mavericks,113,127
Dallas Mavericks,Brooklyn Nets,113,109
Dallas Mavericks,Cleveland Cavaliers,110,90
Cleveland Cavaliers,Dallas Mavericks,97,124
Memphis Grizzlies,Dallas Mavericks,133,104
Dallas Mavericks,New Orleans Pelicans,125,107
Dallas Mavericks,Toronto Raptors,114,110
Minnesota Timberwolves,Dallas Mavericks,136,121
