Home Team,Away Team,Home Score,Away Score
Brooklyn Nets,Golden State Warriors,125,99
Boston Celtics,Brooklyn Nets,95,123
Charlotte Hornets,Brooklyn Nets,106,104
Brooklyn Nets,Memphis Grizzlies,111,116
Brooklyn Nets,Atlanta Hawks,145,141
Brooklyn Nets,Atlanta Hawks,96,114
Brooklyn Nets,Washington Wizards,122,123
Brooklyn Nets,Utah Jazz,130,96
Brooklyn Nets,Philadelphia 76ers,122,109
Memphis Grizzlies,Brooklyn Nets,115,110
Brooklyn Nets,Oklahoma City Thunder,116,129
Brooklyn Nets,Denver Nuggets,122,116
New York Knicks,Brooklyn Nets,109,116
Brooklyn Nets,Orlando Magic,122,115
Brooklyn Nets,Milwaukee Bucks,125,123
Cleveland Cavaliers,Brooklyn Nets,147,135
Cleveland Cavaliers,Brooklyn Nets,125,113
Brooklyn Nets,Miami Heat,128,124
Brooklyn Nets,Miami Heat,98,85
Atlanta Hawks,Brooklyn Nets,128,132
Oklahoma City Thunder,Brooklyn Nets,125,147
Washington Wizards,Brooklyn Nets,149,146
Brooklyn Nets,LA Clippers,124,120
Brooklyn Nets,Toronto Raptors,117,123
Philadelphia 76ers,Brooklyn Nets,124,108
Detroit Pistons,Brooklyn Nets,122,111
Brooklyn Nets,Indiana Pacers,104,94
Golden State Warriors,Brooklyn Nets,117,134
Sacramento Kings,Brooklyn Nets,125,136
Phoenix Suns,Brooklyn Nets,124,128
Los Angeles Lakers,Brooklyn Nets,98,109
LA Clippers,Brooklyn Nets,108,112
Brooklyn Nets,Sacramento Kings,127,118
Brooklyn Nets,Orlando Magic,129,92
Brooklyn Nets,Dallas Mavericks,98,115
San Antonio Spurs,Brooklyn Nets,113,124
Houston Rockets,Brooklyn Nets,114,132
Brooklyn Nets,Boston Celtics,121,109
Brooklyn Nets,Detroit Pistons,100,95
Brooklyn Nets,New York Knicks,117,112
Indiana Pacers,Brooklyn Nets,115,124
Orlando Magic,Brooklyn Nets,121,113
Brooklyn Nets,Washington Wizards,113,106
Portland Trail Blazers,Brooklyn Nets,112,116
Utah Jazz,Brooklyn Nets,118,88
Detroit Pistons,Brooklyn Nets,111,113
Brooklyn Nets,Minnesota Timberwolves,112,107
Brooklyn Nets,Houston Rockets,120,108
Brooklyn Nets,Charlotte Hornets,111,89
Chicago Bulls,Brooklyn Nets,115,107
Brooklyn Nets,New York Knicks,114,112
Brooklyn Nets,New Orleans Pelicans,139,111
Brooklyn Nets,Los Angeles Lakers,101,126
Minnesota Timberwolves,Brooklyn Nets,97,127
Philadelphia 76ers,Brooklyn Nets,123,117
Brooklyn Nets,Charlotte Hornets,130,115
Miami Heat,Brooklyn Nets,109,107
New Orleans Pelicans,Brooklyn Nets,129,134
Toronto Raptors,Brooklyn Nets,114,103
Brooklyn Nets,Boston Celtics,109,104
Brooklyn Nets,Phoenix Suns,128,119
Toronto Raptors,Brooklyn Nets,103,116
Indiana Pacers,Brooklyn Nets,113,130
Brooklyn Nets,Portland Trail Blazers,109,128
Milwaukee Bucks,Brooklyn Nets,117,114
Milwaukee Bucks,Brooklyn Nets,124,118
Dallas Mavericks,Brooklyn Nets,113,109
Denver Nuggets,Brooklyn Nets,119,125
Chicago Bulls,Brooklyn Nets,107,115
Brooklyn Nets,San Antonio Spurs,128,116
Brooklyn Nets,Chicago Bulls,105,91
Brooklyn Nets,Cleveland Cavaliers,123,109
