Home Team,Away Team,Home Score,Away Score
Indiana Pacers,New York Knicks,121,107
Chicago Bulls,Indiana Pacers,106,125
Indiana Pacers,Boston Celtics,108,107
Indiana Pacers,Boston Celtics,111,116
Indiana Pacers,Cleveland Cavaliers,119,99
Indiana Pacers,New York Knicks,102,106
New Orleans Pelicans,Indiana Pacers,116,118
Indiana Pacers,Houston Rockets,114,107
Indiana Pacers,Phoenix Suns,117,125
Sacramento Kings,Indiana Pacers,127,122
Golden State Warriors,Indiana Pacers,95,104
Portland Trail Blazers,Indiana Pacers,87,111
LA Clippers,Indiana Pacers,129,96
Indiana Pacers,Dallas Mavericks,112,124
Indiana Pacers,Orlando Magic,120,118
Indiana Pacers,Toronto Raptors,102,107
Indiana Pacers,Toronto Raptors,129,114
Charlotte Hornets,Indiana Pacers,106,116
Charlotte Hornets,Indiana Pacers,108,105
Indiana Pacers,Philadelphia 76ers,110,119
Indiana Pacers,Memphis Grizzlies,134,116
Milwaukee Bucks,Indiana Pacers,130,110
Indiana Pacers,New Orleans Pelicans,113,114
Indiana Pacers,Utah Jazz,95,103
Brooklyn Nets,Indiana Pacers,104,94
Detroit Pistons,Indiana Pacers,95,111
Atlanta Hawks,Indiana Pacers,113,125
Indiana Pacers,Chicago Bulls,112,120
Minnesota Timberwolves,Indiana Pacers,128,134
Indiana Pacers,Golden State Warriors,107,111
Boston Celtics,Indiana Pacers,118,112
New York Knicks,Indiana Pacers,110,107
Philadelphia 76ers,Indiana Pacers,130,114
Cleveland Cavaliers,Indiana Pacers,111,114
Indiana Pacers,Denver Nuggets,103,113
Los Angeles Lakers,Indiana Pacers,105,100
Phoenix Suns,Indiana Pacers,111,122
Denver Nuggets,Indiana Pacers,121,106
Indiana Pacers,Brooklyn Nets,115,124
Miami Heat,Indiana Pacers,110,137
Miami Heat,Indiana Pacers,106,109
Milwaukee Bucks,Indiana Pacers,140,113
Indiana Pacers,Detroit Pistons,116,111
Dallas Mavericks,Indiana Pacers,94,109
Washington Wizards,Indiana Pacers,132,124
Indiana Pacers,Miami Heat,87,92
Indiana Pacers,Charlotte Hornets,97,114
San Antonio Spurs,Indiana Pacers,133,139
Indiana Pacers,Chicago Bulls,97,113
Indiana Pacers,Minnesota Timberwolves,141,137
Orlando Magic,Indiana Pacers,106,111
Memphis Grizzlies,Indiana Pacers,125,132
Indiana Pacers,LA Clippers,115,126
Houston Rockets,Indiana Pacers,124,132
Utah Jazz,Indiana Pacers,119,111
Atlanta Hawks,Indiana Pacers,129,117
Indiana Pacers,San Antonio Spurs,94,109
Indiana Pacers,Oklahoma City Thunder,122,116
Indiana Pacers,Detroit Pistons,115,109
Orlando Magic,Indiana Pacers,112,131
Indiana Pacers,Portland Trail Blazers,112,133
Indiana Pacers,Brooklyn Nets,113,130
Oklahoma City Thunder,Indiana Pacers,95,152
Washington Wizards,Indiana Pacers,154,141
Indiana Pacers,Sacramento Kings,93,104
Indiana Pacers,Atlanta Hawks,133,126
Indiana Pacers,Washington Wizards,132,133
Cleveland Cavaliers,Indiana Pacers,102,111
Indiana Pacers,Philadelphia 76ers,103,94
Indiana Pacers,Milwaukee Bucks,133,142
Indiana Pacers,Los Angeles Lakers,115,122
Toronto Raptors,Indiana Pacers,113,125
