Home Team,Away Team,Home Score,Away Score
Toronto Raptors,New Orleans Pelicans,99,113
Miami Heat,New Orleans Pelicans,111,98
New Orleans Pelicans,San Antonio Spurs,98,95
Phoenix Suns,New Orleans Pelicans,111,86
Oklahoma City Thunder,New Orleans Pelicans,80,113
New Orleans Pelicans,Toronto Raptors,120,116
New Orleans Pelicans,Indiana Pacers,116,118
New Orleans Pelicans,Oklahoma City Thunder,110,111
New Orleans Pelicans,Charlotte Hornets,110,118
LA Clippers,New Orleans Pelicans,111,106
Los Angeles Lakers,New Orleans Pelicans,112,95
Sacramento Kings,New Orleans Pelicans,123,128
Utah Jazz,New Orleans Pelicans,118,102
Utah Jazz,New Orleans Pelicans,129,118
Minnesota Timberwolves,New Orleans Pelicans,120,110
New Orleans Pelicans,Washington Wizards,124,106
New Orleans Pelicans,Milwaukee Bucks,131,126
New Orleans Pelicans,Houston Rockets,112,126
New Orleans Pelicans,Sacramento Kings,109,118
New Orleans Pelicans,Phoenix Suns,123,101
Indiana Pacers,New Orleans Pelicans,113,114
New Orleans Pelicans,Memphis Grizzlies,118,109
New Orleans Pelicans,Houston Rockets,130,101
Chicago Bulls,New Orleans Pelicans,129,116
Dallas Mavericks,New Orleans Pelicans,143,130
Detroit Pistons,New Orleans Pelicans,123,112
Memphis Grizzlies,New Orleans Pelicans,113,144
New Orleans Pelicans,Portland Trail Blazers,124,126
New Orleans Pelicans,Phoenix Suns,114,132
New Orleans Pelicans,Boston Celtics,120,115
New Orleans Pelicans,Detroit Pistons,128,118
Milwaukee Bucks,New Orleans Pelicans,129,125
San Antonio Spurs,New Orleans Pelicans,117,114
New Orleans Pelicans,Utah Jazz,129,124
New Orleans Pelicans,Chicago Bulls,124,128
New Orleans Pelicans,Miami Heat,93,103
New Orleans Pelicans,Minnesota Timberwolves,105,135
New Orleans Pelicans,Cleveland Cavaliers,116,82
New Orleans Pelicans,LA Clippers,135,115
Portland Trail Blazers,New Orleans Pelicans,125,124
Portland Trail Blazers,New Orleans Pelicans,101,93
Denver Nuggets,New Orleans Pelicans,108,113
New Orleans Pelicans,Los Angeles Lakers,128,111
New Orleans Pelicans,Denver Nuggets,108,113
New Orleans Pelicans,Dallas Mavericks,112,103
Boston Celtics,New Orleans Pelicans,109,115
New Orleans Pelicans,Orlando Magic,110,115
New Orleans Pelicans,Atlanta Hawks,103,126
Houston Rockets,New Orleans Pelicans,115,122
Atlanta Hawks,New Orleans Pelicans,123,107
Brooklyn Nets,New Orleans Pelicans,139,111
New Orleans Pelicans,Philadelphia 76ers,101,94
Cleveland Cavaliers,New Orleans Pelicans,109,116
New Orleans Pelicans,Sacramento Kings,117,110
New Orleans Pelicans,New York Knicks,106,116
Washington Wizards,New Orleans Pelicans,117,115
New York Knicks,New Orleans Pelicans,122,112
New Orleans Pelicans,Brooklyn Nets,129,134
Orlando Magic,New Orleans Pelicans,100,135
New Orleans Pelicans,San Antonio Spurs,108,110
New Orleans Pelicans,LA Clippers,120,103
Denver Nuggets,New Orleans Pelicans,114,112
Oklahoma City Thunder,New Orleans Pelicans,95,109
Minnesota Timberwolves,New Orleans Pelicans,136,140
New Orleans Pelicans,Golden State Warriors,108,123
New Orleans Pelicans,Golden State Warriors,108,103
Philadelphia 76ers,New Orleans Pelicans,109,107
Charlotte Hornets,New Orleans Pelicans,110,112
Memphis Grizzlies,New Orleans Pelicans,115,110
Dallas Mavericks,New Orleans Pelicans,125,107
Golden State Warriors,New Orleans Pelicans,125,122
New Orleans Pelicans,Los Angeles Lakers,98,110
