Home Team,Away Team,Home Score,Away Score
Minnesota Timberwolves,Detroit Pistons,111,101
Detroit Pistons,Cleveland Cavaliers,119,128
Atlanta Hawks,Detroit Pistons,128,120
Detroit Pistons,Golden State Warriors,106,116
Detroit Pistons,Boston Celtics,96,93
Detroit Pistons,Boston Celtics,120,122
Milwaukee Bucks,Detroit Pistons,125,115
Milwaukee Bucks,Detroit Pistons,130,115
Detroit Pistons,Phoenix Suns,110,105
Detroit Pistons,Utah Jazz,86,96
Detroit Pistons,Milwaukee Bucks,101,110
Miami Heat,Detroit Pistons,100,120
Miami Heat,Detroit Pistons,113,107
Atlanta Hawks,Detroit Pistons,123,115
Detroit Pistons,Houston Rockets,102,103
Detroit Pistons,Philadelphia 76ers,110,114
Detroit Pistons,Philadelphia 76ers,119,104
Cleveland Cavaliers,Detroit Pistons,122,107
Detroit Pistons,Los Angeles Lakers,107,92
Golden State Warriors,Detroit Pistons,118,91
Utah Jazz,Detroit Pistons,117,105
Phoenix Suns,Detroit Pistons,109,92
Los Angeles Lakers,Detroit Pistons,135,129
Detroit Pistons,Brooklyn Nets,122,111
Detroit Pistons,Indiana Pacers,95,111
Boston Celtics,Detroit Pistons,102,108
Detroit Pistons,New Orleans Pelicans,123,112
Chicago Bulls,Detroit Pistons,105,102
Memphis Grizzlies,Detroit Pistons,109,95
Orlando Magic,Detroit Pistons,105,96
Orlando Magic,Detroit Pistons,93,105
New Orleans Pelicans,Detroit Pistons,128,118
Detroit Pistons,Sacramento Kings,107,110
Detroit Pistons,New York Knicks,90,109
Toronto Raptors,Detroit Pistons,105,129
New York Knicks,Detroit Pistons,114,104
Charlotte Hornets,Detroit Pistons,105,102
Brooklyn Nets,Detroit Pistons,100,95
Detroit Pistons,San Antonio Spurs,99,109
Detroit Pistons,Toronto Raptors,116,112
Houston Rockets,Detroit Pistons,100,113
Detroit Pistons,Chicago Bulls,86,100
Indiana Pacers,Detroit Pistons,116,111
Detroit Pistons,Brooklyn Nets,111,113
Washington Wizards,Detroit Pistons,106,92
Detroit Pistons,Toronto Raptors,118,104
Detroit Pistons,Portland Trail Blazers,101,124
Detroit Pistons,Washington Wizards,120,91
Detroit Pistons,New York Knicks,81,125
Oklahoma City Thunder,Detroit Pistons,108,132
Denver Nuggets,Detroit Pistons,134,119
Sacramento Kings,Detroit Pistons,101,113
Portland Trail Blazers,Detroit Pistons,118,103
LA Clippers,Detroit Pistons,131,124
Detroit Pistons,LA Clippers,98,100
Detroit Pistons,Oklahoma City Thunder,110,104
Washington Wizards,Detroit Pistons,121,100
Detroit Pistons,Cleveland Cavaliers,109,105
Dallas Mavericks,Detroit Pistons,127,117
San Antonio Spurs,Detroit Pistons,106,91
Indiana Pacers,Detroit Pistons,115,109
Detroit Pistons,Atlanta Hawks,100,86
Detroit Pistons,Dallas Mavericks,105,115
Charlotte Hornets,Detroit Pistons,107,94
Detroit Pistons,Orlando Magic,112,119
Detroit Pistons,Charlotte Hornets,99,102
Detroit Pistons,Memphis Grizzlies,111,97
Philadelphia 76ers,Detroit Pistons,118,104
Detroit Pistons,Chicago Bulls,96,108
Detroit Pistons,Minnesota Timberwolves,100,119
Detroit Pistons,Denver Nuggets,91,104
Detroit Pistons,Miami Heat,107,120
