Home Team,Away Team,Home Score,Away Score
Toronto Raptors,New Orleans Pelicans,99,113
San Antonio Spurs,Toronto Raptors,119,114
Philadelphia 76ers,Toronto Raptors,100,93
Toronto Raptors,New York Knicks,100,83
New Orleans Pelicans,Toronto Raptors,120,116
Toronto Raptors,Boston Celtics,114,126
Phoenix Suns,Toronto Raptors,123,115
Sacramento Kings,Toronto Raptors,123,144
Golden State Warriors,Toronto Raptors,106,105
Portland Trail Blazers,Toronto Raptors,112,11
Toronto Raptors,Charlotte Hornets,111,108
Toronto Raptors,Charlotte Hornets,116,113
Toronto Raptors,Dallas Mavericks,116,93
Toronto Raptors,Miami Heat,102,111
Toronto Raptors,Miami Heat,101,81
Indiana Pacers,Toronto Raptors,102,107
Indiana Pacers,Toronto Raptors,129,114
Toronto Raptors,Milwaukee Bucks,108,115
Toronto Raptors,Sacramento Kings,124,126
Toronto Raptors,Orlando Magic,115,102
Orlando Magic,Toronto Raptors,108,123
Brooklyn Nets,Toronto Raptors,117,123
Atlanta Hawks,Toronto Raptors,132,121
Memphis Grizzlies,Toronto Raptors,113,128
Washington Wizards,Toronto Raptors,115,137
Boston Celtics,Toronto Raptors,120,106
Toronto Raptors,Minnesota Timberwolves,112,116
Milwaukee Bucks,Toronto Raptors,113,124
Milwaukee Bucks,Toronto Raptors,96,110
Minnesota Timberwolves,Toronto Raptors,81,86
Toronto Raptors,Philadelphia 76ers,110,103
Toronto Raptors,Philadelphia 76ers,102,109
Miami Heat,Toronto Raptors,116,108
Toronto Raptors,Houston Rockets,122,111
Toronto Raptors,Detroit Pistons,105,129
Boston Celtics,Toronto Raptors,132,125
Toronto Raptors,Atlanta Hawks,120,121
Charlotte Hornets,Toronto Raptors,114,104
Chicago Bulls,Toronto Raptors,118,95
Detroit Pistons,Toronto Raptors,116,112
Toronto Raptors,Utah Jazz,112,115
Cleveland Cavaliers,Toronto Raptors,116,105
Houston Rockets,Toronto Raptors,117,99
Toronto Raptors,Denver Nuggets,135,111
Toronto Raptors,Phoenix Suns,100,104
Toronto Raptors,Portland Trail Blazers,117,122
Detroit Pistons,Toronto Raptors,118,104
Oklahoma City Thunder,Toronto Raptors,113,103
Toronto Raptors,Golden State Warriors,130,77
Toronto Raptors,Washington Wizards,103,101
Toronto Raptors,Los Angeles Lakers,101,110
Toronto Raptors,Chicago Bulls,113,122
Cleveland Cavaliers,Toronto Raptors,115,135
New York Knicks,Toronto Raptors,102,96
Toronto Raptors,Atlanta Hawks,103,108
Toronto Raptors,San Antonio Spurs,117,112
Toronto Raptors,Orlando Magic,113,102
Toronto Raptors,Oklahoma City Thunder,112,106
Toronto Raptors,Brooklyn Nets,114,103
New York Knicks,Toronto Raptors,120,103
Toronto Raptors,Cleveland Cavaliers,112,96
Toronto Raptors,Brooklyn Nets,103,116
Denver Nuggets,Toronto Raptors,121,111
Utah Jazz,Toronto Raptors,106,102
Los Angeles Lakers,Toronto Raptors,114,121
LA Clippers,Toronto Raptors,105,100
Toronto Raptors,Washington Wizards,129,131
Toronto Raptors,Memphis Grizzlies,99,109
Toronto Raptors,LA Clippers,96,115
Chicago Bulls,Toronto Raptors,114,102
Dallas Mavericks,Toronto Raptors,114,110
Toronto Raptors,Indiana Pacers,113,125
