Home Team,Away Team,Home Score,Away Score
Portland Trail Blazers,Houston Rockets,128,126
Denver Nuggets,Houston Rockets,124,111
Houston Rockets,Sacramento Kings,122,119
Houston Rockets,Sacramento Kings,102,94
Houston Rockets,Dallas Mavericks,100,113
Indiana Pacers,Houston Rockets,114,107
Houston Rockets,Orlando Magic,132,90
Houston Rockets,Los Angeles Lakers,102,120
Houston Rockets,Los Angeles Lakers,100,117
San Antonio Spurs,Houston Rockets,105,109
San Antonio Spurs,Houston Rockets,103,91
Chicago Bulls,Houston Rockets,125,120
Houston Rockets,Phoenix Suns,103,109
Detroit Pistons,Houston Rockets,102,103
Dallas Mavericks,Houston Rockets,108,133
Houston Rockets,Washington Wizards,107,88
Houston Rockets,Portland Trail Blazers,104,101
New Orleans Pelicans,Houston Rockets,112,126
Oklahoma City Thunder,Houston Rockets,106,136
Oklahoma City Thunder,Houston Rockets,104,87
Memphis Grizzlies,Houston Rockets,103,115
Houston Rockets,San Antonio Spurs,106,111
Charlotte Hornets,Houston Rockets,119,94
New Orleans Pelicans,Houston Rockets,130,101
Houston Rockets,Miami Heat,94,101
New York Knicks,Houston Rockets,121,99
Washington Wizards,Houston Rockets,131,119
Philadelphia 76ers,Houston Rockets,118,113
Houston Rockets,Chicago Bulls,100,120
Cleveland Cavaliers,Houston Rockets,112,96
Toronto Raptors,Houston Rockets,122,111
Houston Rockets,Memphis Grizzlies,84,133
Houston Rockets,Cleveland Cavaliers,90,101
Houston Rockets,Brooklyn Nets,114,132
Sacramento Kings,Houston Rockets,125,105
Utah Jazz,Houston Rockets,114,99
Houston Rockets,Boston Celtics,107,134
Houston Rockets,Atlanta Hawks,107,119
Houston Rockets,Golden State Warriors,94,108
Houston Rockets,Detroit Pistons,100,113
Houston Rockets,Oklahoma City Thunder,112,114
Houston Rockets,Toronto Raptors,117,99
Houston Rockets,Charlotte Hornets,97,122
Minnesota Timberwolves,Houston Rockets,107,101
Minnesota Timberwolves,Houston Rockets,107,129
Houston Rockets,Memphis Grizzlies,110,120
Brooklyn Nets,Houston Rockets,120,108
Boston Celtics,Houston Rockets,118,102
Houston Rockets,New Orleans Pelicans,115,122
Houston Rockets,Phoenix Suns,130,133
Houston Rockets,Dallas Mavericks,102,93
LA Clippers,Houston Rockets,126,109
Golden State Warriors,Houston Rockets,125,109
Phoenix Suns,Houston Rockets,126,120
Houston Rockets,Indiana Pacers,124,132
Houston Rockets,Denver Nuggets,99,128
Orlando Magic,Houston Rockets,110,114
Miami Heat,Houston Rockets,113,91
Houston Rockets,Utah Jazz,89,112
Houston Rockets,LA Clippers,104,109
Denver Nuggets,Houston Rockets,129,116
Houston Rockets,Minnesota Timberwolves,107,114
Houston Rockets,Milwaukee Bucks,143,136
Houston Rockets,Golden State Warriors,87,113
Houston Rockets,New York Knicks,97,122
Houston Rockets,Philadelphia 76ers,115,135
Milwaukee Bucks,Houston Rockets,141,133
Utah Jazz,Houston Rockets,124,116
Portland Trail Blazers,Houston Rockets,140,129
Los Angeles Lakers,Houston Rockets,124,122
Houston Rockets,LA Clippers,122,115
Atlanta Hawks,Houston Rockets,124,95
