Home Team,Away Team,Home Score,Away Score
Memphis Grizzlies,San Antonio Spurs,119,131
San Antonio Spurs,Toronto Raptors,119,114
New Orleans Pelicans,San Antonio Spurs,98,95
San Antonio Spurs,Los Angeles Lakers,107,121
San Antonio Spurs,Los Angeles Lakers,103,109
San Antonio Spurs,Utah Jazz,109,130
LA Clippers,San Antonio Spurs,113,116
Los Angeles Lakers,San Antonio Spurs,109,118
Minnesota Timberwolves,San Antonio Spurs,122,125
Minnesota Timberwolves,San Antonio Spurs,96,88
Oklahoma City Thunder,San Antonio Spurs,102,112
San Antonio Spurs,Houston Rockets,105,109
San Antonio Spurs,Houston Rockets,103,91
Portland Trail Blazers,San Antonio Spurs,104,125
Golden State Warriors,San Antonio Spurs,121,99
San Antonio Spurs,Dallas Mavericks,117,122
San Antonio Spurs,Washington Wizards,121,101
San Antonio Spurs,Boston Celtics,110,106
San Antonio Spurs,Denver Nuggets,119,109
San Antonio Spurs,Memphis Grizzlies,112,129
San Antonio Spurs,Memphis Grizzlies,102,133
San Antonio Spurs,Minnesota Timberwolves,111,108
Houston Rockets,San Antonio Spurs,106,111
San Antonio Spurs,Golden State Warriors,105,100
San Antonio Spurs,Golden State Warriors,91,114
Atlanta Hawks,San Antonio Spurs,114,125
Charlotte Hornets,San Antonio Spurs,110,122
Oklahoma City Thunder,San Antonio Spurs,102,99
San Antonio Spurs,New Orleans Pelicans,117,114
San Antonio Spurs,Brooklyn Nets,113,124
San Antonio Spurs,New York Knicks,119,93
San Antonio Spurs,Oklahoma City Thunder,102,107
Dallas Mavericks,San Antonio Spurs,115,104
San Antonio Spurs,Orlando Magic,104,77
Philadelphia 76ers,San Antonio Spurs,134,99
Detroit Pistons,San Antonio Spurs,99,109
Chicago Bulls,San Antonio Spurs,99,106
Cleveland Cavaliers,San Antonio Spurs,110,116
Milwaukee Bucks,San Antonio Spurs,120,113
San Antonio Spurs,Charlotte Hornets,97,100
San Antonio Spurs,LA Clippers,101,134
San Antonio Spurs,LA Clippers,85,98
San Antonio Spurs,Chicago Bulls,120,104
San Antonio Spurs,Sacramento Kings,115,132
San Antonio Spurs,Sacramento Kings,120,106
San Antonio Spurs,Atlanta Hawks,129,134
San Antonio Spurs,Indiana Pacers,133,139
San Antonio Spurs,Cleveland Cavaliers,101,125
Denver Nuggets,San Antonio Spurs,106,96
Denver Nuggets,San Antonio Spurs,121,119
Dallas Mavericks,San Antonio Spurs,117,119
Orlando Magic,San Antonio Spurs,97,120
Toronto Raptors,San Antonio Spurs,117,112
San Antonio Spurs,Portland Trail Blazers,106,107
Phoenix Suns,San Antonio Spurs,85,111
Indiana Pacers,San Antonio Spurs,94,109
San Antonio Spurs,Miami Heat,87,107
San Antonio Spurs,Detroit Pistons,106,91
New Orleans Pelicans,San Antonio Spurs,108,110
Washington Wizards,San Antonio Spurs,143,146
Miami Heat,San Antonio Spurs,116,111
Boston Celtics,San Antonio Spurs,143,140
San Antonio Spurs,Philadelphia 76ers,111,113
Utah Jazz,San Antonio Spurs,110,99
Utah Jazz,San Antonio Spurs,126,94
Sacramento Kings,San Antonio Spurs,104,113
Portland Trail Blazers,San Antonio Spurs,124,102
San Antonio Spurs,Milwaukee Bucks,146,125
Brooklyn Nets,San Antonio Spurs,128,116
New York Knicks,San Antonio Spurs,102,98
San Antonio Spurs,Phoenix Suns,103,140
San Antonio Spurs,Phoenix Suns,121,123
