Home Team,Away Team,Home Score,Away Score
Phoenix Suns,Dallas Mavericks,106,102
Sacramento Kings,Phoenix Suns,106,103
Sacramento Kings,Phoenix Suns,100,116
Phoenix Suns,New Orleans Pelicans,111,86
Utah Jazz,Phoenix Suns,95,106
Denver Nuggets,Phoenix Suns,103,106
Phoenix Suns,LA Clippers,107,112
Phoenix Suns,Toronto Raptors,123,115
Detroit Pistons,Phoenix Suns,110,105
Indiana Pacers,Phoenix Suns,117,125
Washington Wizards,Phoenix Suns,128,107
Memphis Grizzlies,Phoenix Suns,108,104
Houston Rockets,Phoenix Suns,103,109
Phoenix Suns,Denver Nuggets,126,130
Phoenix Suns,Denver Nuggets,112,120
Phoenix Suns,Oklahoma City Thunder,97,102
Phoenix Suns,Golden State Warriors,114,93
Dallas Mavericks,Phoenix Suns,105,111
Dallas Mavericks,Phoenix Suns,108,109
New Orleans Pelicans,Phoenix Suns,123,101
Phoenix Suns,Detroit Pistons,109,92
Phoenix Suns,Boston Celtics,100,91
Phoenix Suns,Cleveland Cavaliers,119,113
Phoenix Suns,Milwaukee Bucks,125,124
Phoenix Suns,Philadelphia 76ers,120,111
Phoenix Suns,Orlando Magic,109,90
Phoenix Suns,Brooklyn Nets,124,128
New Orleans Pelicans,Phoenix Suns,114,132
Memphis Grizzlies,Phoenix Suns,97,128
Phoenix Suns,Portland Trail Blazers,132,100
Phoenix Suns,Charlotte Hornets,121,124
Chicago Bulls,Phoenix Suns,97,106
Minnesota Timberwolves,Phoenix Suns,99,118
Los Angeles Lakers,Phoenix Suns,104,114
Phoenix Suns,Golden State Warriors,120,98
Portland Trail Blazers,Phoenix Suns,121,127
Phoenix Suns,Indiana Pacers,111,122
Phoenix Suns,Memphis Grizzlies,122,99
Phoenix Suns,Minnesota Timberwolves,119,123
Phoenix Suns,Minnesota Timberwolves,113,101
Phoenix Suns,Los Angeles Lakers,111,94
Miami Heat,Phoenix Suns,100,110
Orlando Magic,Phoenix Suns,112,111
Toronto Raptors,Phoenix Suns,100,104
Charlotte Hornets,Phoenix Suns,97,101
Phoenix Suns,Atlanta Hawks,117,110
Phoenix Suns,Chicago Bulls,121,116
Phoenix Suns,Oklahoma City Thunder,140,103
Houston Rockets,Phoenix Suns,130,133
Phoenix Suns,Utah Jazz,117,113
LA Clippers,Phoenix Suns,113,103
Phoenix Suns,Washington Wizards,134,106
Phoenix Suns,Houston Rockets,126,120
Phoenix Suns,Miami Heat,106,86
Phoenix Suns,Sacramento Kings,122,114
Phoenix Suns,San Antonio Spurs,85,111
Milwaukee Bucks,Phoenix Suns,127,128
Philadelphia 76ers,Phoenix Suns,113,116
Boston Celtics,Phoenix Suns,99,86
Brooklyn Nets,Phoenix Suns,128,119
New York Knicks,Phoenix Suns,110,118
Phoenix Suns,LA Clippers,109,101
Phoenix Suns,Utah Jazz,121,100
Oklahoma City Thunder,Phoenix Suns,120,123
Cleveland Cavaliers,Phoenix Suns,118,134
Atlanta Hawks,Phoenix Suns,135,103
Phoenix Suns,New York Knicks,128,105
Los Angeles Lakers,Phoenix Suns,123,110
Golden State Warriors,Phoenix Suns,122,116
Phoenix Suns,Portland Trail Blazers,118,117
San Antonio Spurs,Phoenix Suns,103,140
San Antonio Spurs,Phoenix Suns,121,123
