Home Team,Away Team,Home Score,Away Score
Charlotte Hornets,Oklahoma City Thunder,107,109
Oklahoma City Thunder,Utah Jazz,109,110
Oklahoma City Thunder,Orlando Magic,107,118
Oklahoma City Thunder,New Orleans Pelicans,80,113
Orlando Magic,Oklahoma City Thunder,99,108
Miami Heat,Oklahoma City Thunder,118,90
New Orleans Pelicans,Oklahoma City Thunder,110,111
New York Knicks,Oklahoma City Thunder,89,101
Brooklyn Nets,Oklahoma City Thunder,116,129
Oklahoma City Thunder,San Antonio Spurs,102,112
Oklahoma City Thunder,Los Angeles Lakers,99,128
Oklahoma City Thunder,Chicago Bulls,127,125
Denver Nuggets,Oklahoma City Thunder,119,115
LA Clippers,Oklahoma City Thunder,120,106
LA Clippers,Oklahoma City Thunder,108,100
Portland Trail Blazers,Oklahoma City Thunder,122,125
Phoenix Suns,Oklahoma City Thunder,97,102
Oklahoma City Thunder,Brooklyn Nets,125,147
Oklahoma City Thunder,Houston Rockets,106,136
Oklahoma City Thunder,Houston Rockets,104,87
Oklahoma City Thunder,Minnesota Timberwolves,103,106
Oklahoma City Thunder,Minnesota Timberwolves,120,118
Los Angeles Lakers,Oklahoma City Thunder,119,112
Los Angeles Lakers,Oklahoma City Thunder,114,113
Denver Nuggets,Oklahoma City Thunder,97,95
Oklahoma City Thunder,Milwaukee Bucks,114,109
Oklahoma City Thunder,Portland Trail Blazers,104,115
Memphis Grizzlies,Oklahoma City Thunder,122,113
Milwaukee Bucks,Oklahoma City Thunder,98,85
Cleveland Cavaliers,Oklahoma City Thunder,101,117
Oklahoma City Thunder,Miami Heat,94,108
Oklahoma City Thunder,San Antonio Spurs,102,99
Oklahoma City Thunder,Atlanta Hawks,118,109
Oklahoma City Thunder,Denver Nuggets,96,126
Dallas Mavericks,Oklahoma City Thunder,87,78
San Antonio Spurs,Oklahoma City Thunder,102,107
Oklahoma City Thunder,Dallas Mavericks,116,108
Oklahoma City Thunder,New York Knicks,97,119
Oklahoma City Thunder,Memphis Grizzlies,128,122
Chicago Bulls,Oklahoma City Thunder,123,102
Atlanta Hawks,Oklahoma City Thunder,116,93
Houston Rockets,Oklahoma City Thunder,112,114
Minnesota Timberwolves,Oklahoma City Thunder,103,112
Oklahoma City Thunder,Memphis Grizzlies,107,116
Oklahoma City Thunder,Boston Celtics,94,111
Oklahoma City Thunder,Dallas Mavericks,106,127
Oklahoma City Thunder,Toronto Raptors,113,103
Phoenix Suns,Oklahoma City Thunder,140,103
Portland Trail Blazers,Oklahoma City Thunder,133,85
Oklahoma City Thunder,Detroit Pistons,108,132
Oklahoma City Thunder,Charlotte Hornets,102,113
Oklahoma City Thunder,Cleveland Cavaliers,102,129
Oklahoma City Thunder,Philadelphia 76ers,93,117
Utah Jazz,Oklahoma City Thunder,106,96
Oklahoma City Thunder,Golden State Warriors,109,147
Detroit Pistons,Oklahoma City Thunder,110,104
Toronto Raptors,Oklahoma City Thunder,112,106
Washington Wizards,Oklahoma City Thunder,119,107
Indiana Pacers,Oklahoma City Thunder,122,116
Oklahoma City Thunder,Washington Wizards,109,129
Philadelphia 76ers,Oklahoma City Thunder,121,90
Boston Celtics,Oklahoma City Thunder,115,119
Oklahoma City Thunder,New Orleans Pelicans,95,109
Oklahoma City Thunder,Indiana Pacers,95,152
Oklahoma City Thunder,Phoenix Suns,120,123
Oklahoma City Thunder,Sacramento Kings,99,103
Golden State Warriors,Oklahoma City Thunder,118,97
Golden State Warriors,Oklahoma City Thunder,136,97
Sacramento Kings,Oklahoma City Thunder,126,98
Sacramento Kings,Oklahoma City Thunder,122,106
Oklahoma City Thunder,Utah Jazz,93,109
Oklahoma City Thunder,LA Clippers,117,112
