Home Team,Away Team,Home Score,Away Score
Philadelphia 76ers,Washington Wizards,113,107
Washington Wizards,Orlando Magic,120,130
Washington Wizards,Orlando Magic,113,120
Washington Wizards,Chicago Bulls,107,115
Washington Wizards,Chicago Bulls,130,133
Minnesota Timberwolves,Washington Wizards,109,130
Brooklyn Nets,Washington Wizards,122,123
Philadelphia 76ers,Washington Wizards,141,136
Boston Celtics,Washington Wizards,116,107
Washington Wizards,Miami Heat,124,128
Washington Wizards,Phoenix Suns,128,107
San Antonio Spurs,Washington Wizards,121,101
Houston Rockets,Washington Wizards,107,88
New Orleans Pelicans,Washington Wizards,124,106
Washington Wizards,Atlanta Hawks,100,116
Washington Wizards,Brooklyn Nets,149,146
Washington Wizards,Portland Trail Blazers,121,132
Miami Heat,Washington Wizards,100,103
Miami Heat,Washington Wizards,122,95
Charlotte Hornets,Washington Wizards,119,97
Chicago Bulls,Washington Wizards,101,105
Washington Wizards,Toronto Raptors,115,137
Washington Wizards,New York Knicks,91,109
Washington Wizards,Boston Celtics,104,91
Washington Wizards,Houston Rockets,131,119
Washington Wizards,Denver Nuggets,130,128
Portland Trail Blazers,Washington Wizards,111,118
Los Angeles Lakers,Washington Wizards,124,127
LA Clippers,Washington Wizards,135,116
Denver Nuggets,Washington Wizards,110,112
Washington Wizards,Minnesota Timberwolves,128,112
Boston Celtics,Washington Wizards,111,110
Washington Wizards,Memphis Grizzlies,111,125
Washington Wizards,LA Clippers,119,117
Memphis Grizzlies,Washington Wizards,127,112
Washington Wizards,Philadelphia 76ers,101,127
Washington Wizards,Milwaukee Bucks,119,125
Washington Wizards,Milwaukee Bucks,122,133
Washington Wizards,Sacramento Kings,119,121
Washington Wizards,Utah Jazz,131,122
Brooklyn Nets,Washington Wizards,113,106
New York Knicks,Washington Wizards,131,113
New York Knicks,Washington Wizards,106,102
Washington Wizards,Detroit Pistons,106,92
Washington Wizards,Indiana Pacers,132,124
Washington Wizards,Charlotte Hornets,104,114
Detroit Pistons,Washington Wizards,120,91
Washington Wizards,Dallas Mavericks,87,109
Toronto Raptors,Washington Wizards,103,101
Orlando Magic,Washington Wizards,116,131
Golden State Warriors,Washington Wizards,107,110
Phoenix Suns,Washington Wizards,134,106
Utah Jazz,Washington Wizards,121,125
Sacramento Kings,Washington Wizards,111,123
Washington Wizards,New Orleans Pelicans,117,115
Washington Wizards,Detroit Pistons,121,100
Washington Wizards,Oklahoma City Thunder,119,107
Washington Wizards,Golden State Warriors,118,114
Oklahoma City Thunder,Washington Wizards,109,129
Washington Wizards,Cleveland Cavaliers,119,110
Washington Wizards,San Antonio Spurs,143,146
Washington Wizards,Los Angeles Lakers,116,107
Cleveland Cavaliers,Washington Wizards,93,122
Dallas Mavericks,Washington Wizards,125,124
Washington Wizards,Indiana Pacers,154,141
Milwaukee Bucks,Washington Wizards,135,134
Toronto Raptors,Washington Wizards,129,131
Indiana Pacers,Washington Wizards,132,133
Atlanta Hawks,Washington Wizards,125,124
Atlanta Hawks,Washington Wizards,120,116
Washington Wizards,Cleveland Cavaliers,120,105
Washington Wizards,Charlotte Hornets,115,110
