Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,103 - 100
1,19/10/2018 16:30,Barclays Center,Brooklyn Nets,New York Knicks,107 - 105
1,20/10/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,132 - 112
1,24/10/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Brooklyn Nets,86 - 102
2,26/10/2018 17:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,117 - 115
2,28/10/2018 14:00,Barclays Center,Brooklyn Nets,Golden State Warriors,114 - 120
2,29/10/2018 16:30,Madison Square Garden,New York Knicks,Brooklyn Nets,115 - 96
2,31/10/2018 16:30,Barclays Center,Brooklyn Nets,Detroit Pistons,120 - 119
3,02/11/2018 16:30,Barclays Center,Brooklyn Nets,Houston Rockets,111 - 119
3,04/11/2018 15:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,122 - 97
3,06/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Brooklyn Nets,82 - 104
4,09/11/2018 18:00,Pepsi Center,Denver Nuggets,Brooklyn Nets,110 - 112
4,10/11/2018 17:30,ORACLE Arena,Golden State Warriors,Brooklyn Nets,116 - 100
4,12/11/2018 17:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,120 - 113
4,14/11/2018 16:30,Barclays Center,Brooklyn Nets,Miami Heat,107 - 120
5,16/11/2018 16:00,Capital One Arena,Washington Wizards,Brooklyn Nets,104 - 115
5,17/11/2018 15:00,Barclays Center,Brooklyn Nets,LA Clippers,119 - 127
5,20/11/2018 16:30,AmericanAirlines Arena,Miami Heat,Brooklyn Nets,92 - 104
5,21/11/2018 17:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,119 - 113
6,23/11/2018 09:00,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,102 - 112
6,25/11/2018 15:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,125 - 127
6,28/11/2018 16:30,Barclays Center,Brooklyn Nets,Utah Jazz,91 - 101
7,30/11/2018 16:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,125 - 131
7,01/12/2018 16:00,Capital One Arena,Washington Wizards,Brooklyn Nets,102 - 88
7,03/12/2018 16:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,97 - 99
7,05/12/2018 16:30,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,112 - 114
8,07/12/2018 16:30,Barclays Center,Brooklyn Nets,Toronto Raptors,106 - 105
8,08/12/2018 16:30,Madison Square Garden,New York Knicks,Brooklyn Nets,104 - 112
8,12/12/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,124 - 127
9,14/12/2018 16:30,Barclays Center,Brooklyn Nets,Washington Wizards,125 - 118
9,16/12/2018 12:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,144 - 127
9,18/12/2018 16:30,Barclays Center,Brooklyn Nets,Los Angeles Lakers,115 - 110
9,19/12/2018 17:00,United Center,Chicago Bulls,Brooklyn Nets,93 - 96
10,21/12/2018 16:30,Barclays Center,Brooklyn Nets,Indiana Pacers,106 - 114
10,23/12/2018 15:00,Barclays Center,Brooklyn Nets,Phoenix Suns,111 - 103
10,26/12/2018 16:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,134 - 132
11,28/12/2018 16:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,100 - 87
11,29/12/2018 14:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,129 - 115
11,02/01/2019 16:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,126 - 121
12,04/01/2019 17:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,100 - 109
12,06/01/2019 12:30,United Center,Chicago Bulls,Brooklyn Nets,100 - 117
12,07/01/2019 16:30,TD Garden,Boston Celtics,Brooklyn Nets,116 - 95
12,09/01/2019 16:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,116 - 100
13,11/01/2019 16:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,122 - 105
13,14/01/2019 16:30,Barclays Center,Brooklyn Nets,Boston Celtics,109 - 102
13,16/01/2019 17:00,Toyota Center,Houston Rockets,Brooklyn Nets,142 - 145
14,18/01/2019 16:00,Amway Center,Orlando Magic,Brooklyn Nets,115 - 117
14,21/01/2019 12:30,Barclays Center,Brooklyn Nets,Sacramento Kings,123 - 94
14,23/01/2019 16:30,Barclays Center,Brooklyn Nets,Orlando Magic,114 - 110
15,25/01/2019 16:30,Barclays Center,Brooklyn Nets,New York Knicks,109 - 99
15,28/01/2019 16:30,TD Garden,Boston Celtics,Brooklyn Nets,112 - 104
15,29/01/2019 16:30,Barclays Center,Brooklyn Nets,Chicago Bulls,122 - 117
16,31/01/2019 17:30,AT+ACY-T Center,San Antonio Spurs,Brooklyn Nets,117 - 114
16,02/02/2019 16:00,Amway Center,Orlando Magic,Brooklyn Nets,102 - 89
16,04/02/2019 16:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,94 - 113
16,06/02/2019 16:30,Barclays Center,Brooklyn Nets,Denver Nuggets,135 - 130
17,08/02/2019 16:30,Barclays Center,Brooklyn Nets,Chicago Bulls,106 - 125
17,11/02/2019 16:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,127 - 125
17,13/02/2019 16:00,Quicken Loans Arena,Cleveland Cavaliers,Brooklyn Nets,139 - 148
18,21/02/2019 16:30,Barclays Center,Brooklyn Nets,Portland Trail Blazers,99 - 113
18,23/02/2019 16:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,115 - 117
18,25/02/2019 16:30,Barclays Center,Brooklyn Nets,San Antonio Spurs,101 - 85
18,27/02/2019 16:30,Barclays Center,Brooklyn Nets,Washington Wizards,116 - 125
19,01/03/2019 16:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,112 - 123
19,02/03/2019 16:30,AmericanAirlines Arena,Miami Heat,Brooklyn Nets,117 - 88
19,04/03/2019 16:30,Barclays Center,Brooklyn Nets,Dallas Mavericks,127 - 88
19,06/03/2019 16:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,113 - 107
20,09/03/2019 16:00,State Farm Arena,Atlanta Hawks,Brooklyn Nets,112 - 114
20,11/03/2019 16:30,Barclays Center,Brooklyn Nets,Detroit Pistons,103 - 75
20,13/03/2019 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,Brooklyn Nets,108 - 96
21,16/03/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Brooklyn Nets,114 - 98
21,17/03/2019 18:00,Staples Center,LA Clippers,Brooklyn Nets,119 - 116
21,19/03/2019 19:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,121 - 123
22,22/03/2019 19:30,Staples Center,Los Angeles Lakers,Brooklyn Nets,106 - 111
22,25/03/2019 19:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,148 - 144
22,28/03/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,123 - 110
23,30/03/2019 15:00,Barclays Center,Brooklyn Nets,Boston Celtics,110 - 96
23,01/04/2019 16:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,121 - 131
23,03/04/2019 16:30,Barclays Center,Brooklyn Nets,Toronto Raptors,105 - 115
24,06/04/2019 14:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,128 - 133
24,07/04/2019 14:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,96 - 108
24,10/04/2019 17:00,Barclays Center,Brooklyn Nets,Miami Heat,113 - 94
