Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 16:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,112 - 113
1,19/10/2018 16:00,Amway Center,Orlando Magic,Charlotte Hornets,88 - 120
1,20/10/2018 17:00,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,112 - 113
1,22/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,127 - 106
1,24/10/2018 17:00,United Center,Chicago Bulls,Charlotte Hornets,112 - 110
2,26/10/2018 16:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,135 - 106
2,27/10/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,105 - 103
2,30/10/2018 16:00,Spectrum Center,Charlotte Hornets,Miami Heat,125 - 113
2,01/11/2018 16:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,107 - 111
3,03/11/2018 16:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,126 - 94
3,06/11/2018 16:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,113 - 102
4,09/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,133 - 132
4,11/11/2018 12:30,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,103 - 113
4,13/11/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets,113 - 89
5,17/11/2018 16:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,119 - 122
5,19/11/2018 16:00,Spectrum Center,Charlotte Hornets,Boston Celtics,117 - 112
5,21/11/2018 16:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,127 - 109
6,23/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Charlotte Hornets,109 - 104
6,25/11/2018 15:00,State Farm Arena,Atlanta Hawks,Charlotte Hornets,124 - 123
6,26/11/2018 16:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,110 - 107
6,28/11/2018 16:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,108 - 94
7,30/11/2018 16:00,Spectrum Center,Charlotte Hornets,Utah Jazz,111 - 119
7,02/12/2018 14:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,109 - 119
7,05/12/2018 17:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,121 - 104
8,07/12/2018 16:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,113 - 107
8,09/12/2018 16:30,Madison Square Garden,New York Knicks,Charlotte Hornets,107 - 119
8,12/12/2018 16:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,108 - 107
9,14/12/2018 16:00,Spectrum Center,Charlotte Hornets,New York Knicks,124 - 126
9,15/12/2018 16:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,100 - 128
9,19/12/2018 16:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,110 - 99
10,21/12/2018 16:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,98 - 86
10,23/12/2018 15:00,TD Garden,Boston Celtics,Charlotte Hornets,119 - 103
10,26/12/2018 16:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,134 - 132
11,28/12/2018 16:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,100 - 87
11,29/12/2018 16:00,Capital One Arena,Washington Wizards,Charlotte Hornets,130 - 126
11,31/12/2018 15:00,Spectrum Center,Charlotte Hornets,Orlando Magic,125 - 100
11,02/01/2019 16:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,84 - 122
12,05/01/2019 14:00,Pepsi Center,Denver Nuggets,Charlotte Hornets,123 - 110
12,06/01/2019 17:00,Talking Stick Resort Arena,Phoenix Suns,Charlotte Hornets,113 - 119
