Round Number,Date,Location,Home Team,Away Team,Result
1,18/10/2018 17:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,127 - 108
1,20/10/2018 17:00,United Center,Chicago Bulls,Detroit Pistons,116 - 118
1,22/10/2018 17:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,115 - 109
1,24/10/2018 17:00,United Center,Chicago Bulls,Charlotte Hornets,112 - 110
2,26/10/2018 16:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,135 - 106
2,27/10/2018 16:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,85 - 97
2,29/10/2018 17:00,United Center,Chicago Bulls,Golden State Warriors,124 - 149
2,31/10/2018 17:00,United Center,Chicago Bulls,Denver Nuggets,107 - 108
3,02/11/2018 17:00,United Center,Chicago Bulls,Indiana Pacers,105 - 107
3,03/11/2018 17:00,United Center,Chicago Bulls,Houston Rockets,88 - 96
3,05/11/2018 16:30,Madison Square Garden,New York Knicks,Chicago Bulls,115 - 116
3,07/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,107 - 98
4,10/11/2018 17:00,United Center,Chicago Bulls,Cleveland Cavaliers,99 - 98
4,12/11/2018 17:00,United Center,Chicago Bulls,Dallas Mavericks,98 - 103
4,14/11/2018 16:30,TD Garden,Boston Celtics,Chicago Bulls,111 - 82
5,16/11/2018 18:30,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,123 - 104
5,17/11/2018 17:00,United Center,Chicago Bulls,Toronto Raptors,83 - 122
5,21/11/2018 17:00,United Center,Chicago Bulls,Phoenix Suns,124 - 116
6,23/11/2018 17:00,United Center,Chicago Bulls,Miami Heat,96 - 103
6,24/11/2018 17:00,Target Center,Minnesota Timberwolves,Chicago Bulls,111 - 96
6,26/11/2018 17:00,United Center,Chicago Bulls,San Antonio Spurs,107 - 108
6,28/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,116 - 113
7,30/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,107 - 88
7,01/12/2018 17:00,Toyota Center,Houston Rockets,Chicago Bulls,121 - 105
7,04/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,96 - 90
8,07/12/2018 17:00,United Center,Chicago Bulls,Oklahoma City Thunder,114 - 112
8,08/12/2018 17:00,United Center,Chicago Bulls,Boston Celtics,77 - 133
8,10/12/2018 17:00,United Center,Chicago Bulls,Sacramento Kings,89 - 108
9,13/12/2018 18:30,Arena Ciudad de Mexico,Orlando Magic,Chicago Bulls,97 - 91
9,15/12/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Chicago Bulls,93 - 98
9,17/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Chicago Bulls,121 - 96
9,19/12/2018 17:00,United Center,Chicago Bulls,Brooklyn Nets,93 - 96
10,21/12/2018 17:00,United Center,Chicago Bulls,Orlando Magic,90 - 80
10,23/12/2018 15:00,Quicken Loans Arena,Cleveland Cavaliers,Chicago Bulls,92 - 112
10,26/12/2018 17:00,United Center,Chicago Bulls,Minnesota Timberwolves,94 - 119
11,28/12/2018 16:00,Capital One Arena,Washington Wizards,Chicago Bulls,92 - 101
11,30/12/2018 15:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,95 - 89
11,02/01/2019 17:00,United Center,Chicago Bulls,Orlando Magic,84 - 112
12,04/01/2019 17:00,United Center,Chicago Bulls,Indiana Pacers,116 - 119
12,06/01/2019 12:30,United Center,Chicago Bulls,Brooklyn Nets,100 - 117
12,09/01/2019 19:00,Moda Center,Portland Trail Blazers,Chicago Bulls,124 - 112
13,11/01/2019 19:30,ORACLE Arena,Golden State Warriors,Chicago Bulls,146 - 109
13,12/01/2019 19:00,Vivint Smart Home Arena,Utah Jazz,Chicago Bulls,110 - 102
13,15/01/2019 19:30,Staples Center,Los Angeles Lakers,Chicago Bulls,107 - 100
14,17/01/2019 18:00,Pepsi Center,Denver Nuggets,Chicago Bulls,135 - 105
14,19/01/2019 17:00,United Center,Chicago Bulls,Miami Heat,103 - 117
14,21/01/2019 10:00,Quicken Loans Arena,Cleveland Cavaliers,Chicago Bulls,88 - 104
14,23/01/2019 17:00,United Center,Chicago Bulls,Atlanta Hawks,101 - 121
15,25/01/2019 17:00,United Center,Chicago Bulls,LA Clippers,101 - 106
15,27/01/2019 12:30,United Center,Chicago Bulls,Cleveland Cavaliers,101 - 104
15,29/01/2019 16:30,Barclays Center,Brooklyn Nets,Chicago Bulls,122 - 117
15,30/01/2019 16:30,AmericanAirlines Arena,Miami Heat,Chicago Bulls,89 - 105
16,02/02/2019 16:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,125 - 118
16,06/02/2019 17:00,United Center,Chicago Bulls,New Orleans Pelicans,120 - 125
17,08/02/2019 16:30,Barclays Center,Brooklyn Nets,Chicago Bulls,106 - 125
