Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 19:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,121 - 100
1,20/10/2018 17:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,140 - 136
1,22/10/2018 17:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,115 - 109
1,24/10/2018 16:00,State Farm Arena,Atlanta Hawks,Dallas Mavericks,111 - 104
2,26/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,116 - 107
2,28/10/2018 16:00,American Airlines Center,Dallas Mavericks,Utah Jazz,104 - 113
2,29/10/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Dallas Mavericks,113 - 108
2,31/10/2018 19:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,114 - 113
3,02/11/2018 17:30,American Airlines Center,Dallas Mavericks,New York Knicks,106 - 118
3,06/11/2018 17:30,American Airlines Center,Dallas Mavericks,Washington Wizards,119 - 100
3,07/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,117 - 102
4,10/11/2018 18:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,111 - 96
4,12/11/2018 17:00,United Center,Chicago Bulls,Dallas Mavericks,98 - 103
4,14/11/2018 17:30,American Airlines Center,Dallas Mavericks,Utah Jazz,118 - 68
5,17/11/2018 17:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,112 - 109
5,19/11/2018 17:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,98 - 88
5,21/11/2018 17:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,119 - 113
6,24/11/2018 17:30,American Airlines Center,Dallas Mavericks,Boston Celtics,113 - 104
6,28/11/2018 17:00,Toyota Center,Houston Rockets,Dallas Mavericks,108 - 128
7,30/11/2018 19:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,114 - 103
7,02/12/2018 16:00,American Airlines Center,Dallas Mavericks,LA Clippers,114 - 110
7,04/12/2018 17:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,111 - 102
7,05/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,132 - 106
8,08/12/2018 15:00,American Airlines Center,Dallas Mavericks,Houston Rockets,107 - 104
8,10/12/2018 17:30,American Airlines Center,Dallas Mavericks,Orlando Magic,101 - 76
8,12/12/2018 17:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,114 - 107
9,13/12/2018 19:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,99 - 89
9,16/12/2018 16:00,American Airlines Center,Dallas Mavericks,Sacramento Kings,113 - 120
9,18/12/2018 18:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,126 - 118
10,20/12/2018 19:30,Staples Center,LA Clippers,Dallas Mavericks,125 - 121
10,22/12/2018 17:30,ORACLE Arena,Golden State Warriors,Dallas Mavericks,120 - 116
10,23/12/2018 18:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,121 - 118
10,26/12/2018 17:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,122 - 119
11,28/12/2018 17:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,114 - 112
11,30/12/2018 16:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,105 - 103
11,31/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,122 - 102
11,02/01/2019 16:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,84 - 122
12,04/01/2019 17:00,TD Garden,Boston Celtics,Dallas Mavericks,114 - 93
12,05/01/2019 16:30,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,106 - 100
12,07/01/2019 17:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,97 - 107
12,09/01/2019 17:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,104 - 94
13,11/01/2019 17:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,115 - 119
13,13/01/2019 16:00,American Airlines Center,Dallas Mavericks,Golden State Warriors,114 - 119
13,16/01/2019 17:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,101 - 105
14,19/01/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Dallas Mavericks,111 - 99
14,21/01/2019 11:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,116 - 106
14,22/01/2019 17:30,American Airlines Center,Dallas Mavericks,LA Clippers,106 - 98
15,25/01/2019 17:30,American Airlines Center,Dallas Mavericks,Detroit Pistons,106 - 101
15,27/01/2019 16:00,American Airlines Center,Dallas Mavericks,Toronto Raptors,120 - 123
15,30/01/2019 16:30,Madison Square Garden,New York Knicks,Dallas Mavericks,90 - 114
16,31/01/2019 16:00,Little Caesars Arena,Detroit Pistons,Dallas Mavericks,93 - 89
16,02/02/2019 16:30,Quicken Loans Arena,Cleveland Cavaliers,Dallas Mavericks,98 - 111
16,06/02/2019 17:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,99 - 93
