Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,103 - 100
1,20/10/2018 17:00,United Center,Chicago Bulls,Detroit Pistons,116 - 118
1,23/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,133 - 132
1,25/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,110 - 103
2,27/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,89 - 109
2,30/10/2018 16:30,TD Garden,Boston Celtics,Detroit Pistons,108 - 105
2,31/10/2018 16:30,Barclays Center,Brooklyn Nets,Detroit Pistons,120 - 119
3,03/11/2018 10:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,109 - 99
3,05/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Miami Heat,115 - 120
3,07/11/2018 16:00,Amway Center,Orlando Magic,Detroit Pistons,96 - 103
4,09/11/2018 16:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,109 - 124
4,11/11/2018 12:30,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,103 - 113
4,14/11/2018 16:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,104 - 106
5,19/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,113 - 102
5,21/11/2018 17:00,Toyota Center,Houston Rockets,Detroit Pistons,126 - 124
6,23/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,116 - 111
6,25/11/2018 13:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,118 - 107
6,27/11/2018 16:00,Little Caesars Arena,Detroit Pistons,New York Knicks,115 - 108
7,30/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,107 - 88
7,01/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,111 - 102
7,03/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,83 - 110
7,05/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,115 - 92
8,07/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,111 - 117
8,09/12/2018 12:30,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,108 - 116
8,10/12/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,116 - 102
8,12/12/2018 16:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,108 - 107
9,15/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,113 - 104
9,17/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,104 - 107
9,19/12/2018 17:00,Target Center,Minnesota Timberwolves,Detroit Pistons,123 - 129
10,21/12/2018 16:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,98 - 86
10,23/12/2018 13:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,95 - 98
10,26/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,106 - 95
11,28/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,125 - 88
11,30/12/2018 12:30,Amway Center,Orlando Magic,Detroit Pistons,109 - 107
11,01/01/2019 17:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,121 - 98
