Round Number,Date,Location,Home Team,Away Team,Result
1,16/10/2018 19:30,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,108 - 100
1,19/10/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,123 - 124
1,21/10/2018 17:00,Pepsi Center,Denver Nuggets,Golden State Warriors,100 - 98
1,22/10/2018 19:30,ORACLE Arena,Golden State Warriors,Phoenix Suns,123 - 103
1,24/10/2018 19:30,ORACLE Arena,Golden State Warriors,Washington Wizards,144 - 122
2,26/10/2018 16:30,Madison Square Garden,New York Knicks,Golden State Warriors,100 - 128
2,28/10/2018 14:00,Barclays Center,Brooklyn Nets,Golden State Warriors,114 - 120
2,29/10/2018 17:00,United Center,Chicago Bulls,Golden State Warriors,124 - 149
2,31/10/2018 19:30,ORACLE Arena,Golden State Warriors,New Orleans Pelicans,131 - 121
3,02/11/2018 19:30,ORACLE Arena,Golden State Warriors,Minnesota Timberwolves,116 - 99
3,05/11/2018 19:30,ORACLE Arena,Golden State Warriors,Memphis Grizzlies,117 - 101
4,08/11/2018 19:30,ORACLE Arena,Golden State Warriors,Milwaukee Bucks,111 - 134
4,10/11/2018 17:30,ORACLE Arena,Golden State Warriors,Brooklyn Nets,116 - 100
4,12/11/2018 19:30,Staples Center,LA Clippers,Golden State Warriors,121 - 116
4,13/11/2018 19:30,ORACLE Arena,Golden State Warriors,Atlanta Hawks,110 - 103
5,15/11/2018 17:00,Toyota Center,Houston Rockets,Golden State Warriors,107 - 86
5,17/11/2018 17:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,112 - 109
5,18/11/2018 16:00,AT+ACY-T Center,San Antonio Spurs,Golden State Warriors,104 - 92
5,21/11/2018 19:30,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,95 - 123
6,23/11/2018 19:30,ORACLE Arena,Golden State Warriors,Portland Trail Blazers,125 - 97
6,24/11/2018 17:30,ORACLE Arena,Golden State Warriors,Sacramento Kings,117 - 116
6,26/11/2018 19:30,ORACLE Arena,Golden State Warriors,Orlando Magic,116 - 110
7,29/11/2018 17:00,Scotiabank Arena,Toronto Raptors,Golden State Warriors,131 - 128
7,01/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,111 - 102
7,03/12/2018 16:30,State Farm Arena,Atlanta Hawks,Golden State Warriors,111 - 128
7,05/12/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,Golden State Warriors,105 - 129
8,07/12/2018 18:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,95 - 105
8,10/12/2018 19:30,ORACLE Arena,Golden State Warriors,Minnesota Timberwolves,116 - 108
8,12/12/2018 19:30,ORACLE Arena,Golden State Warriors,Toronto Raptors,93 - 113
9,14/12/2018 19:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,125 - 130
9,17/12/2018 19:30,ORACLE Arena,Golden State Warriors,Memphis Grizzlies,110 - 93
9,19/12/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,108 - 103
10,22/12/2018 17:30,ORACLE Arena,Golden State Warriors,Dallas Mavericks,120 - 116
10,23/12/2018 17:30,ORACLE Arena,Golden State Warriors,LA Clippers,129 - 127
10,25/12/2018 17:00,ORACLE Arena,Golden State Warriors,Los Angeles Lakers,101 - 127
11,27/12/2018 19:30,ORACLE Arena,Golden State Warriors,Portland Trail Blazers,109 - 110
11,29/12/2018 19:00,Moda Center,Portland Trail Blazers,Golden State Warriors,105 - 115
11,31/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,109 - 132
12,03/01/2019 19:30,ORACLE Arena,Golden State Warriors,Houston Rockets,134 - 135
12,05/01/2019 19:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,123 - 127
12,08/01/2019 19:30,ORACLE Arena,Golden State Warriors,New York Knicks,122 - 95
13,11/01/2019 19:30,ORACLE Arena,Golden State Warriors,Chicago Bulls,146 - 109
13,13/01/2019 16:00,American Airlines Center,Dallas Mavericks,Golden State Warriors,114 - 119
13,15/01/2019 18:00,Pepsi Center,Denver Nuggets,Golden State Warriors,111 - 142
13,16/01/2019 19:30,ORACLE Arena,Golden State Warriors,New Orleans Pelicans,147 - 140
14,18/01/2019 19:30,Staples Center,LA Clippers,Golden State Warriors,94 - 112
14,21/01/2019 19:30,Staples Center,Los Angeles Lakers,Golden State Warriors,111 - 130
15,24/01/2019 17:00,Capital One Arena,Washington Wizards,Golden State Warriors,118 - 126
15,26/01/2019 17:30,TD Garden,Boston Celtics,Golden State Warriors,111 - 115
15,28/01/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Golden State Warriors,100 - 132
16,31/01/2019 19:30,ORACLE Arena,Golden State Warriors,Philadelphia 76ers,104 - 113
16,02/02/2019 17:30,ORACLE Arena,Golden State Warriors,Los Angeles Lakers,115 - 101
16,06/02/2019 19:30,ORACLE Arena,Golden State Warriors,San Antonio Spurs,141 - 102
17,08/02/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,107 - 117
17,10/02/2019 17:30,ORACLE Arena,Golden State Warriors,Miami Heat,120 - 118
17,12/02/2019 19:30,ORACLE Arena,Golden State Warriors,Utah Jazz,115 - 108
17,13/02/2019 19:30,Moda Center,Portland Trail Blazers,Golden State Warriors,129 - 107
