Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 17:00,Toyota Center,Houston Rockets,New Orleans Pelicans,112 - 131
1,20/10/2018 19:30,Staples Center,Los Angeles Lakers,Houston Rockets,115 - 124
1,21/10/2018 18:00,Staples Center,LA Clippers,Houston Rockets,115 - 112
1,24/10/2018 17:00,Toyota Center,Houston Rockets,Utah Jazz,89 - 100
2,26/10/2018 17:00,Toyota Center,Houston Rockets,LA Clippers,113 - 133
2,30/10/2018 17:00,Toyota Center,Houston Rockets,Portland Trail Blazers,85 - 104
3,02/11/2018 16:30,Barclays Center,Brooklyn Nets,Houston Rockets,111 - 119
3,03/11/2018 17:00,United Center,Chicago Bulls,Houston Rockets,88 - 96
3,05/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Houston Rockets,94 - 98
4,08/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,98 - 80
4,10/11/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Houston Rockets,96 - 89
4,11/11/2018 16:00,Toyota Center,Houston Rockets,Indiana Pacers,115 - 103
4,13/11/2018 18:00,Pepsi Center,Denver Nuggets,Houston Rockets,99 - 109
5,15/11/2018 17:00,Toyota Center,Houston Rockets,Golden State Warriors,107 - 86
5,17/11/2018 17:00,Toyota Center,Houston Rockets,Sacramento Kings,132 - 112
5,21/11/2018 17:00,Toyota Center,Houston Rockets,Detroit Pistons,126 - 124
6,23/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,116 - 111
6,24/11/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Houston Rockets,117 - 108
6,26/11/2018 16:00,Capital One Arena,Washington Wizards,Houston Rockets,135 - 131
6,28/11/2018 17:00,Toyota Center,Houston Rockets,Dallas Mavericks,108 - 128
7,30/11/2018 17:00,AT+ACY-T Center,San Antonio Spurs,Houston Rockets,105 - 136
7,01/12/2018 17:00,Toyota Center,Houston Rockets,Chicago Bulls,121 - 105
7,03/12/2018 17:00,Target Center,Minnesota Timberwolves,Houston Rockets,103 - 91
8,06/12/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,118 - 91
8,08/12/2018 15:00,American Airlines Center,Dallas Mavericks,Houston Rockets,107 - 104
8,11/12/2018 17:00,Toyota Center,Houston Rockets,Portland Trail Blazers,111 - 103
9,13/12/2018 17:00,Toyota Center,Houston Rockets,Los Angeles Lakers,126 - 111
9,15/12/2018 17:00,FedExForum,Memphis Grizzlies,Houston Rockets,97 - 105
9,17/12/2018 17:00,Toyota Center,Houston Rockets,Utah Jazz,102 - 97
9,19/12/2018 17:00,Toyota Center,Houston Rockets,Washington Wizards,136 - 118
10,20/12/2018 17:00,AmericanAirlines Arena,Miami Heat,Houston Rockets,101 - 99
10,22/12/2018 17:00,Toyota Center,Houston Rockets,San Antonio Spurs,108 - 101
10,25/12/2018 12:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,113 - 109
11,27/12/2018 17:00,Toyota Center,Houston Rockets,Boston Celtics,127 - 113
11,29/12/2018 16:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,104 - 108
11,31/12/2018 16:00,Toyota Center,Houston Rockets,Memphis Grizzlies,113 - 101
