Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,111 - 83
1,19/10/2018 17:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,118 - 101
1,20/10/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,132 - 112
1,22/10/2018 17:00,Target Center,Minnesota Timberwolves,Indiana Pacers,101 - 91
1,24/10/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Indiana Pacers,96 - 116
2,27/10/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Indiana Pacers,107 - 119
2,29/10/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Portland Trail Blazers,93 - 103
2,31/10/2018 17:00,Madison Square Garden,New York Knicks,Indiana Pacers,101 - 107
3,02/11/2018 17:00,United Center,Chicago Bulls,Indiana Pacers,105 - 107
3,03/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,102 - 101
3,05/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Houston Rockets,94 - 98
3,07/11/2018 17:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,94 - 100
4,09/11/2018 17:00,AmericanAirlines Arena,Miami Heat,Indiana Pacers,102 - 110
4,11/11/2018 16:00,Toyota Center,Houston Rockets,Indiana Pacers,115 - 103
5,16/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,99 - 91
5,17/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Atlanta Hawks,97 - 89
5,19/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Utah Jazz,121 - 94
5,21/11/2018 16:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,127 - 109
6,23/11/2018 17:00,Bankers Life Fieldhouse,Indiana Pacers,San Antonio Spurs,100 - 111
6,26/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Indiana Pacers,88 - 121
6,27/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Indiana Pacers,104 - 109
7,29/11/2018 19:30,Staples Center,Los Angeles Lakers,Indiana Pacers,104 - 96
7,01/12/2018 19:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,111 - 110
7,04/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,96 - 90
8,07/12/2018 16:00,Amway Center,Orlando Magic,Indiana Pacers,90 - 112
8,08/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Sacramento Kings,107 - 97
8,10/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,109 - 101
8,12/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,113 - 97
9,14/12/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,101 - 113
9,16/12/2018 14:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,110 - 99
9,18/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,91 - 92
9,19/12/2018 16:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,99 - 96
10,21/12/2018 16:30,Barclays Center,Brooklyn Nets,Indiana Pacers,106 - 114
10,23/12/2018 14:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,105 - 89
10,26/12/2018 16:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,121 - 129
11,28/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,125 - 88
