Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 16:00,Amway Center,Orlando Magic,Miami Heat,104 - 101
1,18/10/2018 17:00,Capital One Arena,Washington Wizards,Miami Heat,112 - 113
1,20/10/2018 17:00,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,112 - 113
1,24/10/2018 16:30,AmericanAirlines Arena,Miami Heat,New York Knicks,110 - 87
2,27/10/2018 17:00,AmericanAirlines Arena,Miami Heat,Portland Trail Blazers,120 - 111
2,29/10/2018 16:30,AmericanAirlines Arena,Miami Heat,Sacramento Kings,113 - 123
2,30/10/2018 16:00,Spectrum Center,Charlotte Hornets,Miami Heat,125 - 113
3,03/11/2018 16:30,State Farm Arena,Atlanta Hawks,Miami Heat,123 - 118
3,05/11/2018 16:00,Little Caesars Arena,Detroit Pistons,Miami Heat,115 - 120
3,07/11/2018 16:30,AmericanAirlines Arena,Miami Heat,San Antonio Spurs,95 - 88
4,09/11/2018 17:00,AmericanAirlines Arena,Miami Heat,Indiana Pacers,102 - 110
4,10/11/2018 17:00,AmericanAirlines Arena,Miami Heat,Washington Wizards,110 - 116
4,12/11/2018 16:30,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,114 - 124
4,14/11/2018 16:30,Barclays Center,Brooklyn Nets,Miami Heat,107 - 120
5,16/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,99 - 91
5,18/11/2018 15:00,AmericanAirlines Arena,Miami Heat,Los Angeles Lakers,97 - 113
5,20/11/2018 16:30,AmericanAirlines Arena,Miami Heat,Brooklyn Nets,92 - 104
6,23/11/2018 17:00,United Center,Chicago Bulls,Miami Heat,96 - 103
6,25/11/2018 15:00,Scotiabank Arena,Toronto Raptors,Miami Heat,125 - 115
6,27/11/2018 16:30,AmericanAirlines Arena,Miami Heat,Atlanta Hawks,113 - 115
7,30/11/2018 17:00,AmericanAirlines Arena,Miami Heat,New Orleans Pelicans,106 - 101
7,02/12/2018 15:00,AmericanAirlines Arena,Miami Heat,Utah Jazz,102 - 100
7,04/12/2018 16:30,AmericanAirlines Arena,Miami Heat,Orlando Magic,90 - 105
8,07/12/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,Miami Heat,98 - 115
8,08/12/2018 19:30,Staples Center,LA Clippers,Miami Heat,98 - 121
8,10/12/2018 19:30,Staples Center,Los Angeles Lakers,Miami Heat,108 - 105
8,12/12/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Miami Heat,111 - 84
