Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 16:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,112 - 113
1,19/10/2018 17:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,118 - 101
1,22/10/2018 17:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,124 - 113
1,24/10/2018 18:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,123 - 108
2,26/10/2018 17:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,95 - 125
2,27/10/2018 17:30,Fiserv Forum,Milwaukee Bucks,Orlando Magic,113 - 91
2,29/10/2018 17:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,124 - 109
3,01/11/2018 17:00,TD Garden,Boston Celtics,Milwaukee Bucks,117 - 113
3,04/11/2018 12:30,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,144 - 109
3,06/11/2018 19:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,118 - 103
4,08/11/2018 19:30,ORACLE Arena,Golden State Warriors,Milwaukee Bucks,111 - 134
4,10/11/2018 12:30,Staples Center,LA Clippers,Milwaukee Bucks,128 - 126
4,11/11/2018 17:00,Pepsi Center,Denver Nuggets,Milwaukee Bucks,114 - 121
4,14/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,113 - 116
5,16/11/2018 18:30,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,123 - 104
5,19/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,104 - 98
5,21/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,143 - 100
6,23/11/2018 17:30,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,114 - 116
6,24/11/2018 17:30,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,135 - 129
6,26/11/2018 16:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,110 - 107
6,28/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,116 - 113
7,01/12/2018 14:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,136 - 134
7,05/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,115 - 92
8,07/12/2018 18:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,95 - 105
8,09/12/2018 15:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,99 - 104
8,10/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,108 - 92
8,12/12/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,113 - 97
9,14/12/2018 16:30,Quicken Loans Arena,Cleveland Cavaliers,Milwaukee Bucks,102 - 114
9,17/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,104 - 107
9,19/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,123 - 115
10,21/12/2018 17:00,TD Garden,Boston Celtics,Milwaukee Bucks,107 - 120
10,22/12/2018 17:00,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,94 - 87
10,25/12/2018 09:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,95 - 109
11,27/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,112 - 96
11,29/12/2018 14:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,129 - 115
11,01/01/2019 17:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,121 - 98
12,04/01/2019 17:30,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,144 - 112
12,05/01/2019 17:30,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,116 - 123
12,07/01/2019 17:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,114 - 102
12,09/01/2019 17:00,Toyota Center,Houston Rockets,Milwaukee Bucks,109 - 116
13,11/01/2019 16:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,113 - 106
13,13/01/2019 12:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,114 - 133
13,15/01/2019 17:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,124 - 86
13,16/01/2019 17:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,101 - 111
14,19/01/2019 16:00,Amway Center,Orlando Magic,Milwaukee Bucks,108 - 118
14,21/01/2019 11:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,116 - 106
15,25/01/2019 17:30,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,108 - 99
15,27/01/2019 15:00,Chesapeake Energy Arena,Oklahoma City Thunder,Milwaukee Bucks,118 - 112
15,29/01/2019 16:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,105 - 115
16,31/01/2019 17:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,92 - 105
16,02/02/2019 16:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,115 - 131
16,04/02/2019 16:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,94 - 113
16,06/02/2019 17:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,148 - 129
17,08/02/2019 17:30,American Airlines Center,Dallas Mavericks,Milwaukee Bucks,107 - 122
17,09/02/2019 18:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,83 - 103
17,11/02/2019 17:00,United Center,Chicago Bulls,Milwaukee Bucks,99 - 112
17,13/02/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,97 - 106
18,21/02/2019 17:00,Fiserv Forum,Milwaukee Bucks,Boston Celtics,98 - 97
18,23/02/2019 17:30,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,140 - 128
18,25/02/2019 17:00,United Center,Chicago Bulls,Milwaukee Bucks,106 - 117
18,27/02/2019 19:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,140 - 141
19,01/03/2019 19:30,Staples Center,Los Angeles Lakers,Milwaukee Bucks,120 - 131
19,02/03/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Milwaukee Bucks,115 - 111
19,04/03/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Milwaukee Bucks,114 - 105
20,07/03/2019 17:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,117 - 98
20,09/03/2019 18:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,131 - 114
20,10/03/2019 17:00,AT+ACY-T Center,San Antonio Spurs,Milwaukee Bucks,121 - 114
20,12/03/2019 17:00,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,113 - 130
21,15/03/2019 17:00,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,98 - 113
21,17/03/2019 12:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,125 - 130
21,19/03/2019 17:00,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,115 - 101
