Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 16:30,Madison Square Garden,New York Knicks,Atlanta Hawks,126 - 107
1,19/10/2018 16:30,Barclays Center,Brooklyn Nets,New York Knicks,107 - 105
1,20/10/2018 16:30,Madison Square Garden,New York Knicks,Boston Celtics,101 - 103
1,22/10/2018 17:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,124 - 113
1,24/10/2018 16:30,AmericanAirlines Arena,Miami Heat,New York Knicks,110 - 87
2,26/10/2018 16:30,Madison Square Garden,New York Knicks,Golden State Warriors,100 - 128
2,29/10/2018 16:30,Madison Square Garden,New York Knicks,Brooklyn Nets,115 - 96
2,31/10/2018 17:00,Madison Square Garden,New York Knicks,Indiana Pacers,101 - 107
3,02/11/2018 17:30,American Airlines Center,Dallas Mavericks,New York Knicks,106 - 118
3,04/11/2018 15:00,Capital One Arena,Washington Wizards,New York Knicks,108 - 95
3,05/11/2018 16:30,Madison Square Garden,New York Knicks,Chicago Bulls,115 - 116
3,07/11/2018 16:30,State Farm Arena,Atlanta Hawks,New York Knicks,107 - 112
4,10/11/2018 12:00,Scotiabank Arena,Toronto Raptors,New York Knicks,128 - 112
4,11/11/2018 16:30,Madison Square Garden,New York Knicks,Orlando Magic,89 - 115
4,14/11/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,New York Knicks,128 - 103
5,16/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,129 - 124
5,18/11/2018 15:00,Amway Center,Orlando Magic,New York Knicks,131 - 117
5,20/11/2018 16:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,114 - 118
5,21/11/2018 16:30,TD Garden,Boston Celtics,New York Knicks,109 - 117
6,23/11/2018 16:30,Madison Square Garden,New York Knicks,New Orleans Pelicans,114 - 109
6,25/11/2018 15:00,FedExForum,Memphis Grizzlies,New York Knicks,98 - 103
6,27/11/2018 16:00,Little Caesars Arena,Detroit Pistons,New York Knicks,115 - 108
6,28/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,117 - 91
7,01/12/2018 14:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,136 - 134
7,03/12/2018 16:30,Madison Square Garden,New York Knicks,Washington Wizards,107 - 110
8,06/12/2018 17:00,TD Garden,Boston Celtics,New York Knicks,128 - 100
8,08/12/2018 16:30,Madison Square Garden,New York Knicks,Brooklyn Nets,104 - 112
8,09/12/2018 16:30,Madison Square Garden,New York Knicks,Charlotte Hornets,107 - 119
8,12/12/2018 16:00,Quicken Loans Arena,Cleveland Cavaliers,New York Knicks,113 - 106
9,14/12/2018 16:00,Spectrum Center,Charlotte Hornets,New York Knicks,124 - 126
9,16/12/2018 14:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,110 - 99
9,17/12/2018 16:30,Madison Square Garden,New York Knicks,Phoenix Suns,110 - 128
9,19/12/2018 16:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,131 - 109
10,21/12/2018 16:30,Madison Square Garden,New York Knicks,Atlanta Hawks,107 - 114
10,25/12/2018 09:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,95 - 109
11,27/12/2018 17:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,112 - 96
11,29/12/2018 17:00,Vivint Smart Home Arena,Utah Jazz,New York Knicks,129 - 97
11,01/01/2019 18:00,Pepsi Center,Denver Nuggets,New York Knicks,115 - 108
12,04/01/2019 19:30,Staples Center,Los Angeles Lakers,New York Knicks,112 - 119
12,07/01/2019 19:00,Moda Center,Portland Trail Blazers,New York Knicks,111 - 101
12,08/01/2019 19:30,ORACLE Arena,Golden State Warriors,New York Knicks,122 - 95
13,11/01/2019 16:30,Madison Square Garden,New York Knicks,Indiana Pacers,106 - 121
13,13/01/2019 10:00,Madison Square Garden,New York Knicks,Philadelphia 76ers,105 - 108
13,17/01/2019 12:00,The O2 Arena,Washington Wizards,New York Knicks,101 - 100
14,21/01/2019 09:30,Madison Square Garden,New York Knicks,Oklahoma City Thunder,109 - 127
14,23/01/2019 16:30,Madison Square Garden,New York Knicks,Houston Rockets,110 - 114
15,25/01/2019 16:30,Barclays Center,Brooklyn Nets,New York Knicks,109 - 99
15,27/01/2019 16:30,Madison Square Garden,New York Knicks,Miami Heat,97 - 106
15,28/01/2019 16:00,Spectrum Center,Charlotte Hornets,New York Knicks,101 - 92
15,30/01/2019 16:30,Madison Square Garden,New York Knicks,Dallas Mavericks,90 - 114
