Round Number,Date,Location,Home Team,Away Team,Result
1,16/10/2018 17:00,TD Garden,Boston Celtics,Philadelphia 76ers,105 - 87
1,18/10/2018 17:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,127 - 108
1,20/10/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,116 - 115
1,23/10/2018 16:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,133 - 132
1,24/10/2018 18:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,123 - 108
2,27/10/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,105 - 103
2,29/10/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,113 - 92
2,30/10/2018 16:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,129 - 112
2,01/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,122 - 113
3,03/11/2018 10:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,109 - 99
3,04/11/2018 15:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,122 - 97
3,07/11/2018 17:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,94 - 100
4,09/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,133 - 132
4,10/11/2018 17:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,112 - 106
4,12/11/2018 16:30,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,114 - 124
4,14/11/2018 16:00,Amway Center,Orlando Magic,Philadelphia 76ers,111 - 106
5,16/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,113 - 107
5,17/11/2018 16:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,119 - 122
5,19/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,119 - 114
5,21/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,121 - 120
6,23/11/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,112 - 121
6,25/11/2018 15:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,125 - 127
6,28/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,117 - 91
7,30/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,123 - 98
7,02/12/2018 15:00,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,103 - 95
7,05/12/2018 17:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,113 - 102
8,07/12/2018 16:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,111 - 117
8,10/12/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,116 - 102
8,12/12/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,124 - 127
9,14/12/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,101 - 113
9,16/12/2018 12:30,Quicken Loans Arena,Cleveland Cavaliers,Philadelphia 76ers,105 - 128
9,17/12/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Philadelphia 76ers,123 - 96
9,19/12/2018 16:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,131 - 109
10,22/12/2018 16:30,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,126 - 101
10,25/12/2018 14:30,TD Garden,Boston Celtics,Philadelphia 76ers,121 - 114
11,27/12/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Philadelphia 76ers,97 - 114
11,30/12/2018 18:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,129 - 95
11,01/01/2019 19:30,Staples Center,LA Clippers,Philadelphia 76ers,113 - 119
11,02/01/2019 18:00,Talking Stick Resort Arena,Phoenix Suns,Philadelphia 76ers,127 - 132
12,05/01/2019 16:30,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,106 - 100
12,08/01/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,132 - 115
12,09/01/2019 16:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,123 - 106
13,11/01/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,121 - 123
13,13/01/2019 10:00,Madison Square Garden,New York Knicks,Philadelphia 76ers,105 - 108
13,15/01/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,149 - 107
14,17/01/2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,96 - 120
14,19/01/2019 12:30,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,115 - 117
14,21/01/2019 17:00,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,121 - 93
14,23/01/2019 17:00,Wells Fargo Center,Philadelphia 76ers,San Antonio Spurs,122 - 120
15,26/01/2019 18:00,Pepsi Center,Denver Nuggets,Philadelphia 76ers,126 - 110
15,29/01/2019 19:30,Staples Center,Los Angeles Lakers,Philadelphia 76ers,105 - 121
16,31/01/2019 19:30,ORACLE Arena,Golden State Warriors,Philadelphia 76ers,104 - 113
16,02/02/2019 19:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,115 - 108
16,05/02/2019 17:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,107 - 119
17,08/02/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,117 - 110
17,10/02/2019 12:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,143 - 120
17,12/02/2019 17:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,109 - 112
17,13/02/2019 16:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,111 - 126
18,21/02/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Miami Heat,106 - 102
18,23/02/2019 10:00,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,115 - 130
18,25/02/2019 17:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,110 - 111
19,28/02/2019 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Philadelphia 76ers,104 - 108
19,02/03/2019 17:30,Wells Fargo Center,Philadelphia 76ers,Golden State Warriors,117 - 120
19,05/03/2019 16:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,114 - 106
19,06/03/2019 17:00,United Center,Chicago Bulls,Philadelphia 76ers,108 - 107
20,08/03/2019 17:00,Toyota Center,Houston Rockets,Philadelphia 76ers,107 - 91
20,10/03/2019 12:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,106 - 89
