Round Number,Date,Location,Home Team,Away Team,Result
1,18/10/2018 19:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,128 - 119
1,20/10/2018 19:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,121 - 108
1,22/10/2018 19:00,Moda Center,Portland Trail Blazers,Washington Wizards,124 - 125
1,25/10/2018 16:00,Amway Center,Orlando Magic,Portland Trail Blazers,114 - 128
2,27/10/2018 17:00,AmericanAirlines Arena,Miami Heat,Portland Trail Blazers,120 - 111
2,29/10/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Portland Trail Blazers,93 - 103
2,30/10/2018 17:00,Toyota Center,Houston Rockets,Portland Trail Blazers,85 - 104
3,01/11/2018 19:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,132 - 119
3,03/11/2018 19:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,110 - 114
3,04/11/2018 18:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,111 - 81
3,06/11/2018 19:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,118 - 103
4,08/11/2018 19:00,Moda Center,Portland Trail Blazers,LA Clippers,116 - 105
4,11/11/2018 18:00,Moda Center,Portland Trail Blazers,Boston Celtics,100 - 94
4,14/11/2018 19:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,126 - 117
5,16/11/2018 17:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,112 - 96
5,18/11/2018 15:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,109 - 119
5,20/11/2018 16:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,114 - 118
5,21/11/2018 17:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,143 - 100
6,23/11/2018 19:30,ORACLE Arena,Golden State Warriors,Portland Trail Blazers,125 - 97
6,25/11/2018 18:00,Moda Center,Portland Trail Blazers,LA Clippers,100 - 104
6,28/11/2018 19:00,Moda Center,Portland Trail Blazers,Orlando Magic,115 - 112
7,30/11/2018 19:30,Moda Center,Portland Trail Blazers,Denver Nuggets,112 - 113
7,02/12/2018 16:00,AT+ACY-T Center,San Antonio Spurs,Portland Trail Blazers,131 - 118
7,04/12/2018 17:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,111 - 102
8,06/12/2018 19:00,Moda Center,Portland Trail Blazers,Phoenix Suns,108 - 86
8,08/12/2018 19:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,113 - 105
8,11/12/2018 17:00,Toyota Center,Houston Rockets,Portland Trail Blazers,111 - 103
8,12/12/2018 17:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,92 - 83
9,14/12/2018 19:00,Moda Center,Portland Trail Blazers,Toronto Raptors,128 - 122
9,17/12/2018 19:30,Staples Center,LA Clippers,Portland Trail Blazers,127 - 131
9,19/12/2018 19:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,99 - 92
10,21/12/2018 19:00,Moda Center,Portland Trail Blazers,Utah Jazz,90 - 120
10,23/12/2018 18:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,121 - 118
10,25/12/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,117 - 96
11,27/12/2018 19:30,ORACLE Arena,Golden State Warriors,Portland Trail Blazers,109 - 110
11,29/12/2018 19:00,Moda Center,Portland Trail Blazers,Golden State Warriors,105 - 115
11,30/12/2018 18:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,129 - 95
11,01/01/2019 18:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,108 - 113
12,04/01/2019 19:30,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,109 - 111
12,05/01/2019 19:00,Moda Center,Portland Trail Blazers,Houston Rockets,110 - 101
12,07/01/2019 19:00,Moda Center,Portland Trail Blazers,New York Knicks,111 - 101
12,09/01/2019 19:00,Moda Center,Portland Trail Blazers,Chicago Bulls,124 - 112
13,11/01/2019 19:00,Moda Center,Portland Trail Blazers,Charlotte Hornets,127 - 96
13,13/01/2019 17:00,Pepsi Center,Denver Nuggets,Portland Trail Blazers,116 - 113
13,14/01/2019 19:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,115 - 107
13,16/01/2019 19:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,129 - 112
14,18/01/2019 19:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,128 - 112
14,21/01/2019 18:00,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,104 - 109
