Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Minnesota Timberwolves,112 - 108
1,20/10/2018 19:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,121 - 108
1,22/10/2018 19:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,142 - 143
1,24/10/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Indiana Pacers,96 - 116
2,27/10/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Los Angeles Lakers,110 - 106
2,29/10/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Dallas Mavericks,113 - 108
2,31/10/2018 19:30,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,90 - 120
3,03/11/2018 17:30,AT+ACY-T Center,San Antonio Spurs,New Orleans Pelicans,109 - 95
3,04/11/2018 16:00,AT+ACY-T Center,San Antonio Spurs,Orlando Magic,110 - 117
3,07/11/2018 16:30,AmericanAirlines Arena,Miami Heat,San Antonio Spurs,95 - 88
4,10/11/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Houston Rockets,96 - 89
4,12/11/2018 19:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,104 - 99
4,14/11/2018 18:00,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,116 - 96
5,15/11/2018 19:30,Staples Center,LA Clippers,San Antonio Spurs,116 - 111
5,18/11/2018 16:00,AT+ACY-T Center,San Antonio Spurs,Golden State Warriors,104 - 92
5,19/11/2018 17:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,140 - 126
5,21/11/2018 17:30,AT+ACY-T Center,San Antonio Spurs,Memphis Grizzlies,103 - 104
6,23/11/2018 17:00,Bankers Life Fieldhouse,Indiana Pacers,San Antonio Spurs,100 - 111
6,24/11/2018 17:30,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,135 - 129
6,26/11/2018 17:00,United Center,Chicago Bulls,San Antonio Spurs,107 - 108
