Round Number,Date,Location,Home Team,Away Team,Result
1,17/10/2018 19:00,Golden 1 Center,Sacramento Kings,Utah Jazz,117 - 123
1,19/10/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,123 - 124
1,22/10/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,84 - 92
1,24/10/2018 17:00,Toyota Center,Houston Rockets,Utah Jazz,89 - 100
2,27/10/2018 16:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,111 - 132
2,28/10/2018 16:00,American Airlines Center,Dallas Mavericks,Utah Jazz,104 - 113
2,31/10/2018 17:00,Target Center,Minnesota Timberwolves,Utah Jazz,128 - 125
3,02/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,100 - 110
3,03/11/2018 18:00,Pepsi Center,Denver Nuggets,Utah Jazz,103 - 88
3,05/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Toronto Raptors,111 - 124
3,07/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,117 - 102
4,09/11/2018 18:30,Vivint Smart Home Arena,Utah Jazz,Boston Celtics,123 - 115
4,12/11/2018 17:00,FedExForum,Memphis Grizzlies,Utah Jazz,88 - 96
4,14/11/2018 17:30,American Airlines Center,Dallas Mavericks,Utah Jazz,118 - 68
5,16/11/2018 16:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,113 - 107
5,17/11/2018 16:30,TD Garden,Boston Celtics,Utah Jazz,86 - 98
5,19/11/2018 16:00,Bankers Life Fieldhouse,Indiana Pacers,Utah Jazz,121 - 94
5,21/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,110 - 119
6,23/11/2018 19:30,Staples Center,Los Angeles Lakers,Utah Jazz,90 - 83
6,25/11/2018 17:00,Golden 1 Center,Sacramento Kings,Utah Jazz,112 - 133
6,26/11/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Indiana Pacers,88 - 121
6,28/11/2018 16:30,Barclays Center,Brooklyn Nets,Utah Jazz,91 - 101
7,30/11/2018 16:00,Spectrum Center,Charlotte Hornets,Utah Jazz,111 - 119
7,02/12/2018 15:00,AmericanAirlines Arena,Miami Heat,Utah Jazz,102 - 100
7,04/12/2018 18:00,Vivint Smart Home Arena,Utah Jazz,San Antonio Spurs,139 - 105
8,06/12/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,118 - 91
8,09/12/2018 16:00,AT+ACY-T Center,San Antonio Spurs,Utah Jazz,110 - 97
8,10/12/2018 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,122 - 113
8,12/12/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Miami Heat,111 - 84
9,15/12/2018 14:00,Arena Ciudad de Mexico,Orlando Magic,Utah Jazz,96 - 89
9,17/12/2018 17:00,Toyota Center,Houston Rockets,Utah Jazz,102 - 97
9,19/12/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,108 - 103
10,21/12/2018 19:00,Moda Center,Portland Trail Blazers,Utah Jazz,90 - 120
10,22/12/2018 18:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,106 - 107
10,25/12/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,117 - 96
11,27/12/2018 19:30,Vivint Smart Home Arena,Utah Jazz,Philadelphia 76ers,97 - 114
11,29/12/2018 17:00,Vivint Smart Home Arena,Utah Jazz,New York Knicks,129 - 97
