Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies,23,5545,41.3,86.0,.481,12.8,33.1,.386,28.6,52.9,.540,16.5,21.7,.762,9.6,34.1,43.6,25.8,8.6,5.8,16.3,17.3,112.0
2,Phoenix Suns,27,6580,40.7,88.6,.459,11.5,32.3,.354,29.2,56.3,.519,17.4,23.0,.755,9.5,35.0,44.6,22.5,6.9,3.7,12.9,18.7,110.2
3,Boston Celtics,27,6480,40.2,86.1,.467,11.8,33.4,.353,28.4,52.7,.538,18.6,23.6,.789,9.4,33.8,43.3,23.9,7.6,5.2,15.1,20.3,110.7
4,Miami Heat,27,6530,39.7,88.4,.449,15.2,40.8,.372,24.5,47.6,.515,16.4,21.0,.780,10.6,33.8,44.4,25.3,9.1,4.0,15.1,21.2,111.0
5,Utah Jazz,28,6720,41.0,93.1,.440,11.2,31.9,.353,29.8,61.2,.486,14.8,19.1,.772,10.1,32.3,42.4,22.5,7.6,4.5,11.5,20.2,108.0
6,Washington Wizards,25,6000,40.9,85.9,.476,12.5,32.7,.381,28.4,53.1,.534,20.5,26.3,.779,9.4,36.2,45.6,22.9,7.4,4.0,14.2,21.0,114.7
7,Denver Nuggets,27,6605,40.8,86.8,.471,13.0,35.9,.363,27.8,50.9,.547,17.3,22.7,.763,9.7,32.8,42.6,26.9,7.3,4.4,15.1,21.2,112.0
8,Houston Rockets,27,6505,39.5,87.0,.454,11.6,32.1,.360,28.0,54.9,.510,18.0,23.5,.766,10.0,36.4,46.4,22.2,8.0,5.7,15.0,18.9,108.6
9,New York Knicks,29,6960,38.7,90.1,.430,12.4,39.3,.315,26.4,50.8,.520,18.5,24.2,.763,10.7,35.8,46.5,23.0,6.6,6.0,11.9,19.4,108.3
10,San Antonio Spurs,27,6505,41.8,89.0,.470,12.7,32.9,.386,29.1,56.1,.519,13.9,19.1,.729,9.3,38.1,47.4,24.4,6.1,5.9,13.8,18.7,110.3
11,Chicago Bulls,26,6290,40.9,85.9,.477,12.0,33.0,.363,29.0,52.9,.548,18.8,24.3,.771,8.8,32.9,41.7,23.1,8.5,4.3,14.2,19.2,112.6
12,Atlanta Hawks,27,6530,41.2,90.2,.456,11.6,34.0,.341,29.6,56.2,.526,19.1,23.2,.822,10.5,33.7,44.2,23.9,7.9,5.6,12.4,21.5,113.0
13,Detroit Pistons,27,6630,41.7,86.2,.483,12.7,33.0,.386,28.9,53.2,.544,16.9,22.3,.756,10.0,35.1,45.1,25.2,7.7,5.7,15.7,21.7,113.0
14,Oklahoma City Thunder,27,6555,42.1,91.1,.462,13.0,36.9,.352,29.1,54.2,.537,13.5,17.9,.756,10.0,37.4,47.4,24.4,7.7,4.5,13.0,18.2,110.6
15,Los Angeles Lakers,29,7060,40.0,89.1,.449,11.3,32.4,.348,28.8,56.7,.507,14.0,18.2,.769,9.1,32.3,41.3,24.7,8.3,4.2,14.4,21.8,105.2
16,New Orleans Pelicans,27,6505,41.4,88.3,.469,16.2,41.4,.391,25.2,46.9,.537,16.2,20.3,.797,9.1,32.2,41.3,28.1,7.2,5.2,13.9,21.2,115.1
17,Portland Trail Blazers,27,6505,41.7,87.8,.476,13.2,36.0,.366,28.6,51.7,.552,18.7,23.9,.782,9.5,36.9,46.4,25.0,6.2,4.8,13.4,18.7,115.4
18,Indiana Pacers,28,6795,40.5,88.0,.460,12.3,32.4,.379,28.2,55.6,.508,17.3,22.2,.778,10.5,34.7,45.1,25.1,6.8,5.5,14.9,18.5,110.6
