Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies,23,241.1,41.5,86.3,.481,12.8,33.2,.386,28.7,53.1,.540,16.6,21.8,.762,9.6,34.2,43.8,25.9,8.6,5.8,16.4,17.4,112.5
2,Phoenix Suns,27,243.7,39.9,86.8,.459,11.2,31.7,.354,28.6,55.1,.519,17.0,22.6,.755,9.3,34.3,43.7,22.0,6.8,3.6,12.6,18.3,108.0
3,Boston Celtics,27,240.0,39.5,84.7,.467,11.6,32.8,.353,27.9,51.9,.538,18.3,23.2,.789,9.3,33.3,42.6,23.6,7.5,5.1,14.8,20.0,109.0
4,Miami Heat,27,241.9,39.4,87.7,.449,15.1,40.5,.372,24.3,47.3,.515,16.3,20.9,.780,10.5,33.6,44.1,25.1,9.0,4.0,15.0,21.0,110.1
5,Utah Jazz,28,240.0,40.4,91.6,.440,11.1,31.4,.353,29.3,60.3,.486,14.5,18.8,.772,10.0,31.8,41.7,22.1,7.5,4.4,11.3,19.9,106.3
6,Washington Wizards,25,240.0,42.4,89.2,.476,13.0,34.0,.381,29.5,55.2,.534,21.3,27.3,.779,9.8,37.6,47.4,23.8,7.6,4.2,14.8,21.8,119.1
7,Denver Nuggets,27,244.6,40.5,86.0,.471,12.9,35.6,.363,27.6,50.5,.547,17.2,22.5,.763,9.7,32.6,42.2,26.7,7.3,4.4,14.9,21.0,111.0
8,Houston Rockets,27,240.9,40.4,88.9,.454,11.8,32.9,.360,28.6,56.1,.510,18.4,24.0,.766,10.2,37.2,47.4,22.7,8.2,5.8,15.3,19.3,111.0
9,New York Knicks,29,240.0,37.0,86.1,.430,11.8,37.6,.315,25.2,48.5,.520,17.7,23.1,.763,10.2,34.2,44.5,22.0,6.3,5.7,11.4,18.6,103.6
10,San Antonio Spurs,27,240.9,42.3,90.0,.470,12.9,33.3,.386,29.4,56.7,.519,14.0,19.3,.729,9.4,38.5,47.9,24.7,6.2,5.9,14.0,18.9,111.5
11,Chicago Bulls,26,241.9,42.2,88.4,.477,12.3,34.0,.363,29.8,54.4,.548,19.3,25.0,.771,9.0,33.8,42.9,23.8,8.7,4.4,14.6,19.8,116.0
12,Atlanta Hawks,27,241.9,41.1,90.1,.456,11.6,33.9,.341,29.6,56.1,.526,19.0,23.1,.822,10.4,33.7,44.1,23.9,7.9,5.6,12.4,21.4,112.8
13,Detroit Pistons,27,245.6,41.7,86.2,.483,12.7,33.0,.386,28.9,53.2,.544,16.9,22.3,.756,10.0,35.1,45.1,25.1,7.7,5.7,15.7,21.7,113.0
14,Oklahoma City Thunder,27,242.8,43.1,93.3,.462,13.3,37.8,.352,29.8,55.5,.537,13.9,18.3,.756,10.3,38.3,48.6,25.0,7.9,4.6,13.3,18.7,113.3
15,Los Angeles Lakers,29,243.4,40.2,89.5,.449,11.3,32.5,.348,28.9,57.0,.507,14.0,18.2,.769,9.1,32.4,41.5,24.8,8.3,4.2,14.5,21.9,105.8
16,New Orleans Pelicans,27,240.9,41.0,87.5,.469,16.0,41.0,.391,25.0,46.5,.537,16.0,20.1,.797,9.0,31.9,40.9,27.9,7.1,5.2,13.8,21.0,114.1
17,Portland Trail Blazers,27,240.9,41.5,87.3,.476,13.1,35.9,.366,28.4,51.4,.552,18.6,23.8,.782,9.4,36.7,46.1,24.9,6.1,4.7,13.4,18.6,114.8
18,Indiana Pacers,28,242.7,40.8,88.6,.460,12.4,32.6,.379,28.4,56.0,.508,17.4,22.4,.778,10.5,34.9,45.4,25.3,6.9,5.6,15.0,18.6,111.4
19,Philadelphia 76ers,28,240.9,40.5,89.4,.453,13.0,34.8,.373,27.5,54.6,.504,17.8,23.0,.771,10.1,32.3,42.4,23.9,7.5,4.4,14.9,21.8,111.6
