Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets,30,7300,42.8,85.3,.502,14.7,36.1,.407,28.1,49.2,.572,18.2,22.1,.824,8.1,34.7,42.8,26.5,6.1,5.6,14.7,18.9,118.6
2,Milwaukee Bucks,28,6720,44.2,89.9,.491,14.9,37.5,.398,29.3,52.5,.558,15.0,20.5,.732,10.2,36.5,46.7,26.0,8.2,4.7,13.5,17.9,118.3
3,Los Angeles Clippers,29,6960,43.0,88.4,.487,14.9,35.1,.424,28.1,53.3,.528,18.2,21.5,.847,9.6,35.4,45.0,25.2,7.8,4.8,13.5,19.6,119.1
4,Los Angeles Lakers,29,7060,42.0,86.3,.487,10.8,29.9,.361,31.2,56.4,.554,17.4,23.2,.750,9.5,35.8,45.3,24.8,7.1,6.1,15.1,18.5,112.3
5,Utah Jazz,28,6720,41.5,88.7,.468,17.0,43.1,.395,24.5,45.7,.537,17.5,22.6,.774,11.2,38.1,49.3,24.1,6.1,5.8,14.7,19.2,117.5
6,Philadelphia 76ers,28,6745,41.0,85.4,.481,10.2,28.4,.359,30.8,56.9,.541,20.5,26.3,.780,10.2,34.7,44.9,22.8,8.5,5.9,15.3,19.9,112.8
7,Golden State Warriors,28,6720,40.0,86.3,.464,13.8,36.9,.375,26.2,49.4,.530,17.1,22.0,.778,7.7,34.7,42.4,26.6,7.3,5.4,14.0,21.7,111.0
8,Toronto Raptors,28,6720,40.2,88.8,.453,15.6,40.4,.386,24.6,48.3,.508,17.9,21.8,.820,9.8,32.2,42.0,24.9,8.9,5.5,13.8,22.1,113.9
9,Dallas Mavericks,28,6745,41.0,88.0,.465,13.1,37.5,.350,27.9,50.5,.551,18.5,23.6,.785,8.6,34.0,42.6,23.2,6.5,4.5,12.2,21.2,113.6
10,Indiana Pacers,28,6795,42.0,88.7,.473,12.3,33.6,.367,29.7,55.1,.538,15.6,20.3,.771,8.6,33.8,42.4,26.5,8.4,6.0,13.4,20.5,112.0
11,Portland Trail Blazers,27,6505,41.1,92.5,.444,16.3,42.3,.387,24.8,50.2,.493,17.5,21.3,.820,10.9,34.0,44.9,20.0,7.5,4.8,11.4,19.8,116.1
12,Charlotte Hornets,28,6745,40.9,89.5,.457,13.8,36.4,.379,27.2,53.2,.511,15.9,20.7,.767,11.1,33.6,44.7,27.6,7.9,4.9,15.0,18.5,111.6
13,Denver Nuggets,27,6605,43.2,90.3,.478,13.2,35.2,.375,30.0,55.1,.544,16.3,21.0,.774,10.9,33.7,44.6,27.0,8.5,4.4,13.9,19.9,115.9
